#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,Year,YearDate
645,Jose Berrios,TOR,172.0,-2.51, , ,0.56,-1.20,-0.01, , , , ,2022.0,2022-01-01
646,Dinelson Lamet,- - -,32.1,-2.52, , ,3.28, ,0.72, , , , ,2022.0,2022-01-01
647,Pedro Avila,SDP,4.0,-2.55, , , ,3.98,2.20,1.61, , , ,2022.0,2022-01-01
648,Jhonathan Diaz,LAA,15.1,-2.56, , ,-0.96,-0.31,3.61,4.06, , , ,2022.0,2022-01-01
649,Robert Gsellman,CHC,15.1,-2.58, , ,-1.89,-2.10,2.96,-4.19, , , ,2022.0,2022-01-01
650,Dominic Leone,SFG,49.1,-2.60,0.52, ,4.76, ,0.42, , , , ,2022.0,2022-01-01
651,Cody Morris,CLE,23.2,-2.62,1.73, , ,1.77, ,2.77, , , ,2022.0,2022-01-01
652,Joe Mantiply,ARI,60.0,-2.66, , ,1.58,1.13,-0.35, , , , ,2022.0,2022-01-01
653,Patrick Murphy,WSN,5.2,-2.66, , ,-0.35, , ,-1.58, , , ,2022.0,2022-01-01
654,Tyler Holton,ARI,9.0,-2.66,5.67, ,6.40,0.95, ,-0.96, , , ,2022.0,2022-01-01
655,Kyle Wright,ATL,180.1,-2.67, , ,2.22,1.68,1.08,1.38, , , ,2022.0,2022-01-01
656,Bennett Sousa,CHW,20.1,-2.68, , , , ,-0.15, , , , ,2022.0,2022-01-01
657,Phoenix Sanders,TBR,14.2,-2.68,0.16, , , ,4.67,0.82, , , ,2022.0,2022-01-01
658,Matt Swarmer,CHC,34.0,-2.69, , , ,-3.46,-0.94, , , , ,2022.0,2022-01-01
659,Yohan Ramirez,- - -,37.1,-2.71, , ,1.70, ,-2.72, , , , ,2022.0,2022-01-01
660,Trent Thornton,TOR,46.0,-2.72,8.13, ,5.73, ,3.43,-0.71, , , ,2022.0,2022-01-01
661,Cody Sedlock,BAL,3.0,-2.72, , , ,-0.05,-6.72, , , , ,2022.0,2022-01-01
662,Tyler Danish,BOS,40.1,-2.72,-36.08, ,-1.29,-0.02,1.67,-2.74, , , ,2022.0,2022-01-01
663,Josh Winder,MIN,67.0,-2.73, , ,-0.87,-1.77,1.86,2.32, , , ,2022.0,2022-01-01
664,Jace Peterson,MIL,1.0,-2.74, , , , ,9.90, , , , ,2022.0,2022-01-01
665,Andrew Kittredge,TBR,20.0,-2.74,-6.99, ,3.74, ,1.50, , , , ,2022.0,2022-01-01
666,Tim Mayza,TOR,48.2,-2.74, , ,1.53, ,-3.99, , , , ,2022.0,2022-01-01
667,Jonathan Hernandez,TEX,30.1,-2.74, , ,-0.87,-0.93,2.70, , , , ,2022.0,2022-01-01
668,Jason Foley,DET,60.1,-2.75, , ,1.09,0.86,-1.36, , , , ,2022.0,2022-01-01
669,Clarke Schmidt,NYY,57.2,-2.75, , ,0.35,-2.73,1.18,3.37, , , ,2022.0,2022-01-01
670,Oliver Perez,ARI,4.0,-2.83, , ,-8.03, ,-0.42, , , , ,2022.0,2022-01-01
671,Cole Ragans,TEX,40.0,-2.85,-0.09, , ,2.81, ,-0.49, , , ,2022.0,2022-01-01
672,Nick Martinez,SDP,106.1,-2.88,0.70, ,2.25,1.16, ,0.43, , , ,2022.0,2022-01-01
673,Andres Machado,WSN,59.1,-2.89, , ,2.13,1.21,-1.41, , , , ,2022.0,2022-01-01
674,Kirby Yates,ATL,7.0,-2.92, ,-1.40, , ,20.88, , , , ,2022.0,2022-01-01
675,Domingo Tapia,OAK,17.0,-2.93, , ,-1.96,-3.79,2.12, , , , ,2022.0,2022-01-01
676,Mark Appel,PHI,10.1,-2.95, ,-15.41,2.82, ,0.48, , , , ,2022.0,2022-01-01
677,Harold Castro,DET,4.0,-2.96, , , ,-1.87, ,-10.33, , , ,2022.0,2022-01-01
678,Sean Reid-Foley,NYM,10.0,-2.98, , , ,1.15,1.97,-26.13, , , ,2022.0,2022-01-01
679,Ryan Feltner,COL,97.1,-2.98, , ,1.06,-0.11,0.90,-1.29, , , ,2022.0,2022-01-01
680,Huascar Brazoban,MIA,32.0,-2.99, , ,-0.45,-0.32,1.80, , , , ,2022.0,2022-01-01
681,Dusten Knight,TBR,11.0,-3.00,-2.34, , ,1.88,-13.86,1.42, , , ,2022.0,2022-01-01
682,Tyler Clippard,WSN,5.0,-3.00, ,0.02,-2.03,-2.43,-76.83,-0.28, , , ,2022.0,2022-01-01
683,Brayan Bello,BOS,57.1,-3.01, , ,-1.17,1.40,-0.41,-2.36, , , ,2022.0,2022-01-01
684,Alejo Lopez,CIN,2.2,-3.08, , , , , , , , , ,2022.0,2022-01-01
685,Austin Pruitt,OAK,55.1,-3.13, , , ,-1.17,2.72,-1.12, , , ,2022.0,2022-01-01
686,Bruce Zimmermann,BAL,73.2,-3.14, , ,-3.08,-2.08,-0.59,1.03, , , ,2022.0,2022-01-01
687,Lucas Sims,CIN,6.2,-3.16, , , , ,1.60,3.49, , , ,2022.0,2022-01-01
688,Cole Waites,SFG,5.2,-3.20, , , , ,1.24, , , , ,2022.0,2022-01-01
689,Jesus Cruz,ATL,8.2,-3.22, , , , ,1.17, , , , ,2022.0,2022-01-01
690,Louis Head,- - -,28.2,-3.23, , , ,0.96,0.00, , , , ,2022.0,2022-01-01
