Name,GS,Team,Type
Ian Gibaut,0.0,- - -,Reliever
Lou Trivino,0.0,- - -,Reliever
Drew Hutchison,18.0,DET,Starter
Kyle Freeland,31.0,COL,Starter
Kirk McCarty,2.0,CLE,Reliever
Chris Archer,25.0,MIN,Starter
Nick Pivetta,33.0,BOS,Starter
Luis Cessa,10.0,CIN,Reliever
Dillon Peters,4.0,PIT,Reliever
Yohan Ramirez,0.0,- - -,Reliever
Adam Kolarek,0.0,OAK,Reliever
Jose Ruiz,0.0,CHW,Reliever
Michael Grove,6.0,LAD,Reliever
Wyatt Mills,0.0,- - -,Reliever
Joe Smith,0.0,MIN,Reliever
Touki Toussaint,2.0,LAA,Reliever
Genesis Cabrera,0.0,STL,Reliever
Glenn Otto,27.0,TEX,Starter
Collin Wiles,0.0,OAK,Reliever
Mark Melancon,0.0,ARI,Reliever
Erich Uelmen,0.0,CHC,Reliever
JT Brubaker,28.0,PIT,Starter
Robert Gsellman,0.0,CHC,Reliever
Spenser Watkins,20.0,BAL,Starter
Josh Winder,11.0,MIN,Reliever
Brayan Bello,11.0,BOS,Reliever
Anthony Gose,0.0,CLE,Reliever
Mike Baumann,4.0,BAL,Reliever
Phil Bickford,0.0,LAD,Reliever
Adrian Houser,21.0,MIL,Starter
Taylor Rogers,0.0,- - -,Reliever
Vince Velasquez,9.0,CHW,Reliever
Packy Naughton,3.0,STL,Reliever
Jeremy Beasley,0.0,TOR,Reliever
Trevor Megill,0.0,MIN,Reliever
Kyle Hendricks,16.0,CHC,Starter
Tyler Alexander,17.0,DET,Starter
Archie Bradley,0.0,LAA,Reliever
Davis Martin,9.0,CHW,Reliever
Corbin Martin,2.0,ARI,Reliever
Jordan Hicks,8.0,STL,Reliever
Paolo Espino,19.0,WSN,Starter
Nick Nelson,2.0,PHI,Reliever
Madison Bumgarner,30.0,ARI,Starter
Dylan Bundy,29.0,MIN,Starter
Graham Ashcraft,19.0,CIN,Starter
Kyle Bradish,23.0,BAL,Starter
Lucas Giolito,30.0,CHW,Starter
Hunter Strickland,0.0,CIN,Reliever
Tyler Duffey,0.0,MIN,Reliever
Jake Bird,0.0,COL,Reliever
Alexander Wells,0.0,BAL,Reliever
Yerry De Los Santos,0.0,PIT,Reliever
Gregory Santos,0.0,SFG,Reliever
Sam Selman,0.0,OAK,Reliever
Justin Topa,0.0,MIL,Reliever
Aaron Civale,20.0,CLE,Starter
Ken Waldichuk,7.0,OAK,Reliever
Cole Ragans,9.0,TEX,Reliever
