#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
26,Blake Snell,SDP,8,10,0,24,24,128.0,12.02,3.59,0.77,.307,74.7%,36.6%,8.3%,95.7,3.38,3.19,2.80,3.21,3.7
85,Jon Gray,TEX,7,7,0,24,24,127.1,9.47,2.76,1.20,.271,70.5%,44.1%,14.2%,96.0,3.96,3.59,3.80,3.46,1.8
107,Michael Wacha,BOS,11,2,0,23,23,127.1,7.35,2.19,1.27,.260,80.3%,41.0%,12.4%,93.2,3.32,4.56,4.14,3.99,1.5
303,Erick Fedde,WSN,6,13,0,27,27,127.0,6.66,4.11,1.49,.320,69.3%,41.9%,14.1%, ,5.81,5.45,5.15,4.74,0.4
22,Clayton Kershaw,LAD,12,3,0,22,22,126.1,9.76,1.64,0.71,.268,79.4%,47.1%,9.1%,90.8,2.28,2.51,2.57,2.83,3.8
104,Hunter Greene,CIN,5,13,0,24,24,125.2,11.75,3.44,1.72,.281,76.3%,29.3%,16.1%,99.0,4.44,4.00,4.37,3.64,1.6
87,Dean Kremer,BAL,8,7,0,22,21,125.1,6.25,2.44,0.79,.299,77.8%,39.4%,7.3%,93.6,3.23,4.46,3.80,4.43,1.8
183,Austin Gomber,COL,5,7,0,33,17,124.2,6.86,2.45,1.44,.310,64.1%,42.6%,13.7%,91.1,5.56,4.59,4.54,4.19,0.9
88,Rich Hill,BOS,8,7,0,26,26,124.1,7.89,2.68,1.09,.305,68.3%,40.2%,10.1%,88.7,4.27,4.08,3.92,4.12,1.8
80,Lance Lynn,CHW,8,7,0,21,21,121.2,9.17,1.41,1.41,.297,68.6%,42.3%,14.0%,93.0,3.99,3.62,3.82,3.44,1.9
355,Zach Thompson,PIT,3,10,0,29,22,121.2,6.66,3.40,1.41,.309,69.2%,45.3%,14.5%,92.4,5.18,5.14,4.87,4.44,0.2
69,Tyler Mahle,- - -,6,8,0,23,23,120.2,9.40,3.21,1.19,.278,69.5%,35.6%,10.4%,93.3,4.40,3.49,3.87,4.03,2.1
58,Sonny Gray,MIN,8,5,0,24,24,119.2,8.80,2.71,0.83,.277,77.2%,44.5%,9.4%,92.1,3.08,3.67,3.41,3.66,2.4
