Name,Team,Type
Ralph Garza,TBR,Reliever
T.J. McFarland,STL,Reliever
Joey Krehbiel,BAL,Reliever
Dauri Moreta,CIN,Reliever
Greg Holland,TEX,Reliever
Jake Lemoine,OAK,Reliever
Tommy Henry,ARI,Reliever
Sean Poppen,ARI,Reliever
Tyler Danish,BOS,Reliever
Craig Stammen,SDP,Reliever
Casey Lawrence,TOR,Reliever
Jose Alvarez,SFG,Reliever
Daniel Norris,- - -,Reliever
Tayler Saucedo,TOR,Reliever
Andrew Nardi,MIA,Reliever
Zach Logue,OAK,Reliever
Mike Minor,CIN,Starter
Bryan Shaw,CLE,Reliever
Michael Pineda,DET,Reliever
Tyler Duffey,MIN,Reliever
Dereck Rodriguez,MIN,Reliever
Chris Mazza,TBR,Reliever
Vladimir Gutierrez,CIN,Reliever
Cory Abbott,WSN,Reliever
Darwinzon Hernandez,BOS,Reliever
Anderson Espinoza,CHC,Reliever
Jon Heasley,KCR,Starter
Trevor Kelley,MIL,Reliever
Anthony Castro,CLE,Reliever
Bryan Hoeing,MIA,Reliever
T.J. Zeuch,CIN,Reliever
Alec Mills,CHC,Reliever
Josiah Gray,WSN,Starter
Ryan Borucki,- - -,Reliever
Drew VerHagen,STL,Reliever
Hunter Gaddis,CLE,Reliever
Jake Diekman,- - -,Reliever
Luis Patino,TBR,Reliever
Noe Ramirez,ARI,Reliever
Hansel Robles,BOS,Reliever
Tommy Romero,- - -,Reliever
Heath Hembree,- - -,Reliever
Spencer Howard,TEX,Reliever
Yusei Kikuchi,TOR,Starter
Kolby Allard,TEX,Reliever
Sean Newcomb,- - -,Reliever
Justin Dunn,CIN,Reliever
Caleb Smith,ARI,Reliever
Sergio Romo,- - -,Reliever
Matt Swarmer,CHC,Reliever
Bruce Zimmermann,BAL,Reliever
Kirk McCarty,CLE,Reliever
Genesis Cabrera,STL,Reliever
Mike Mayers,LAA,Reliever
Joe Smith,MIN,Reliever
Ian Kennedy,ARI,Reliever
Elieser Hernandez,MIA,Reliever
Elvin Rodriguez,DET,Reliever
Adam Oller,OAK,Reliever
