Name,Type,NewTeamoffSeason21,NewTeamDeadline22,DateDeadline,NewTeam,LatestTeamName
Caleb Kilian,Reliever,No,No,6/1/2022,No,CHC
Caleb Smith,Reliever,No,No,9/1/2022,No,ARI
Caleb Thielbar,Reliever,No,No,9/1/2022,No,MIN
Calvin Faucher,Reliever,No,No,9/1/2022,No,TBR
Cam Alldred,Reliever,No,No,5/1/2022,No,PIT
Cam Vieaux,Reliever,No,No,8/1/2022,No,PIT
Camilo Doval,Reliever,No,No,9/1/2022,No,SFG
Carl Edwards Jr.,Reliever,No,No,9/1/2022,No,WSN
Carlos Carrasco,Starter,No,No,9/1/2022,No,NYM
Carlos Estevez,Reliever,No,No,9/1/2022,No,COL
Carlos Hernandez,Reliever,No,No,9/1/2022,No,KCR
Carlos Rodon,Starter,No,No,9/1/2022,No,SFG
Carson Kelly,Reliever,No,No,9/1/2022,No,ARI
Casey Lawrence,Reliever,No,No,9/1/2022,No,TOR
Casey Mize,Reliever,No,No,4/1/2022,No,DET
Cesar Valdez,Reliever,No,No,5/1/2022,No,LAA
Chad Green,Reliever,No,No,5/1/2022,No,NYY
Chad Pinder,Reliever,No,No,5/1/2022,No,OAK
Chad Smith,Reliever,No,No,9/1/2022,No,COL
Charlie Culberson,Reliever,No,No,9/1/2022,No,TEX
Charlie Morton,Starter,No,No,9/1/2022,No,ATL
Chase De Jong,Reliever,No,No,9/1/2022,No,PIT
Chase Silseth,Reliever,No,No,7/1/2022,No,LAA
Chasen Shreve,Reliever,No,No,7/1/2022,No,NYM
Chi Chi Gonzalez,Reliever,No,Yes,9/1/2022,Yes,NYY
Chris Bassitt,Starter,No,No,9/1/2022,No,NYM
Chris Devenski,Reliever,No,Yes,9/1/2022,Yes,PHI
Chris Ellis,Reliever,No,No,4/1/2022,No,BAL
Chris Flexen,Starter,No,No,9/1/2022,No,SEA
Chris Martin,Reliever,No,Yes,9/1/2022,Yes,LAD
Chris Mazza,Reliever,No,No,4/1/2022,No,TBR
Chris Owings,Reliever,No,No,5/1/2022,No,BAL
Chris Paddack,Reliever,No,No,5/1/2022,No,MIN
Chris Sale,Reliever,No,No,7/1/2022,No,BOS
Chris Stratton,Reliever,No,Yes,9/1/2022,Yes,STL
Christian Bethancourt,Reliever,No,Yes,9/1/2022,Yes,TBR
Clarke Schmidt,Reliever,No,No,9/1/2022,No,NYY
Clay Holmes,Reliever,No,No,9/1/2022,No,NYY
Clayton Kershaw,Starter,No,No,9/1/2022,No,LAD
Cody Morris,Reliever,No,No,9/1/2022,No,CLE
Cody Poteet,Reliever,No,No,7/1/2022,No,MIA
Cody Sedlock,Reliever,No,No,5/1/2022,No,BAL
Cody Stashak,Reliever,No,No,5/1/2022,No,MIN
Cole Irvin,Starter,No,No,9/1/2022,No,OAK
Cole Ragans,Reliever,No,No,9/1/2022,No,TEX
Cole Sands,Reliever,No,No,9/1/2022,No,MIN
Cole Sulser,Reliever,No,No,9/1/2022,No,MIA
Cole Waites,Reliever,No,No,9/1/2022,No,SFG
Colin Holderman,Reliever,No,Yes,9/1/2022,Yes,PIT
Colin Poche,Reliever,No,No,9/1/2022,No,TBR
Collin McHugh,Reliever,No,No,9/1/2022,No,ATL
Collin Snider,Reliever,No,No,9/1/2022,No,KCR
Collin Wiles,Reliever,No,No,9/1/2022,No,OAK
Conner Menez,Reliever,No,No,5/1/2022,No,CHC
Connor Brogdon,Reliever,No,No,9/1/2022,No,PHI
Connor Overton,Reliever,No,No,9/1/2022,No,CIN
Connor Sadzeck,Reliever,No,No,7/1/2022,No,MIL
Connor Seabold,Reliever,No,No,9/1/2022,No,BOS
Cooper Criswell,Reliever,No,No,9/1/2022,No,TBR
Corbin Burnes,Starter,No,No,9/1/2022,No,MIL
Corbin Martin,Reliever,No,No,7/1/2022,No,ARI
Corey Dickerson,Reliever,No,No,9/1/2022,No,STL
Corey Knebel,Reliever,No,No,8/1/2022,No,PHI
Cory Abbott,Reliever,No,No,9/1/2022,No,WSN
Craig Kimbrel,Reliever,No,No,9/1/2022,No,LAD
Craig Stammen,Reliever,No,No,9/1/2022,No,SDP
Cristian Javier,Starter,No,No,9/1/2022,No,HOU
Cristofer Ogando,Reliever,No,No,9/1/2022,No,TBR
Cristopher Sanchez,Reliever,No,No,9/1/2022,No,PHI
Dakota Hudson,Starter,No,No,9/1/2022,No,STL
Dallas Keuchel,Starter,No,Yes,9/1/2022,Yes,TEX
Damon Jones,Reliever,No,No,4/1/2022,No,PHI
Dane Dunning,Starter,No,No,9/1/2022,No,TEX
Daniel Bard,Reliever,No,No,9/1/2022,No,COL
Daniel Duarte,Reliever,No,No,4/1/2022,No,CIN
Daniel Hudson,Reliever,No,No,6/1/2022,No,LAD
