#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,Year,YearDate
429,Nick Sandlin,CLE,47.7%,93.6,44.7%,78.9, , , , , , ,7.6%,88.3, , ,1.4%,2022.0,2022-01-01
430,Pablo Lopez,MIA,46.6%,93.6, , ,10.0%,88.9,8.1%,81.0,35.3%,87.6, , , , ,0.1%,2022.0,2022-01-01
431,Erich Uelmen,CHC,62.2%,93.6,28.5%,83.1, , , , ,9.3%,87.0, , , , ,0.2%,2022.0,2022-01-01
432,Mike Mayers,LAA,46.7%,93.6,34.9%,84.4,8.4%,88.4,2.4%,76.9,7.5%,86.7, , , , , ,2022.0,2022-01-01
433,Brett Martin,TEX,45.3%,93.6,18.0%,86.9, , ,36.7%,82.9, , , , , , ,1.6%,2022.0,2022-01-01
434,Jordan Sheffield,COL,48.6%,93.6, , , , ,29.7%,87.4,21.6%,88.5, , , , , ,2022.0,2022-01-01
435,Roenis Elias,SEA,43.0%,93.6,22.8%,77.3, , , , ,34.2%,85.9, , , , , ,2022.0,2022-01-01
436,Edwin Uceta,ARI,55.1%,93.5, , ,0.3%,87.0,17.5%,81.1,27.1%,88.3, , , , , ,2022.0,2022-01-01
437,Foster Griffin,- - -,25.2%,93.5,44.1%,88.8, , ,17.1%,79.9,13.5%,85.1, , , , , ,2022.0,2022-01-01
438,Michael Kelly,PHI,23.4%,93.5,70.3%,82.8,6.3%,87.5, , , , , , , , , ,2022.0,2022-01-01
439,Taijuan Walker,NYM,40.8%,93.5,17.8%,85.1,5.3%,89.0,8.7%,75.1, , ,27.3%,88.8, , ,0.2%,2022.0,2022-01-01
440,Art Warren,CIN,41.7%,93.5,58.3%,85.5, , , , , , , , , , ,0.6%,2022.0,2022-01-01
441,Mike Clevinger,SDP,52.1%,93.5,20.7%,80.0,14.6%,86.7,3.4%,76.8,9.2%,86.2, , , , ,0.2%,2022.0,2022-01-01
442,Austin Voth,- - -,41.3%,93.5,4.8%,83.8,21.7%,89.5,31.5%,77.5,0.7%,87.2, , , , , ,2022.0,2022-01-01
443,Lucas Sims,CIN,42.6%,93.5,46.5%,83.5, , ,10.9%,78.7, , , , , , , ,2022.0,2022-01-01
444,Luis Cessa,CIN,42.1%,93.5,38.9%,82.9, , , , ,18.9%,87.9, , , , , ,2022.0,2022-01-01
445,Peter Strzelecki,MIL,53.2%,93.5,33.2%,83.0, , , , ,13.6%,83.4, , , , ,1.3%,2022.0,2022-01-01
446,Luis Castillo,DET,53.3%,93.5,30.0%,83.8, , , , ,16.7%,88.2, , , , , ,2022.0,2022-01-01
447,Nicholas Padilla,CHC,15.4%,93.5,23.1%,82.4,61.5%,93.0, , , , , , , , , ,2022.0,2022-01-01
448,Keegan Thompson,CHC,52.2%,93.5,4.1%,83.8,21.4%,89.9,17.5%,81.4,4.8%,86.1, , , , , ,2022.0,2022-01-01
449,Mychal Givens,- - -,51.2%,93.5,29.8%,84.8, , , , ,19.0%,82.2, , , , ,0.9%,2022.0,2022-01-01
450,Trevor Richards,TOR,44.1%,93.5,18.4%,85.2, , , , ,37.5%,84.1, , , , ,0.4%,2022.0,2022-01-01
451,Nick Pivetta,BOS,51.0%,93.5,19.6%,85.8, , ,27.1%,77.2,2.3%,87.0, , , , ,0.0%,2022.0,2022-01-01
452,Archie Bradley,LAA,57.0%,93.5, , , , ,27.2%,79.8,15.7%,85.6, , , , ,1.0%,2022.0,2022-01-01
453,Kodi Whitley,STL,49.3%,93.5,16.5%,82.8, , , , ,34.2%,83.5, , , , , ,2022.0,2022-01-01
454,Casey Mize,DET,50.9%,93.5,24.9%,85.6, , ,10.7%,81.8, , ,13.6%,84.6, , , ,2022.0,2022-01-01
455,Austin Warren,LAA,56.8%,93.4,41.7%,86.3, , , , ,1.5%,87.8, , , , ,3.0%,2022.0,2022-01-01
456,Robbie Ray,SEA,60.3%,93.4,37.2%,87.2, , ,1.9%,79.8,0.7%,87.0, , , , , ,2022.0,2022-01-01
457,Hunter Gaddis,CLE,53.2%,93.4,23.4%,86.4, , ,6.4%,74.5,17.0%,77.6, , , , , ,2022.0,2022-01-01
458,Adam Oller,OAK,43.0%,93.4,19.6%,82.3,24.9%,89.6, , ,12.4%,86.6, , , , , ,2022.0,2022-01-01
459,Kirby Snead,OAK,55.5%,93.4,37.4%,82.1, , , , ,7.1%,87.7, , , , ,1.5%,2022.0,2022-01-01
460,Jovani Moran,MIN,51.0%,93.4,3.6%,81.5, , , , ,45.4%,83.3, , , , , ,2022.0,2022-01-01
461,Nick Martinez,SDP,40.9%,93.4, , ,17.7%,88.6,15.9%,81.8,25.6%,79.8, , , , , ,2022.0,2022-01-01
462,Ian Kennedy,ARI,81.4%,93.4, , ,2.1%,85.8,5.8%,79.7,0.8%,87.7,9.9%,85.5, , ,1.2%,2022.0,2022-01-01
463,Sam Moll,OAK,44.6%,93.4,55.4%,81.8, , , , , , , , , , ,3.3%,2022.0,2022-01-01
464,Jon Heasley,KCR,49.2%,93.4,12.5%,85.6, , ,17.0%,78.5,21.3%,84.9, , , , , ,2022.0,2022-01-01
465,Sean Doolittle,WSN,74.5%,93.4,21.8%,78.1, , , , ,3.6%,80.5, , , , , ,2022.0,2022-01-01
466,Adonis Medina,NYM,47.3%,93.4,24.2%,86.8, , ,11.1%,81.7,17.4%,87.1, , , , , ,2022.0,2022-01-01
467,Kirby Yates,ATL,50.4%,93.4,0.7%,84.0, , , , , , ,48.9%,86.6, , , ,2022.0,2022-01-01
468,Matthew Liberatore,STL,55.5%,93.4,10.9%,86.0, , ,23.2%,74.4,10.3%,85.6, , , , , ,2022.0,2022-01-01
469,Eric Lauer,MIL,43.5%,93.4,18.0%,86.8,19.1%,90.1,16.3%,78.4,3.2%,87.2, , , , , ,2022.0,2022-01-01
470,Ronny Henriquez,MIN,24.3%,93.4,46.4%,86.2, , , , ,29.3%,87.6, , , , , ,2022.0,2022-01-01
471,Brandon Bielak,HOU,59.3%,93.4,14.2%,82.8, , ,14.2%,79.9,12.4%,87.4, , , , , ,2022.0,2022-01-01
472,Francisco Perez,WSN,62.9%,93.3,35.1%,83.1, , , , ,2.0%,84.8, , , , , ,2022.0,2022-01-01
473,Anthony Misiewicz,- - -,30.8%,93.3, , ,34.8%,88.9,34.4%,79.3, , , , , , ,1.7%,2022.0,2022-01-01
474,Tommy Hunter,NYM,39.0%,93.3, , ,46.7%,91.3,14.0%,84.6,0.3%,88.0, , , , , ,2022.0,2022-01-01
475,Miles Mikolas,STL,49.6%,93.3,25.3%,87.7, , ,21.1%,76.0,3.9%,82.7, , ,0.0%,75.0, ,2022.0,2022-01-01
476,Colin Poche,TBR,77.5%,93.3,22.5%,79.0, , , , , , , , , , , ,2022.0,2022-01-01
477,Reiss Knehr,SDP,50.8%,93.3,5.0%,88.8, , ,25.2%,80.0,19.0%,89.0, , , , , ,2022.0,2022-01-01
478,Tyler Mahle,- - -,51.8%,93.3,12.4%,83.8,11.9%,85.8, , , , ,23.9%,85.5, , , ,2022.0,2022-01-01
479,Erasmo Ramirez,WSN,43.9%,93.3,6.7%,80.6,45.9%,89.2, , ,3.4%,85.4, , , , ,0.3%,2022.0,2022-01-01
480,David Phelps,TOR,41.6%,93.2, , ,24.5%,89.9,26.4%,81.7,7.5%,86.5, , , , , ,2022.0,2022-01-01
481,Patrick Sandoval,LAA,37.0%,93.2,28.8%,86.4, , ,9.6%,78.7,24.6%,83.8, , , , , ,2022.0,2022-01-01
482,Matt Manning,DET,59.1%,93.2,22.9%,83.8, , ,10.5%,79.7,7.5%,86.2, , , , , ,2022.0,2022-01-01
483,JP Sears,- - -,56.6%,93.2,25.9%,79.3, , , , ,17.5%,82.8, , , , ,0.4%,2022.0,2022-01-01
484,Reid Detmers,LAA,45.0%,93.2,25.5%,86.0, , ,18.2%,73.2,11.3%,84.3, , , , ,0.2%,2022.0,2022-01-01
485,Tucker Davidson,- - -,43.0%,93.2,44.1%,86.7, , ,8.4%,78.3,4.5%,85.5, , , , , ,2022.0,2022-01-01
486,Jake Lemoine,OAK,67.8%,93.2,24.8%,83.9, , , , ,7.4%,85.9, , , , ,1.3%,2022.0,2022-01-01
487,Aaron Brooks,STL,49.4%,93.2,22.7%,85.7, , ,3.9%,79.0,24.0%,85.5, , , , , ,2022.0,2022-01-01
488,Bryan Shaw,CLE,5.6%,93.2,6.0%,84.4,76.7%,92.9,8.2%,82.7,2.9%,81.9,0.7%,88.9, , ,0.4%,2022.0,2022-01-01
489,Ryan Castellani,OAK,48.9%,93.2,46.7%,85.9, , ,4.4%,80.5, , , , , , , ,2022.0,2022-01-01
490,Dean Kremer,BAL,41.4%,93.2, , ,30.9%,88.0,12.3%,76.6,15.4%,83.7, , , , , ,2022.0,2022-01-01
491,Tony Gonsolin,LAD,39.1%,93.2,21.4%,87.5, , ,11.9%,80.7, , ,27.5%,83.5, , ,0.1%,2022.0,2022-01-01
492,Brandon Hughes,CHC,53.2%,93.2,45.6%,82.9, , , , ,1.1%,85.3, , , , ,0.9%,2022.0,2022-01-01
493,Jose Cuas,KCR,61.6%,93.1,36.8%,82.1, , , , ,1.6%,87.9, , , , ,0.9%,2022.0,2022-01-01
494,JT Brubaker,PIT,47.9%,93.1,31.0%,86.7, , ,16.0%,80.1,5.1%,87.3, , , , , ,2022.0,2022-01-01
495,Julio Urias,LAD,49.2%,93.1, , , , ,33.3%,81.0,17.5%,86.3, , , , , ,2022.0,2022-01-01
496,Elvin Rodriguez,DET,53.9%,93.1,22.5%,82.9, , ,10.7%,78.6,12.9%,86.7, , , , ,0.7%,2022.0,2022-01-01
497,Lance McCullers Jr.,HOU,24.5%,93.1,26.1%,85.2,7.1%,88.6,24.9%,82.8,17.4%,87.0, , , , , ,2022.0,2022-01-01
498,Cam Vieaux,PIT,45.2%,93.1,37.0%,78.3, , , , ,17.8%,87.0, , , , , ,2022.0,2022-01-01
499,Ronald Bolanos,KCR,54.8%,93.1,29.8%,84.1, , ,10.5%,76.9,4.8%,87.2, , , , ,1.2%,2022.0,2022-01-01
500,Jack Flaherty,STL,54.2%,93.1,28.5%,84.4, , ,16.5%,77.2,0.8%,86.2, , , , , ,2022.0,2022-01-01
501,Norge Ruiz,OAK,44.5%,93.1,38.0%,86.7, , , , ,17.5%,85.3, , , , , ,2022.0,2022-01-01
502,Chris Archer,MIN,35.7%,93.1,44.3%,88.8, , ,5.3%,81.8,14.7%,87.1, , , , , ,2022.0,2022-01-01
503,Jordan Montgomery,- - -,51.7%,93.1, , ,3.8%,88.1,22.2%,80.3,22.2%,82.4, , , , , ,2022.0,2022-01-01
504,Bryan Hoeing,MIA,70.8%,93.1,18.7%,82.2, , , , ,10.5%,87.5, , , , , ,2022.0,2022-01-01
505,Vince Velasquez,CHW,52.1%,93.0,22.4%,84.8, , ,17.0%,81.6,8.5%,88.2, , , , , ,2022.0,2022-01-01
506,Cristopher Sanchez,PHI,61.0%,93.0,18.9%,84.9, , , , ,20.1%,84.4, , , , ,0.6%,2022.0,2022-01-01
507,Domingo Acevedo,OAK,43.3%,93.0,34.6%,86.5, , , , ,22.1%,86.9, , , , ,1.6%,2022.0,2022-01-01
508,Kyle Barraclough,LAA,46.0%,93.0,45.3%,78.4,8.6%,89.3, , , , , , , , , ,2022.0,2022-01-01
509,Max Castillo,- - -,48.4%,93.0,18.8%,83.5, , , , ,32.9%,87.5, , , , , ,2022.0,2022-01-01
510,Chris Paddack,MIN,51.5%,93.0, , ,4.4%,84.3,18.0%,76.0,26.2%,82.5, , , , , ,2022.0,2022-01-01
511,Andrew Heaney,LAD,62.5%,93.0,32.4%,83.4, , , , ,5.1%,85.0, , , , , ,2022.0,2022-01-01
512,Michael Wacha,BOS,45.6%,93.0, , ,17.2%,88.8,7.4%,74.8,29.8%,84.4, , , , , ,2022.0,2022-01-01
513,Marcos Diplan,BAL,51.6%,93.0, , , , ,36.1%,83.1,12.3%,86.3, , , , , ,2022.0,2022-01-01
514,Miguel Yajure,PIT,37.2%,93.0,10.4%,81.5,7.4%,90.3,25.7%,81.9,19.3%,89.3, , , , ,0.2%,2022.0,2022-01-01
515,Damon Jones,PHI,62.9%,93.0,37.1%,81.2, , , , , , , , , , , ,2022.0,2022-01-01
516,Chris Bassitt,NYM,46.6%,92.9,15.5%,78.7,18.1%,88.9,14.0%,71.6,5.9%,85.3, , , , , ,2022.0,2022-01-01
517,Bryan Garcia,DET,49.2%,92.9,23.7%,85.6, , , , ,27.1%,85.8, , , , , ,2022.0,2022-01-01
518,Pedro Avila,SDP,48.6%,92.9,7.1%,83.6, , ,10.0%,75.7,34.3%,82.0, , , , , ,2022.0,2022-01-01
519,Tanner Banks,CHW,45.0%,92.9,29.5%,86.8, , ,5.4%,82.1,20.1%,85.0, , , , , ,2022.0,2022-01-01
520,Caleb Thielbar,MIN,49.4%,92.9,24.8%,81.4, , ,24.7%,73.0,1.1%,82.6, , , , ,0.4%,2022.0,2022-01-01
521,Carlos Carrasco,NYM,46.8%,92.9,23.2%,85.1, , ,5.7%,81.5,24.3%,87.4, , , , ,0.3%,2022.0,2022-01-01
522,Jhoulys Chacin,COL,44.5%,92.9,25.1%,79.9,27.7%,87.1, , ,2.4%,85.5,0.3%,84.5, , , ,2022.0,2022-01-01
523,Gavin Hollowell,COL,59.4%,92.9,39.9%,81.3, , , , ,0.7%,83.0, , , , , ,2022.0,2022-01-01
524,Chase De Jong,PIT,46.8%,92.9,29.2%,83.6, , ,22.9%,77.7,1.0%,86.5, , , , ,0.3%,2022.0,2022-01-01
525,R.J. Alvarez,NYM,51.0%,92.9,35.3%,82.6, , , , ,13.7%,86.4, , , , , ,2022.0,2022-01-01
526,Chris Stratton,- - -,44.9%,92.9,19.2%,86.7, , ,28.9%,80.9,7.0%,86.9, , , , ,0.4%,2022.0,2022-01-01
527,Beau Sulser,- - -,36.9%,92.9, , ,23.1%,88.2,8.3%,80.4,31.7%,83.7, , , , ,1.9%,2022.0,2022-01-01
528,Easton McGee,TBR,34.8%,92.9,41.3%,80.1,13.0%,89.2,4.3%,75.0,6.5%,86.7, , , , , ,2022.0,2022-01-01
529,Matt Gage,TOR,51.3%,92.9,5.3%,80.0,42.8%,86.8, , ,0.5%,89.0, , , , ,2.1%,2022.0,2022-01-01
530,Denyi Reyes,BAL,43.6%,92.9,31.6%,79.9, , ,9.4%,75.4,15.4%,85.4, , , , , ,2022.0,2022-01-01
531,Vladimir Gutierrez,CIN,49.7%,92.9,21.6%,82.3, , ,13.3%,78.4,15.4%,82.9, , , , ,0.4%,2022.0,2022-01-01
532,Joe Musgrove,SDP,31.3%,92.9,24.4%,83.0,19.0%,90.1,19.1%,81.4,6.3%,86.6, , , , ,0.2%,2022.0,2022-01-01
533,Rony Garcia,DET,58.1%,92.8,31.7%,80.3, , , , ,10.2%,87.4, , , , ,0.1%,2022.0,2022-01-01
534,Zach Eflin,PHI,56.0%,92.8,4.0%,86.1,13.8%,90.0,20.1%,78.3,6.0%,87.0, , , , ,0.2%,2022.0,2022-01-01
535,Brennan Bernardino,SEA,63.4%,92.8,36.6%,79.5, , , , , , , , , , ,9.8%,2022.0,2022-01-01
536,Austin Adams,SDP,20.8%,92.8,79.2%,86.2, , , , , , , , , , , ,2022.0,2022-01-01
537,Ranger Suarez,PHI,57.8%,92.8,4.3%,82.8,8.9%,89.9,7.7%,76.6,21.4%,85.0, , , , , ,2022.0,2022-01-01
538,Raynel Espinal,CIN,38.2%,92.8,22.4%,83.9, , , , ,39.5%,87.6, , , , , ,2022.0,2022-01-01
539,Chad Kuhl,COL,45.2%,92.8,36.6%,86.6, , ,11.5%,79.6,6.7%,87.8, , , , ,0.3%,2022.0,2022-01-01
540,Packy Naughton,STL,53.7%,92.8,21.0%,80.9, , , , ,25.3%,84.5, , , , ,0.7%,2022.0,2022-01-01
541,Matt Peacock,- - -,59.7%,92.8,37.6%,87.2, , , , ,2.7%,86.0, , , , , ,2022.0,2022-01-01
542,Joely Rodriguez,NYM,55.3%,92.8,5.9%,84.0, , , , ,38.7%,87.8, , , , ,0.5%,2022.0,2022-01-01
543,Kervin Castro,- - -,68.2%,92.8,7.1%,84.9, , ,24.7%,79.4, , , , , , , ,2022.0,2022-01-01
544,Brad Boxberger,MIL,55.0%,92.8,22.5%,87.4, , , , ,22.6%,81.3, , , , ,0.4%,2022.0,2022-01-01
545,Alex Faedo,DET,52.0%,92.8,35.1%,85.0, , , , ,12.9%,86.3, , , , , ,2022.0,2022-01-01
546,Jharel Cotton,- - -,44.7%,92.8,10.5%,79.6, , ,4.5%,76.2,40.4%,79.8, , , , , ,2022.0,2022-01-01
547,Domingo German,NYY,39.5%,92.7, , , , ,37.3%,81.0,23.2%,86.0, , , , , ,2022.0,2022-01-01
548,Dillon Peters,PIT,50.3%,92.7,11.2%,84.7, , ,14.4%,77.3,24.1%,84.8, , , , , ,2022.0,2022-01-01
549,Ryan Tepera,LAA,48.4%,92.7,5.8%,80.3,36.9%,86.1,0.1%,78.0, , ,8.8%,85.9, , ,1.5%,2022.0,2022-01-01
550,Tayler Saucedo,TOR,47.9%,92.7,33.3%,83.8, , ,8.3%,77.3,10.4%,86.4, , , , , ,2022.0,2022-01-01
551,Martin Perez,TEX,43.4%,92.7,1.3%,84.5,24.1%,89.9,3.5%,78.8,27.7%,84.5, , , , , ,2022.0,2022-01-01
552,Chris Ellis,BAL,45.8%,92.7,36.1%,85.9, , ,4.8%,81.8,13.3%,86.0, , , , , ,2022.0,2022-01-01
553,Patrick Corbin,WSN,62.3%,92.7,29.4%,81.8, , , , ,8.3%,82.5, , , , ,0.2%,2022.0,2022-01-01
554,Hayden Wesneski,CHC,47.9%,92.7,31.9%,81.3,12.3%,88.9, , ,7.9%,87.0, , , , ,0.2%,2022.0,2022-01-01
555,Lance Lynn,CHW,59.3%,92.7, , ,27.8%,88.6,9.0%,82.3,3.9%,85.8, , , , , ,2022.0,2022-01-01
556,Freddy Peralta,MIL,54.9%,92.7,18.3%,80.4, , ,16.3%,75.8,10.4%,85.9, , , , , ,2022.0,2022-01-01
557,Merrill Kelly,ARI,46.1%,92.7,0.2%,85.0,18.9%,91.0,13.5%,82.2,21.3%,88.7, , , , ,0.3%,2022.0,2022-01-01
558,Justin Grimm,OAK,41.2%,92.6,40.1%,81.8, , ,18.8%,82.2, , , , , , , ,2022.0,2022-01-01
559,Lucas Giolito,CHW,47.7%,92.6,23.6%,84.4, , ,3.2%,79.3,25.5%,81.0, , , , ,0.1%,2022.0,2022-01-01
560,Robert Gsellman,CHC,56.5%,92.6,28.5%,89.6, , ,3.4%,80.6,11.6%,85.2, , , , , ,2022.0,2022-01-01
561,Blake Taylor,HOU,73.8%,92.6,25.9%,84.4, , , , ,0.3%,90.0, , , , , ,2022.0,2022-01-01
562,Zack Britton,NYY,82.1%,92.6,17.9%,78.6, , , , , , , , , , , ,2022.0,2022-01-01
563,Javier Assad,CHC,52.5%,92.6,9.4%,81.3,27.0%,88.2,4.5%,76.2,6.7%,85.5, , , , , ,2022.0,2022-01-01
564,Jay Jackson,ATL,41.7%,92.6,58.3%,83.7, , , , , , , , , , , ,2022.0,2022-01-01
565,Brad Hand,PHI,48.0%,92.6,52.0%,79.3, , , , , , , , , , ,0.5%,2022.0,2022-01-01
566,Erick Fedde,WSN,40.3%,92.6,28.7%,78.5,27.3%,89.2, , ,3.6%,86.0, , , , , ,2022.0,2022-01-01
567,Drew Smyly,CHC,36.5%,92.6, , ,20.1%,88.7,43.2%,78.7,0.2%,82.5, , , , , ,2022.0,2022-01-01
568,Vinny Nittoli,PHI,30.0%,92.6,60.0%,84.0, , ,10.0%,82.3, , , , , , , ,2022.0,2022-01-01
569,Matthew Festa,SEA,43.5%,92.6,56.5%,82.9, , , , , , , , , , , ,2022.0,2022-01-01
570,Paul Sewald,SEA,51.4%,92.6,48.6%,82.8, , , , , , , , , , ,1.3%,2022.0,2022-01-01
571,Aaron Nola,PHI,52.4%,92.6, , ,6.5%,86.8,26.5%,78.6,14.6%,86.0, , , , ,0.1%,2022.0,2022-01-01
572,Kirk McCarty,CLE,38.7%,92.6, , ,42.3%,88.4,11.3%,77.5,7.7%,84.8, , , , ,0.7%,2022.0,2022-01-01
573,Dylan Floro,MIA,63.2%,92.6, , ,21.8%,84.2, , ,15.1%,85.2, , , , ,1.0%,2022.0,2022-01-01
574,Angel Rondon,STL,54.7%,92.6,26.7%,81.3, , , , ,18.6%,84.2, , , , , ,2022.0,2022-01-01
575,Daniel Mengden,KCR,29.4%,92.5,3.4%,83.0,30.3%,87.7,17.6%,72.3,19.3%,84.0, , , , , ,2022.0,2022-01-01
576,Nate Fisher,NYM,48.0%,92.5,34.0%,81.8, , ,4.0%,75.5,14.0%,83.6, , , , , ,2022.0,2022-01-01
577,Jose Suarez,LAA,42.6%,92.5,20.0%,81.7, , ,13.0%,78.1,24.4%,82.5, , , , ,0.4%,2022.0,2022-01-01
578,Drew Hutchison,DET,52.7%,92.5,37.1%,86.0, , , , ,10.2%,86.5, , , , ,0.2%,2022.0,2022-01-01
579,Triston McKenzie,CLE,56.1%,92.5,22.0%,87.3, , ,21.9%,79.5, , , , , , , ,2022.0,2022-01-01
580,Janson Junk,LAA,43.4%,92.5,45.3%,82.8, , ,8.2%,79.3,3.1%,88.0, , , , , ,2022.0,2022-01-01
581,Jason Alexander,MIL,61.1%,92.5,23.1%,81.2, , , , ,15.8%,81.5, , , , , ,2022.0,2022-01-01
582,Chi Chi Gonzalez,- - -,50.8%,92.5,31.6%,83.5,2.4%,87.0, , ,15.2%,85.6, , , , , ,2022.0,2022-01-01
583,Daulton Jefferies,OAK,47.8%,92.5,13.6%,80.3,19.0%,89.5, , ,19.6%,86.1, , , , , ,2022.0,2022-01-01
584,Alex Wood,SFG,45.5%,92.4,36.0%,84.5, , , , ,18.5%,85.7, , , , ,0.2%,2022.0,2022-01-01
585,John King,TEX,52.3%,92.4,14.3%,78.8,8.8%,86.6, , ,24.7%,80.8, , , , ,1.5%,2022.0,2022-01-01
586,David McKay,- - -,61.5%,92.4,13.3%,83.1, , ,25.2%,77.5, , , , , , , ,2022.0,2022-01-01
587,Ashton Goudeau,COL,54.9%,92.4, , , , ,28.0%,77.6,17.1%,84.8, , , , , ,2022.0,2022-01-01
588,Bryse Wilson,PIT,56.8%,92.4,15.8%,83.5, , ,12.9%,77.2,14.5%,85.0, , , , ,0.1%,2022.0,2022-01-01
589,Joey Wentz,DET,56.0%,92.4, , ,21.1%,83.2,9.4%,75.4,13.5%,84.1, , , , , ,2022.0,2022-01-01
590,Anthony DeSclafani,SFG,42.6%,92.4,38.6%,87.4, , ,13.1%,80.9,5.8%,86.2, , , , , ,2022.0,2022-01-01
591,Matt Dermody,CHC,42.3%,92.4,26.9%,80.9, , ,7.7%,75.0,23.1%,86.2, , , , ,11.5%,2022.0,2022-01-01
592,Riley O'Brien,SEA,47.8%,92.4, , , , ,52.2%,78.1, , , , , , , ,2022.0,2022-01-01
593,Rob Zastryzny,- - -,43.1%,92.4, , ,8.3%,88.3,23.6%,80.0,25.0%,78.2, , , , , ,2022.0,2022-01-01
594,Tyler Duffey,MIN,51.1%,92.4, , , , ,44.4%,82.2,4.5%,79.2, , , , ,0.1%,2022.0,2022-01-01
595,J.P. Feyereisen,TBR,44.5%,92.3,29.1%,84.1, , , , ,26.5%,87.2, , , , , ,2022.0,2022-01-01
596,David Price,LAD,67.6%,92.3, , ,17.6%,88.0,4.2%,78.5,10.6%,83.7, , , , ,1.2%,2022.0,2022-01-01
597,Zach Thompson,PIT,37.3%,92.3, , ,33.3%,86.8,20.9%,76.6,8.5%,85.8, , , , ,0.0%,2022.0,2022-01-01
598,Bowden Francis,TOR,44.4%,92.3,11.1%,81.0, , ,33.3%,75.0,11.1%,83.0, , , , , ,2022.0,2022-01-01
599,Aaron Sanchez,- - -,61.6%,92.2, , , , ,28.4%,79.1,9.9%,87.7, , , , ,0.2%,2022.0,2022-01-01
600,Adrian Sampson,CHC,65.5%,92.2,20.9%,83.6, , , , ,13.6%,85.1, , , , , ,2022.0,2022-01-01
601,Connor Seabold,BOS,53.2%,92.2,22.2%,85.7, , ,4.1%,78.9,20.5%,80.5, , , , , ,2022.0,2022-01-01
602,Scott Alexander,SFG,71.5%,92.2,12.1%,83.8,0.5%,88.0, , ,15.9%,86.7, , , , , ,2022.0,2022-01-01
603,Kyle Crick,CHW,42.7%,92.2,57.3%,79.7, , , , , , , , , , , ,2022.0,2022-01-01
604,Glenn Otto,TEX,50.1%,92.2,27.5%,81.2, , ,14.9%,81.2,7.4%,88.2, , , , , ,2022.0,2022-01-01
605,Spencer Patton,TEX,48.6%,92.2,38.7%,81.7, , , , ,12.6%,85.1, , , , , ,2022.0,2022-01-01
606,Ross Detwiler,CIN,50.3%,92.2,43.5%,86.1, , ,3.4%,77.1,2.8%,87.0, , , , ,1.7%,2022.0,2022-01-01
607,Justin Dunn,CIN,49.4%,92.2,23.9%,83.5,0.6%,89.7,21.5%,79.9,4.6%,87.6, , , , , ,2022.0,2022-01-01
608,Eli Morgan,CLE,55.3%,92.2,15.8%,85.7, , ,1.1%,80.5,27.8%,76.0, , , , , ,2022.0,2022-01-01
609,Will Smith,- - -,41.7%,92.2,48.3%,81.7, , ,9.0%,77.0,0.9%,87.1, , , , ,0.9%,2022.0,2022-01-01
610,Konnor Pilkington,CLE,63.5%,92.2,8.2%,81.9, , ,6.9%,76.9,21.4%,84.5, , , , , ,2022.0,2022-01-01
611,Dylan Lee,ATL,45.5%,92.2,48.0%,83.8, , , , ,6.5%,86.3, , , , ,0.5%,2022.0,2022-01-01
612,Justin Steele,CHC,64.4%,92.1,28.7%,82.3, , ,5.0%,79.0,1.9%,87.8, , , , , ,2022.0,2022-01-01
613,Cole Ragans,TEX,44.5%,92.1, , ,16.4%,88.6,6.2%,76.4,32.9%,82.1, , , , , ,2022.0,2022-01-01
614,Chase Anderson,CIN,37.5%,92.1,7.9%,83.2,18.5%,90.2,7.7%,77.8,28.4%,83.0, , , , , ,2022.0,2022-01-01
615,Marcus Stroman,CHC,48.1%,92.1,25.5%,85.3,11.3%,90.2,3.3%,82.4,11.8%,87.1, , , , , ,2022.0,2022-01-01
616,Xzavion Curry,CLE,58.8%,92.1,27.9%,85.4, , ,7.3%,73.4,6.1%,87.8, , , , , ,2022.0,2022-01-01
617,Sonny Gray,MIN,54.2%,92.1,10.4%,81.7,9.5%,83.4,24.9%,78.7,1.1%,87.3, , , , , ,2022.0,2022-01-01
618,Jake Woodford,STL,59.5%,92.1,28.3%,82.1, , ,8.5%,75.4,3.7%,85.2, , , , ,0.6%,2022.0,2022-01-01
619,Touki Toussaint,LAA,46.9%,92.1, , , , ,32.9%,75.6, , ,20.2%,86.7, , , ,2022.0,2022-01-01
620,Jake Odorizzi,- - -,51.4%,92.1,7.6%,82.8,20.6%,87.7,3.8%,71.9,16.5%,85.1, , , , ,0.1%,2022.0,2022-01-01
621,Eric Stout,- - -,34.9%,92.1,47.3%,80.1, , ,5.6%,77.9,12.2%,87.5, , , , ,0.9%,2022.0,2022-01-01
622,Joe Ryan,MIN,60.1%,92.1,20.7%,82.0, , ,7.1%,75.0,12.1%,84.7, , , , , ,2022.0,2022-01-01
623,Parker Mushinski,HOU,22.5%,92.1,17.1%,79.4,26.1%,86.9,32.4%,80.0,1.8%,86.5, , , , , ,2022.0,2022-01-01
624,Matthew Boyd,SEA,47.4%,92.1,32.3%,80.8, , ,1.6%,72.0,18.8%,80.7, , , , ,6.3%,2022.0,2022-01-01
625,Evan Lee,WSN,52.1%,92.0, , , , ,41.8%,80.1,6.1%,82.5, , , , , ,2022.0,2022-01-01
