Name,Team,K-BB%
Luis Castillo,SEA,22.65
Luis Castillo,DET,35.55
Luis Cessa,CIN,4.3999999999999995
Luis Frias,ARI,-6.3500000000000005
Luis Garcia,SDP,20.099999999999998
Luis Garcia,HOU,17.183333333333334
Luis Gil,NYY,15.8
Luis Gonzalez,SFG,-1.6666666666666667
Luis Ortiz,PIT,10.1
Luis Ortiz,SFG,9.1
Luis Patino,TBR,-0.6000000000000003
Luis Perdomo,MIL,8.4
Luis Severino,NYY,18.1
Luis Torrens,SEA,0.0
Luke Bard,TBR,4.699999999999999
Luke Bard,NYY,0.0
Luke Barker,MIL,15.8
Luke Farrell,CHC,15.0
Luke Farrell,- - -,3.3
Luke Weaver,KCR,12.1
Luke Weaver,ARI,12.666666666666666
MacKenzie Gore,SDP,10.525
Madison Bumgarner,ARI,8.75
Manny Banuelos,PIT,10.666666666666666
Manny Banuelos,NYY,14.3
Manuel Rodriguez,CHC,0.25
Marco Gonzales,SEA,7.416666666666667
Marcos Diplan,BAL,6.5
Marcus Stroman,CHC,16.383333333333333
Mark Appel,PHI,6.033333333333334
Mark Leiter,CHC,19.150000000000002
Mark Melancon,ARI,5.766666666666667
Martin Perez,TEX,12.333333333333334
Marwin Gonzalez,NYY,0.0
Mason Thompson,WSN,11.025
Matt Barnes,BOS,6.95
Matt Batten,SDP,12.5
Matt Brash,SEA,12.6
Matt Bush,MIL,22.65
Matt Bush,TEX,23.025
Matt Dermody,CHC,-14.3
Matt Foster,CHW,13.033333333333333
Matt Gage,TOR,17.5
Matt Koch,SEA,10.5
Matt Manning,DET,11.366666666666667
Matt Moore,TEX,14.616666666666667
Matt Peacock,ARI,0.0
Matt Peacock,KCR,6.35
Matt Reynolds,CIN,0.0
Matt Strahm,BOS,20.433333333333334
Matt Swarmer,CHC,7.333333333333333
Matt Wisler,TBR,13.139999999999997
Matthew Boyd,SEA,9.4
Matthew Festa,SEA,22.616666666666664
Matthew Liberatore,STL,8.280000000000001
Mauricio Llovera,SFG,17.25
Max Castillo,KCR,8.8
Max Castillo,TOR,22.4
Max Fried,ATL,19.21666666666667
Max Kranick,PIT,5.3
Max Meyer,MIA,15.4
Max Scherzer,NYM,26.580000000000002
Max Schrock,CIN,0.0
Merrill Kelly,ARI,14.15
Michael A. Taylor,KCR,0.0
Michael Feliz,BOS,15.4
Michael Fulmer,DET,12.025
Michael Fulmer,MIN,3.6
Michael Fulmer,- - -,23.2
Michael Grove,LAD,3.5
Michael Kelly,PHI,18.75
Michael King,NYY,24.775
Michael Kopech,CHW,10.233333333333334
Michael Lorenzen,LAA,9.26
Michael Pineda,DET,8.325
Michael Plassmeyer,PHI,22.5
Michael Rucker,CHC,14.1
Michael Wacha,BOS,13.719999999999999
Michel Baez,SDP,25.0
Miguel Castro,NYY,10.1
Miguel Diaz,DET,7.1
Miguel Sanchez,MIL,2.8
Miguel Yajure,PIT,-3.9799999999999995
Mike Baumann,BAL,11.45
Mike Brosseau,MIL,-10.0
Mike Clevinger,SDP,13.02
Mike Ford,ATL,-20.0
Mike Mayers,LAA,10.325
Mike Minor,CIN,7.025
Miles Mikolas,STL,14.366666666666667
Mitch Keller,PIT,11.216666666666667
Mitch White,TOR,7.1
Mitch White,LAD,12.65
Mychal Givens,CHC,19.5
Mychal Givens,NYM,17.2
