Name,Team,CSW%,F-Strike%,RE24,WAR,K-BB%,Type,NewTeamDeadline22
Damon Jones,PHI,26.7,38.5,-1.05,0.0,0.0,Reliever,No
Dane Dunning,TEX,27.71666666666667,59.38333333333333,-0.9866666666666668,0.1666666666666666,11.183333333333332,Starter,No
Daniel Bard,COL,31.183333333333334,59.3,2.703333333333333,0.3166666666666666,18.816666666666663,Reliever,No
Daniel Castano,MIA,20.225,55.6,-1.0175,0.0,8.325,Reliever,No
Daniel Duarte,CIN,16.9,78.6,-2.55,-0.1,-7.1,Reliever,No
Daniel Hudson,LAD,27.766666666666666,53.23333333333333,1.87,0.2666666666666666,25.83333333333333,Reliever,No
Daniel Lynch,KCR,25.0,58.28333333333333,-2.8683333333333336,0.1333333333333333,12.633333333333333,Starter,No
Daniel Mengden,KCR,29.55,74.6,-1.09,0.05,20.2,Reliever,No
Daniel Norris,CHC,31.25,54.175,-2.8725,-0.1,15.125,Reliever,Yes
Daniel Norris,DET,30.4,61.8,1.3199999999999998,0.0,14.05,Reliever,Yes
Danny Coulombe,MIN,24.3,61.25,1.38,0.05,-1.2999999999999998,Reliever,No
Danny Young,SEA,42.7,85.0,-1.27,0.0,15.0,Reliever,Yes
Danny Young,ATL,33.3,66.7,1.31,0.0,8.3,Reliever,Yes
Dany Jimenez,OAK,33.5,62.85,0.8150000000000001,0.125,9.125,Reliever,No
Darick Hall,PHI,33.3,50.0,-0.5,0.0,0.0,Reliever,No
Darin Ruf,NYM,14.3,85.7,1.04,0.0,0.0,Reliever,No
Darren O'Day,ATL,26.3,64.6,-0.555,0.025,16.375,Reliever,No
Darwinzon Hernandez,BOS,28.75,48.6,-7.195,-0.25,1.1999999999999993,Reliever,No
Daulton Jefferies,OAK,25.5,58.55,-4.375,0.2,11.45,Reliever,No
Dauri Moreta,CIN,28.416666666666668,59.28333333333333,-0.3383333333333332,-0.0666666666666666,20.466666666666665,Reliever,No
David Bednar,PIT,31.56,59.88,1.202,0.3,24.24,Reliever,No
David McKay,NYY,28.6,55.6,0.91,0.0,-11.1,Reliever,Yes
David McKay,- - -,20.4,60.9,-4.06,-0.1,0.0,Reliever,Yes
David Peterson,NYM,27.8,51.35,-0.1199999999999999,0.2333333333333333,16.333333333333332,Starter,No
David Phelps,TOR,26.933333333333334,60.55,1.505,0.1333333333333333,12.416666666666666,Reliever,No
David Price,LAD,26.066666666666663,63.18333333333334,0.7933333333333334,0.0166666666666666,14.1,Reliever,No
David Robertson,PHI,31.15,63.5,1.87,0.15,14.65,Reliever,Yes
David Robertson,CHC,34.5,67.95,2.63,0.125,19.825,Reliever,Yes
Davis Martin,CHW,26.82,65.92,-1.032,0.12,11.66,Reliever,No
Dean Kremer,BAL,25.525,65.225,3.235,0.45,11.05,Starter,No
Dee Strange-Gordon,WSN,14.3,50.0,-2.47,-0.1,-37.5,Reliever,No
Dennis Santana,TEX,28.933333333333334,51.56666666666666,-1.36,0.15,10.683333333333332,Reliever,No
Denyi Reyes,BAL,21.15,61.900000000000006,0.77,0.05,4.55,Reliever,No
Dereck Rodriguez,MIN,24.35,56.85,-0.845,-0.0999999999999999,0.7000000000000002,Reliever,No
Derek Law,- - -,26.9,58.8,1.14,0.1,0.0,Reliever,Yes
Derek Law,CIN,28.2,66.2,-2.12,0.0,11.8,Reliever,Yes
Derek Law,DET,26.9,57.1,-3.53,-0.2,14.3,Reliever,Yes
Devin Smeltzer,MIN,24.6,60.25,0.615,0.0249999999999999,5.85,Starter,No
Devin Williams,MIL,33.96666666666666,58.16666666666666,2.078333333333333,0.35,27.48333333333333,Reliever,No
Diego Castillo,SEA,27.8,55.583333333333336,-0.7016666666666667,0.0499999999999999,14.45,Reliever,Yes
Diego Castillo (PIT),PIT,22.05,28.6,-3.495,-0.05,-13.4,Reliever,No
Dillon Peters,PIT,25.42,60.98,-0.292,0.0,3.86,Reliever,No
Dillon Tate,BAL,29.65,64.53333333333333,2.4616666666666664,0.0833333333333333,15.783333333333331,Reliever,No
Dinelson Lamet,SDP,30.83333333333333,66.43333333333334,-3.686666666666667,-0.0333333333333333,7.266666666666666,Reliever,Yes
Dinelson Lamet,COL,32.9,54.4,0.5050000000000001,0.15,21.1,Reliever,Yes
Domingo Acevedo,OAK,28.116666666666664,58.55,0.9166666666666666,-0.0166666666666666,15.783333333333331,Reliever,No
Domingo German,NYY,27.9,64.63333333333333,0.4466666666666667,0.2666666666666666,13.666666666666666,Starter,No
Domingo Tapia,OAK,22.2,51.28,-1.956,-0.02,-3.3600000000000003,Reliever,No
Dominic Leone,SFG,28.45,60.06666666666666,-0.625,0.0166666666666666,12.85,Reliever,No
Donovan Walton,SFG,23.8,42.9,-2.53,-0.1,-14.3,Reliever,No
Drew Carlton,DET,25.4,55.75,-0.125,0.0,19.9,Reliever,No
Drew Hutchison,DET,23.183333333333334,62.5,-1.205,0.0333333333333333,4.3,Starter,No
Drew Rasmussen,TBR,25.98333333333333,63.43333333333334,2.5250000000000004,0.4833333333333333,14.983333333333333,Starter,No
Drew Smith,NYM,28.96,56.66,-0.3839999999999999,-0.02,21.44,Reliever,No
Drew Smyly,CHC,27.28,67.82000000000001,2.076,0.2799999999999999,14.419999999999998,Starter,No
Drew Steckenrider,SEA,21.25,51.15,-1.98,0.0,7.4,Reliever,No
Drew VerHagen,STL,26.3,59.15,-1.93,-0.175,4.525,Reliever,No
Drey Jameson,ARI,27.6,58.2,7.05,0.5,17.3,Reliever,No
