Name,PreviousK-BB%,ActualK-BB%,Difference,DifferenceRate
Chris Owings,,0,0,0
Chris Paddack,,19.1,19.1,0
Chris Sale,,16,16,0
Cionel Perez,,14.51666667,14.51666667,0
Clarke Schmidt,,13.2,13.2,0
Clay Holmes,,16.93333333,16.93333333,0
Clayton Kershaw,,19.98333333,19.98333333,0
Cody Morris,,11,11,0
Cody Poteet,,9,9,0
Cody Sedlock,,12.5,12.5,0
Cody Stashak,,24,24,0
Cole Irvin,,12.3,12.3,0
Cole Ragans,,5.9,5.9,0
Cole Sands,,11.6,11.6,0
Cole Sulser,,15.24,15.24,0
Cole Waites,,0,0,0
Colin Poche,,15.5,15.5,0
Collin McHugh,,23,23,0
Collin Snider,,4.34,4.34,0
Collin Wiles,,17.1,17.1,0
Conner Menez,,20,20,0
Connor Brogdon,,20.58333333,20.58333333,0
Connor Overton,,2.8,2.8,0
Connor Sadzeck,,7.7,7.7,0
Connor Seabold,,12.63333333,12.63333333,0
Cooper Criswell,,23.1,23.1,0
Corbin Burnes,,24.38333333,24.38333333,0
Corbin Martin,,5.666666667,5.666666667,0
Corey Dickerson,,-16.7,-16.7,0
Corey Kluber,,17.21666667,17.21666667,0
Corey Knebel,,6.42,6.42,0
Cory Abbott,,19.75,19.75,0
Craig Kimbrel,,18.06666667,18.06666667,0
Craig Stammen,,16.08,16.08,0
Cristian Javier,,24.5,24.5,0
Cristofer Ogando,,5.55,5.55,0
Cristopher Sanchez,,12.43333333,12.43333333,0
DL Hall,,19,19,0
Dakota Hudson,,2.866666667,2.866666667,0
Damon Jones,,0,0,0
Dane Dunning,,11.18333333,11.18333333,0
Daniel Bard,,18.81666667,18.81666667,0
Daniel Castano,,8.325,8.325,0
Daniel Duarte,,-7.1,-7.1,0
Daniel Hudson,,25.83333333,25.83333333,0
Daniel Lynch,,12.63333333,12.63333333,0
Daniel Mengden,,20.2,20.2,0
Danny Coulombe,,-1.3,-1.3,0
Dany Jimenez,,9.125,9.125,0
Darick Hall,,0,0,0
Darin Ruf,,0,0,0
Darren O'Day,,16.375,16.375,0
Darwinzon Hernandez,,1.2,1.2,0
Daulton Jefferies,,11.45,11.45,0
Dauri Moreta,,20.46666667,20.46666667,0
David Bednar,,24.24,24.24,0
David Peterson,,16.33333333,16.33333333,0
David Phelps,,12.41666667,12.41666667,0
David Price,,14.1,14.1,0
Davis Martin,,11.66,11.66,0
Dean Kremer,,11.05,11.05,0
Dee Strange-Gordon,,-37.5,-37.5,0
Dennis Santana,,10.68333333,10.68333333,0
Denyi Reyes,,4.55,4.55,0
Dereck Rodriguez,,0.7,0.7,0
Devin Smeltzer,,5.85,5.85,0
Devin Williams,,27.48333333,27.48333333,0
Diego Castillo (PIT),,-13.4,-13.4,0
Dillon Peters,,3.86,3.86,0
Dillon Tate,,15.78333333,15.78333333,0
Domingo Acevedo,,15.78333333,15.78333333,0
Domingo German,,13.66666667,13.66666667,0
Domingo Tapia,,-3.36,-3.36,0
Dominic Leone,,12.85,12.85,0
Donovan Walton,,-14.3,-14.3,0
Drew Carlton,,19.9,19.9,0
Drew Hutchison,,4.3,4.3,0
Drew Rasmussen,,14.98333333,14.98333333,0
Drew Smith,,21.44,21.44,0
Drew Smyly,,14.42,14.42,0
Drew Steckenrider,,7.4,7.4,0
Drew VerHagen,,4.525,4.525,0
Drey Jameson,,17.3,17.3,0
Duane Underwood Jr.,,10.71666667,10.71666667,0
Dusten Knight,,11.175,11.175,0
Dustin May,,15.1,15.1,0
Dylan Bundy,,11.41666667,11.41666667,0
Dylan Cease,,20.1,20.1,0
Dylan Coleman,,12.28333333,12.28333333,0
Dylan Floro,,13.66,13.66,0
Dylan Lee,,23.58,23.58,0
Easton McGee,,7.1,7.1,0
Eduard Bazardo,,10.8,10.8,0
Eduardo Rodriguez,,8.425,8.425,0
Edward Cabrera,,13.73333333,13.73333333,0
Edwin Diaz,,43.21666667,43.21666667,0
Edwin Uceta,,4.84,4.84,0
Ehire Adrianza,,0,0,0
Eli Morgan,,23.05,23.05,0
Elieser Hernandez,,13.73333333,13.73333333,0
Elvin Rodriguez,,6.7,6.7,0
Elvis Peguero,,-1.666666667,-1.666666667,0
Emilio Pagan,,20.53333333,20.53333333,0
Emmanuel Clase,,24.36666667,24.36666667,0
Enoli Paredes,,-7.15,-7.15,0
Enyel De Los Santos,,21.73333333,21.73333333,0
Erasmo Ramirez,,13.88333333,13.88333333,0
Eric Lauer,,15.71666667,15.71666667,0
Erich Uelmen,,10.76666667,10.76666667,0
Erick Fedde,,8.1,8.1,0
Erik Swanson,,29.8,29.8,0
Ernie Clement,,0,0,0
Ethan Roberts,,7.9,7.9,0
Ethan Small,,-2.8,-2.8,0
Evan Lee,,0,0,0
Evan Phillips,,26.7,26.7,0
Felix Bautista,,24.65,24.65,0
Fernando Cruz,,18.8,18.8,0
Framber Valdez,,14.66666667,14.66666667,0
Francisco Morales,,-14.55,-14.55,0
Francisco Perez,,1.033333333,1.033333333,0
Frank German,,0,0,0
Frank Schwindel,,-5.6,-5.6,0
Franmil Reyes,,33.3,33.3,0
Freddy Peralta,,19.775,19.775,0
