Name,Year,Team,CSW%,F-Strike%,RE24,K-BB%,WAR,Type,NewTeamoffSeason21
Chi Chi Gonzalez,2022,- - -,26.60%,67.70%,-5.09,8.10%,-0.1,Reliever,No
Chris Archer,2021,TBR,28.10%,61.40%,-0.73,15.70%,0.2,Starter,Yes
Chris Archer,2022,MIN,25.60%,56.80%,-4.33,8.20%,0.5,Starter,Yes
Chris Bassitt,2021,OAK,28.10%,61.90%,26.88,18.80%,3.3,Starter,No
Chris Bassitt,2022,NYM,29.20%,60.90%,13.5,15.80%,2.7,Starter,No
Chris Devenski,2021,ARI,29.00%,57.10%,-4.09,8.60%,-0.2,Reliever,No
Chris Devenski,2022,- - -,30.30%,76.10%,-3.74,16.40%,0,Reliever,No
Chris Ellis,2021,- - -,25.70%,55.40%,8.44,7.40%,0.4,Reliever,No
Chris Ellis,2022,BAL,20.50%,56.00%,-2.78,-16.00%,-0.1,Reliever,No
Chris Flexen,2021,SEA,23.70%,63.40%,11.29,11.50%,3,Starter,No
Chris Flexen,2022,SEA,22.50%,58.80%,2.58,7.50%,0.7,Starter,No
Chris Martin,2021,ATL,24.80%,72.40%,-0.67,14.90%,0.5,Reliever,No
Chris Martin,2022,- - -,29.00%,77.80%,11.38,30.70%,1.6,Reliever,No
Chris Mazza,2021,TBR,27.80%,58.90%,1.13,12.50%,0.1,Reliever,No
Chris Mazza,2022,TBR,20.70%,57.10%,-9.28,-2.90%,-0.5,Reliever,No
Chris Paddack,2021,SDP,27.30%,63.60%,-12.71,16.80%,1.8,Reliever,No
Chris Paddack,2022,MIN,27.20%,65.60%,0.56,19.40%,0.9,Reliever,No
Chris Sale,2021,BOS,30.60%,67.80%,3.14,21.90%,0.8,Reliever,No
Chris Sale,2022,BOS,32.40%,60.00%,-0.61,16.00%,0.2,Reliever,No
Chris Stratton,2021,PIT,28.80%,59.90%,7.77,15.70%,0.8,Reliever,No
Chris Stratton,2022,- - -,27.50%,60.60%,-6.33,12.50%,0.7,Reliever,No
Cionel Perez,2021,CIN,26.90%,44.10%,-7.87,4.50%,-0.3,Reliever,Yes
Cionel Perez,2022,BAL,27.90%,61.50%,13.4,14.50%,1,Reliever,Yes
Clarke Schmidt,2021,NYY,23.10%,63.20%,-5.26,2.60%,-0.1,Reliever,No
Clarke Schmidt,2022,NYY,30.40%,58.10%,4.54,14.00%,0.5,Reliever,No
Clay Holmes,2021,- - -,32.90%,60.60%,-0.71,16.80%,1.1,Reliever,No
Clay Holmes,2022,NYY,30.40%,55.40%,8.04,17.30%,1.1,Reliever,No
Clayton Kershaw,2021,LAD,32.70%,62.50%,8.8,25.20%,3.4,Starter,No
Clayton Kershaw,2022,LAD,31.00%,68.60%,26.25,23.10%,3.8,Starter,No
Cody Poteet,2021,MIA,27.30%,62.10%,-1.65,12.10%,0,Reliever,No
Cody Poteet,2022,MIA,27.50%,58.80%,-1.99,8.80%,-0.1,Reliever,No
Cody Stashak,2021,MIN,29.20%,62.70%,-3.82,21.30%,0.2,Reliever,No
Cody Stashak,2022,MIN,30.00%,63.10%,-2.32,23.10%,0.4,Reliever,No
Cole Irvin,2021,OAK,24.80%,65.20%,-3.9,10.80%,2,Starter,No
Cole Irvin,2022,OAK,25.70%,66.80%,-3.33,12.40%,1.4,Starter,No
Cole Sulser,2021,BAL,28.80%,59.50%,12.23,19.50%,1.5,Reliever,No
Cole Sulser,2022,MIA,28.60%,63.80%,-2.03,14.80%,-0.2,Reliever,No
Collin McHugh,2021,TBR,33.70%,63.60%,15.76,25.10%,1.8,Reliever,No
Collin McHugh,2022,ATL,28.70%,65.10%,18.01,22.40%,1.4,Reliever,No
Conner Menez,2021,SFG,26.30%,59.70%,-1.9,19.40%,0.2,Reliever,No
Conner Menez,2022,CHC,20.80%,20.00%,0.25,20.00%,0,Reliever,No
Connor Brogdon,2021,PHI,24.90%,61.30%,2.19,13.60%,0.7,Reliever,No
Connor Brogdon,2022,PHI,30.30%,66.00%,3.56,20.70%,0.6,Reliever,No
Connor Overton,2021,- - -,27.00%,66.70%,1.17,15.90%,0.1,Reliever,No
Connor Overton,2022,CIN,25.40%,62.90%,8.53,2.40%,0.7,Reliever,No
Connor Seabold,2021,BOS,23.30%,83.30%,-0.45,-16.70%,-0.1,Reliever,No
Connor Seabold,2022,BOS,25.70%,62.20%,-14.35,11.20%,-0.2,Reliever,No
Cooper Criswell,2021,LAA,14.60%,40.00%,-2.88,0.00%,0,Reliever,No
Cooper Criswell,2022,TBR,37.80%,84.60%,0.01,23.10%,0.1,Reliever,No
Corbin Burnes,2021,MIL,33.80%,62.40%,34.93,30.40%,7.5,Starter,No
Corbin Burnes,2022,MIL,32.10%,58.00%,27.73,24.10%,4.6,Starter,No
Corbin Martin,2021,ARI,21.30%,53.50%,-11.25,-1.20%,-0.5,Reliever,No
Corbin Martin,2022,ARI,24.90%,59.40%,-1.61,8.90%,-0.1,Reliever,No
Corey Kluber,2021,NYY,29.20%,64.50%,4.86,14.40%,1.4,Starter,Yes
Corey Kluber,2022,TBR,29.70%,68.40%,-9.24,17.10%,3,Starter,Yes
Corey Knebel,2021,LAD,29.60%,58.40%,5.6,20.80%,0.6,Reliever,No
Corey Knebel,2022,PHI,26.80%,56.20%,-0.57,6.70%,0,Reliever,No
Cory Abbott,2021,CHC,19.90%,51.20%,-5.99,1.20%,-0.5,Reliever,No
Cory Abbott,2022,WSN,25.20%,54.20%,-5.18,9.30%,-0.5,Reliever,No
Craig Kimbrel,2021,- - -,35.50%,63.00%,13.56,32.80%,2.2,Reliever,No
Craig Kimbrel,2022,LAD,29.40%,63.10%,-4.69,16.90%,0.9,Reliever,No
Craig Stammen,2021,SDP,28.70%,64.50%,6.88,19.70%,0.8,Reliever,No
Craig Stammen,2022,SDP,28.20%,62.70%,-7.03,14.10%,-0.4,Reliever,No
Cristian Javier,2021,HOU,27.70%,48.10%,8.12,18.20%,0.7,Starter,No
Cristian Javier,2022,HOU,28.30%,55.90%,23.75,24.30%,3.4,Starter,No
Cristopher Sanchez,2021,PHI,27.00%,59.30%,-0.61,10.20%,0.1,Reliever,No
Cristopher Sanchez,2022,PHI,26.00%,56.50%,-3.79,10.20%,0,Reliever,No
Dakota Hudson,2021,STL,22.10%,67.60%,1.58,14.70%,0.3,Starter,No
Dakota Hudson,2022,STL,23.00%,59.10%,-2.21,2.90%,1,Starter,No
Dallas Keuchel,2021,CHW,25.50%,59.40%,-19.08,5.00%,0.7,Starter,No
Dallas Keuchel,2022,- - -,24.50%,58.40%,-38.73,4.60%,-0.3,Starter,No
Damon Jones,2021,PHI,0.00%,75.00%,-1.08,-50.00%,0,Reliever,No
Damon Jones,2022,PHI,26.70%,38.50%,-1.05,0.00%,0,Reliever,No
Dane Dunning,2021,TEX,28.60%,63.40%,0.56,13.90%,1.8,Starter,No
Dane Dunning,2022,TEX,27.80%,59.60%,-5.94,11.20%,0.9,Starter,No
Daniel Bard,2021,COL,29.70%,60.50%,-1.9,14.50%,0.5,Reliever,No
Daniel Bard,2022,COL,30.60%,59.20%,16.22,18.00%,1.8,Reliever,No
Daniel Castano,2021,MIA,22.50%,53.30%,-2.49,5.40%,0,Reliever,No
Daniel Castano,2022,MIA,23.10%,64.70%,-4.07,7.10%,0.1,Reliever,No
Daniel Hudson,2021,- - -,28.20%,60.00%,3.53,28.10%,1.1,Reliever,No
Daniel Hudson,2022,LAD,27.60%,53.60%,5.62,25.80%,0.8,Reliever,No
Daniel Lynch,2021,KCR,25.10%,55.60%,-9.67,7.70%,0.5,Starter,No
Daniel Lynch,2022,KCR,24.80%,58.70%,-17.21,11.70%,0.7,Starter,No
Daniel Norris,2021,- - -,26.30%,58.90%,-9.23,11.30%,-0.1,Reliever,No
Daniel Norris,2022,- - -,30.90%,58.00%,-8.85,14.80%,-0.4,Reliever,No
Danny Coulombe,2021,MIN,25.10%,60.40%,0.56,18.70%,0.3,Reliever,No
Danny Coulombe,2022,MIN,25.20%,58.50%,2.76,0.00%,0,Reliever,No
Darin Ruf,2021,SFG,14.30%,66.70%,-1.53,0.00%,0,Reliever,No
Darin Ruf,2022,NYM,14.30%,85.70%,1.04,0.00%,0,Reliever,No
Darren O'Day,2021,NYY,28.00%,47.80%,0.57,15.20%,0,Reliever,No
Darren O'Day,2022,ATL,26.00%,63.80%,-2.22,17.00%,0,Reliever,No
