Name,Year,Team,CSW%,F-Strike%,RE24,K-BB%,WAR,Type,NewTeamoffSeason21
Merrill Kelly,2021,ARI,26.10%,61.90%,-0.61,13.30%,2.3,Starter,No
Merrill Kelly,2022,ARI,26.70%,62.30%,23.82,14.40%,3.3,Starter,No
Michael Feliz,2021,- - -,30.50%,67.80%,-3.92,16.70%,0,Reliever,No
Michael Feliz,2022,BOS,31.10%,46.20%,-0.21,15.40%,-0.1,Reliever,No
Michael Fulmer,2021,DET,27.60%,57.90%,5.45,17.80%,1.5,Reliever,No
Michael Fulmer,2022,- - -,27.50%,54.30%,3.11,12.00%,0.7,Reliever,No
Michael King,2021,NYY,28.60%,64.00%,7.43,13.80%,0.7,Reliever,No
Michael King,2022,NYY,34.70%,63.80%,11.04,25.10%,1.7,Reliever,No
Michael Kopech,2021,CHW,33.00%,62.80%,5.5,27.70%,1.7,Starter,No
Michael Kopech,2022,CHW,27.20%,56.70%,3.87,9.70%,1,Starter,No
Michael Lorenzen,2021,CIN,27.40%,73.60%,-0.88,5.60%,0.2,Starter,No
Michael Lorenzen,2022,LAA,25.50%,62.50%,-0.13,10.00%,1,Starter,No
Michael Pineda,2021,MIN,27.90%,69.70%,6.54,14.60%,1.3,Reliever,Yes
Michael Pineda,2022,DET,23.70%,61.50%,-7.3,9.00%,-0.4,Reliever,Yes
Michael Rucker,2021,CHC,28.00%,61.90%,-8.7,15.10%,-0.1,Reliever,No
Michael Rucker,2022,CHC,25.60%,55.50%,1.84,13.10%,0,Reliever,No
Michael Wacha,2021,TBR,25.30%,68.80%,-8.58,17.00%,1.1,Starter,Yes
Michael Wacha,2022,BOS,24.70%,60.80%,12.09,14.20%,1.5,Starter,Yes
Miguel Castro,2021,NYM,30.20%,52.80%,4.15,11.20%,0.1,Reliever,No
Miguel Castro,2022,NYY,32.60%,51.90%,-1.48,12.20%,0.1,Reliever,No
Miguel Diaz,2021,SDP,27.30%,62.80%,5.12,15.70%,-0.1,Reliever,No
Miguel Diaz,2022,DET,28.60%,42.90%,1.08,7.10%,0,Reliever,No
Miguel Sanchez,2021,MIL,24.30%,60.00%,-3.41,7.50%,-0.2,Reliever,No
Miguel Sanchez,2022,MIL,28.00%,60.30%,-1.92,1.70%,-0.3,Reliever,No
Miguel Yajure,2021,PIT,25.50%,45.60%,-6.18,5.90%,-0.4,Reliever,No
Miguel Yajure,2022,PIT,24.80%,60.50%,-12.74,0.00%,-0.3,Reliever,No
Mike Baumann,2021,BAL,20.50%,60.00%,-5.07,-2.00%,-0.2,Reliever,No
Mike Baumann,2022,BAL,19.50%,57.70%,-1.66,9.40%,0.3,Reliever,No
Mike Mayers,2021,LAA,29.20%,60.30%,1.62,20.30%,0.8,Reliever,No
Mike Mayers,2022,LAA,25.70%,57.80%,-11.45,12.10%,-0.9,Reliever,No
Mike Minor,2021,KCR,26.80%,61.10%,-4.93,16.10%,2.3,Starter,No
Mike Minor,2022,CIN,25.60%,60.20%,-21.15,7.90%,-0.4,Starter,No
Miles Mikolas,2021,STL,26.80%,67.70%,-3.44,10.80%,0.5,Starter,No
Miles Mikolas,2022,STL,26.00%,63.40%,15.52,14.20%,2.8,Starter,No
Mitch Keller,2021,PIT,24.40%,56.00%,-19.58,9.10%,1.2,Starter,No
Mitch Keller,2022,PIT,25.80%,56.80%,1.91,11.40%,2.1,Starter,No
Mitch White,2021,LAD,26.90%,58.90%,-5.51,16.20%,0.5,Starter,No
Mitch White,2022,- - -,23.90%,60.50%,-13.23,9.80%,1.3,Starter,No
Mychal Givens,2021,- - -,29.20%,54.60%,3.97,12.50%,0.2,Reliever,No
Mychal Givens,2022,- - -,28.60%,57.30%,4.49,17.70%,0.2,Reliever,No
Nabil Crismatt,2021,SDP,28.20%,54.10%,-3.42,13.40%,0.2,Reliever,No
Nabil Crismatt,2022,SDP,30.00%,58.60%,1.69,15.40%,0.8,Reliever,No
Nathan Eovaldi,2021,BOS,29.90%,65.30%,21.73,20.90%,5.7,Starter,No
Nathan Eovaldi,2022,BOS,28.40%,68.00%,0.98,18.00%,1,Starter,No
Nestor Cortes,2021,NYY,26.40%,59.90%,19.23,20.90%,1.6,Starter,No
Nestor Cortes,2022,NYY,28.30%,67.30%,31.52,20.30%,3.6,Starter,No
Nick Maton,2021,PHI,75.00%,100.00%,0.12,100.00%,0,Reliever,No
Nick Maton,2022,PHI,24.00%,75.00%,-2.38,0.00%,0,Reliever,No
Nick Mears,2021,PIT,26.30%,57.90%,-7.9,9.30%,-0.3,Reliever,No
Nick Mears,2022,PIT,22.60%,75.00%,0.85,12.50%,0,Reliever,No
Nick Neidert,2021,MIA,23.40%,64.30%,0.15,-1.30%,-0.2,Reliever,No
Nick Neidert,2022,MIA,25.60%,50.00%,0.32,15.00%,0,Reliever,No
Nick Nelson,2021,NYY,26.30%,48.70%,-12.14,7.70%,0.1,Reliever,No
Nick Nelson,2022,PHI,25.70%,58.80%,-1.43,10.80%,1,Reliever,No
Nick Pivetta,2021,BOS,27.10%,63.50%,2.68,16.60%,2.2,Starter,No
Nick Pivetta,2022,BOS,26.70%,59.90%,-0.72,13.20%,1.5,Starter,No
Nick Sandlin,2021,CLE,32.30%,48.90%,4.24,22.00%,0.6,Reliever,No
Nick Sandlin,2022,CLE,27.80%,53.90%,5.63,9.40%,0.3,Reliever,No
Nick Wittgren,2021,CLE,28.60%,60.10%,-2.1,17.10%,-0.3,Reliever,No
Nick Wittgren,2022,STL,23.90%,59.00%,-0.47,5.20%,0.1,Reliever,No
Nicklaus Snyder,2021,TEX,22.00%,53.30%,-0.33,-13.30%,0,Reliever,No
Nicklaus Snyder,2022,TEX,12.10%,42.90%,-1.38,-42.90%,-0.1,Reliever,No
Noah Syndergaard,2021,NYM,26.90%,62.50%,-1.03,25.00%,0,Starter,Yes
Noah Syndergaard,2022,- - -,26.30%,65.30%,2.88,11.30%,2.2,Starter,Yes
Noe Ramirez,2021,- - -,28.30%,64.60%,4.8,11.60%,0.5,Reliever,No
Noe Ramirez,2022,ARI,29.40%,61.40%,-5.36,11.60%,-0.6,Reliever,No
Oliver Ortega,2021,LAA,24.50%,56.40%,0.6,5.10%,0,Reliever,No
Oliver Ortega,2022,LAA,24.20%,57.40%,-3.21,10.10%,-0.2,Reliever,No
Oliver Perez,2021,CLE,33.90%,72.20%,0.3,16.70%,0.1,Reliever,No
Oliver Perez,2022,ARI,26.00%,66.70%,-6.01,0.00%,-0.1,Reliever,No
Pablo Lopez,2021,MIA,27.80%,62.40%,14.95,21.30%,2.3,Starter,No
Pablo Lopez,2022,MIA,28.10%,62.90%,10.77,16.40%,2.8,Starter,No
Packy Naughton,2021,LAA,24.00%,63.90%,-3.8,-1.90%,-0.1,Reliever,No
Packy Naughton,2022,STL,27.60%,63.10%,-3.34,17.00%,0.4,Reliever,No
Paolo Espino,2021,WSN,27.80%,60.00%,4.34,14.70%,1.2,Starter,No
Paolo Espino,2022,WSN,28.50%,58.70%,-6.9,14.00%,-0.1,Starter,No
Patrick Corbin,2021,WSN,26.50%,66.00%,-24.67,11.10%,0.2,Starter,No
Patrick Corbin,2022,WSN,25.80%,68.90%,-40.07,11.10%,0.8,Starter,No
Patrick Murphy,2021,- - -,25.30%,48.40%,-0.3,14.80%,0.2,Reliever,No
Patrick Murphy,2022,WSN,20.40%,55.90%,-3.73,-11.80%,0,Reliever,No
Patrick Sandoval,2021,LAA,31.00%,57.90%,9.72,16.00%,1.5,Starter,No
Patrick Sandoval,2022,LAA,29.20%,58.00%,12.05,14.30%,3.8,Starter,No
Paul Blackburn,2021,OAK,23.60%,55.40%,-7.64,9.10%,-0.1,Starter,No
Paul Blackburn,2022,OAK,27.40%,63.60%,-4.36,12.60%,0.8,Starter,No
Paul Fry,2021,BAL,28.70%,51.60%,-1.31,11.60%,0.6,Reliever,No
Paul Fry,2022,- - -,30.60%,52.50%,-4.51,8.20%,-0.1,Reliever,No
Paul Sewald,2021,SEA,33.90%,58.70%,9.39,30.30%,1.4,Reliever,No
Paul Sewald,2022,SEA,31.20%,60.70%,5.09,22.70%,0.5,Reliever,No
Pedro Avila,2021,SDP,23.80%,60.00%,-0.1,10.00%,0,Reliever,No
Pedro Avila,2022,SDP,30.00%,50.00%,-1.18,22.20%,0,Reliever,No
Pedro Baez,2021,HOU,23.70%,46.70%,1.29,26.70%,0,Reliever,No
Pedro Baez,2022,HOU,26.00%,50.00%,-5.23,-6.30%,0,Reliever,No
Pete Fairbanks,2021,TBR,30.60%,60.80%,0.29,18.50%,1,Reliever,No
Pete Fairbanks,2022,TBR,34.40%,65.50%,8.13,40.20%,1.2,Reliever,No
Phil Bickford,2021,- - -,30.20%,61.80%,12.39,19.30%,0.4,Reliever,No
Phil Bickford,2022,LAD,28.60%,61.10%,-2.23,21.50%,0.1,Reliever,No
Phil Maton,2021,- - -,31.70%,61.30%,-5.17,17.80%,0.7,Reliever,No
Phil Maton,2022,HOU,29.90%,58.70%,0.12,17.40%,-0.1,Reliever,No
Phillips Valdez,2021,BOS,26.80%,54.20%,-6.71,9.00%,-0.1,Reliever,No
Phillips Valdez,2022,BOS,28.60%,55.60%,-1.72,8.30%,0,Reliever,No
Pierce Johnson,2021,SDP,31.70%,56.60%,12.55,20.50%,0.9,Reliever,No
Pierce Johnson,2022,SDP,30.00%,60.90%,-0.77,20.30%,0.3,Reliever,No
Rafael Montero,2021,- - -,24.90%,64.00%,-15.35,11.10%,0.4,Reliever,No
Rafael Montero,2022,HOU,29.00%,61.90%,11.62,18.50%,1.5,Reliever,No
Raisel Iglesias,2021,LAA,36.80%,68.90%,12.75,33.30%,2,Reliever,No
Raisel Iglesias,2022,- - -,32.60%,60.60%,7.41,26.00%,1.6,Reliever,No
Ralph Garza,2021,- - -,27.40%,65.40%,2.91,11.80%,-0.1,Reliever,No
Ralph Garza,2022,TBR,25.90%,68.60%,0.22,0.70%,-0.3,Reliever,No
Ranger Suarez,2021,PHI,28.10%,56.70%,34.78,17.70%,3,Starter,No
Ranger Suarez,2022,PHI,25.50%,57.60%,6.17,10.70%,2.3,Starter,No
Raynel Espinal,2021,BOS,8.30%,50.00%,-1.06,-12.50%,0,Reliever,No
Raynel Espinal,2022,CIN,30.30%,52.40%,-1.01,19.00%,0,Reliever,No
Reid Detmers,2021,LAA,26.90%,57.40%,-6.13,7.90%,-0.1,Starter,No
Reid Detmers,2022,LAA,27.00%,60.10%,6.3,14.10%,2.3,Starter,No
Reiss Knehr,2021,SDP,22.40%,58.90%,-1,0.00%,0,Reliever,No
Reiss Knehr,2022,SDP,21.50%,54.20%,1.44,10.20%,0,Reliever,No
Reiver Sanmartin,2021,CIN,30.40%,55.30%,3.54,19.10%,0.5,Reliever,No
Reiver Sanmartin,2022,CIN,26.90%,58.20%,-10.43,7.00%,-0.1,Reliever,No
Reyes Moronta,2021,SFG,20.80%,61.50%,0.89,15.40%,0,Reliever,No
Reyes Moronta,2022,- - -,28.50%,57.80%,-1.5,12.40%,0.1,Reliever,No
Reynaldo Lopez,2021,CHW,26.30%,61.70%,2.94,18.90%,0.7,Reliever,No
Reynaldo Lopez,2022,CHW,29.30%,61.40%,9.53,20.50%,2,Reliever,No
Rich Hill,2021,- - -,30.30%,62.50%,5.46,14.40%,1.7,Starter,Yes
Rich Hill,2022,BOS,29.40%,63.30%,-5.11,13.70%,1.8,Starter,Yes
Richard Bleier,2021,MIA,27.40%,71.10%,13.3,16.90%,1,Reliever,No
Richard Bleier,2022,MIA,25.10%,65.80%,-5.94,9.90%,0.5,Reliever,No
Riley O'Brien,2021,CIN,26.20%,66.70%,-1.9,-11.10%,-0.2,Reliever,No
Riley O'Brien,2022,SEA,17.40%,60.00%,0.4,0.00%,0,Reliever,No
Roansy Contreras,2021,PIT,28.30%,41.70%,1.5,25.00%,0.1,Starter,No
Roansy Contreras,2022,PIT,29.80%,60.80%,1.53,11.50%,0.9,Starter,No
Robbie Ray,2021,TOR,29.60%,61.60%,40.07,25.40%,3.9,Starter,Yes
Robbie Ray,2022,SEA,26.50%,64.10%,2.09,19.40%,1.8,Starter,Yes
Robert Dugger,2021,SEA,29.30%,65.30%,-12.43,5.80%,-0.1,Reliever,No
Robert Dugger,2022,- - -,28.90%,48.60%,-4.11,16.70%,0,Reliever,No
Robert Gsellman,2021,NYM,22.70%,63.00%,1.86,8.40%,0.1,Reliever,No
Robert Gsellman,2022,CHC,23.70%,64.10%,-2.3,9.40%,0,Reliever,No
Robert Stephenson,2021,COL,30.40%,57.40%,4.62,17.30%,0.5,Reliever,No
Robert Stephenson,2022,- - -,29.10%,62.80%,-1.21,16.60%,0.2,Reliever,No
Ronald Bolanos,2021,KCR,33.00%,44.00%,2.23,32.00%,0.2,Reliever,No
Ronald Bolanos,2022,KCR,24.70%,50.60%,-1.27,0.00%,-0.2,Reliever,No
Rony Garcia,2021,DET,26.80%,58.30%,0.97,0.00%,-0.1,Reliever,No
Rony Garcia,2022,DET,23.30%,60.20%,-1.65,17.00%,0.2,Reliever,No
Ross Detwiler,2021,- - -,28.40%,53.70%,-5.44,18.30%,-0.2,Reliever,No
Ross Detwiler,2022,CIN,26.80%,59.00%,-2.82,14.80%,-0.1,Reliever,No
Ross Stripling,2021,TOR,26.30%,64.30%,1.77,14.80%,0.2,Starter,No
Ross Stripling,2022,TOR,27.50%,70.30%,15.33,17.00%,3.1,Starter,No
Rowan Wick,2021,CHC,30.80%,62.00%,-1.59,15.00%,0.4,Reliever,No
Rowan Wick,2022,CHC,27.60%,59.20%,-9.11,13.60%,0,Reliever,No
Ryan Borucki,2021,TOR,30.90%,56.10%,0.62,10.20%,-0.3,Reliever,No
Ryan Borucki,2022,- - -,26.30%,51.40%,-7.98,9.00%,-0.6,Reliever,No
Ryan Brasier,2021,BOS,26.90%,66.00%,2.97,10.00%,-0.1,Reliever,No
Ryan Brasier,2022,BOS,28.00%,67.70%,-13.34,19.40%,0.5,Reliever,No
Ryan Burr,2021,CHW,26.50%,57.00%,6.36,7.90%,0.2,Reliever,No
Ryan Burr,2022,CHW,25.50%,51.30%,-3.74,7.70%,-0.3,Reliever,No
Ryan Castellani,2021,COL,20.00%,58.80%,-0.46,-11.80%,-0.1,Reliever,No
Ryan Castellani,2022,OAK,17.80%,72.70%,-0.67,9.10%,0.1,Reliever,No
Ryan Feltner,2021,COL,26.80%,48.50%,-4.63,3.00%,-0.2,Starter,No
Ryan Feltner,2022,COL,25.50%,57.00%,-9.29,11.40%,0.6,Starter,No
Ryan Helsley,2021,STL,26.30%,56.30%,7.19,9.70%,0.3,Reliever,No
Ryan Helsley,2022,STL,32.70%,63.20%,22.26,31.00%,2,Reliever,No
Ryan Hendrix,2021,CIN,28.90%,48.60%,-8.29,13.40%,-0.4,Reliever,No
Ryan Hendrix,2022,CIN,31.50%,50.00%,-0.71,7.90%,0,Reliever,No
Ryan Pressly,2021,HOU,33.50%,70.00%,12.31,27.20%,2.4,Reliever,No
Ryan Pressly,2022,HOU,33.20%,64.80%,6.25,28.60%,1.4,Reliever,No
Ryan Tepera,2021,- - -,30.70%,63.80%,14.88,22.90%,1.6,Reliever,No
Ryan Tepera,2022,LAA,26.20%,59.10%,-1.32,11.60%,0.1,Reliever,No
Ryan Thompson,2021,TBR,31.90%,59.70%,6.01,20.90%,0.7,Reliever,No
Ryan Thompson,2022,TBR,30.30%,59.10%,-7.23,15.50%,0.4,Reliever,No
Ryan Weathers,2021,SDP,25.10%,54.90%,-8.76,10.50%,-0.1,Reliever,No
Ryan Weathers,2022,SDP,20.20%,47.60%,-2.39,-4.80%,0,Reliever,No
Ryan Weber,2021,- - -,30.00%,64.40%,-7.61,8.90%,-0.3,Reliever,No
Ryan Weber,2022,NYY,29.10%,75.70%,4.05,5.40%,0,Reliever,No
Ryan Yarbrough,2021,TBR,27.20%,64.80%,-17.88,13.80%,1.3,Reliever,No
Ryan Yarbrough,2022,TBR,26.00%,67.90%,-5.41,11.00%,0,Reliever,No
Ryne Stanek,2021,HOU,27.60%,55.50%,6.45,15.90%,0.4,Reliever,No
Ryne Stanek,2022,HOU,28.80%,59.80%,13,13.80%,0.9,Reliever,No
Sam Clay,2021,WSN,25.30%,50.90%,-8.22,5.60%,0,Reliever,No
Sam Clay,2022,- - -,33.00%,51.70%,-3.47,3.40%,-0.2,Reliever,No
Sam Coonrod,2021,PHI,27.20%,63.20%,-1.69,17.80%,0.4,Reliever,No
Sam Coonrod,2022,PHI,21.60%,62.10%,-4.87,8.60%,0,Reliever,No
Sam Hentges,2021,CLE,24.80%,50.00%,-18.91,11.30%,0.5,Reliever,No
Sam Hentges,2022,CLE,30.20%,61.60%,12.99,21.60%,1.1,Reliever,No
Sam Howard,2021,PIT,32.30%,58.30%,2.22,14.10%,-0.1,Reliever,No
Sam Howard,2022,PIT,25.90%,75.00%,-1.49,-25.00%,-0.2,Reliever,No
Sam Moll,2021,OAK,29.30%,52.30%,1.96,6.80%,-0.1,Reliever,No
Sam Moll,2022,OAK,29.20%,50.80%,3.68,12.80%,0,Reliever,No
Sam Selman,2021,- - -,23.50%,55.50%,-1.57,6.40%,-0.1,Reliever,No
Sam Selman,2022,OAK,28.50%,60.00%,-3.84,17.30%,-0.2,Reliever,No
Sammy Long,2021,SFG,26.50%,59.70%,-1.87,13.10%,0.2,Reliever,No
Sammy Long,2022,SFG,28.40%,61.30%,-4.17,10.50%,-0.3,Reliever,No
Sandy Alcantara,2021,MIA,27.90%,64.00%,14.11,18.00%,4.3,Starter,No
Sandy Alcantara,2022,MIA,27.50%,62.40%,41.29,17.70%,5.7,Starter,No
Sandy Leon,2021,MIA,26.40%,65.40%,-4.16,3.80%,-0.2,Reliever,No
Sandy Leon,2022,CLE,29.40%,66.70%,0.96,0.00%,0,Reliever,No
Scott Alexander,2021,LAD,25.50%,58.20%,0.07,6.00%,0,Reliever,No
Scott Alexander,2022,SFG,30.40%,66.70%,8.02,14.30%,0.3,Reliever,No
Scott Barlow,2021,KCR,33.00%,61.80%,12.34,20.60%,2.1,Reliever,No
Scott Barlow,2022,KCR,33.20%,61.00%,12.91,19.00%,0.9,Reliever,No
Scott Effross,2021,CHC,35.10%,75.90%,0.84,29.30%,0.2,Reliever,No
Scott Effross,2022,- - -,31.20%,65.90%,12.51,20.50%,1.3,Reliever,No
Sean Doolittle,2021,- - -,25.60%,64.60%,-4.39,13.50%,0.4,Reliever,No
Sean Doolittle,2022,WSN,38.20%,76.50%,4.4,35.30%,0.3,Reliever,No
Sean Manaea,2021,OAK,28.60%,66.60%,7.22,20.30%,3.2,Starter,No
Sean Manaea,2022,SDP,27.40%,63.80%,-16.82,15.80%,1.1,Starter,No
Sean Newcomb,2021,ATL,25.00%,50.70%,-2.12,10.70%,0.3,Reliever,No
Sean Newcomb,2022,- - -,26.10%,54.50%,-14.78,6.70%,-0.7,Reliever,No
Sean Poppen,2021,- - -,32.30%,60.90%,-6.16,15.50%,0.2,Reliever,No
Sean Poppen,2022,ARI,27.30%,60.80%,1.92,8.30%,-0.4,Reliever,No
Sean Reid-Foley,2021,NYM,28.60%,53.30%,-6.29,18.50%,0.1,Reliever,No
Sean Reid-Foley,2022,NYM,29.10%,65.90%,-3.75,2.30%,-0.1,Reliever,No
Seranthony Dominguez,2021,PHI,21.40%, ,0.46,33.30%,0,Reliever,No
Seranthony Dominguez,2022,PHI,27.20%,58.00%,7.7,18.80%,1,Reliever,No
Sergio Romo,2021,OAK,31.10%,59.80%,-3.47,15.10%,0.2,Reliever,No
Sergio Romo,2022,- - -,25.60%,60.80%,-6.81,10.10%,-0.8,Reliever,No
Seth Lugo,2021,NYM,32.60%,67.70%,-1.89,18.50%,0.4,Reliever,No
Seth Lugo,2022,NYM,29.40%,61.40%,1.99,18.80%,0.2,Reliever,No
Seth Martinez,2021,HOU,28.60%,50.00%,-3.46,0.00%,0,Reliever,No
Seth Martinez,2022,HOU,28.90%,67.10%,9.37,15.50%,0.4,Reliever,No
Shane Baz,2021,TBR,30.80%,53.10%,2.99,30.60%,0.2,Reliever,No
Shane Baz,2022,TBR,29.30%,59.00%,-1.8,17.90%,0.1,Reliever,No
Shane Bieber,2021,CLE,33.50%,62.50%,13.96,24.90%,2.6,Starter,No
Shane Bieber,2022,CLE,31.40%,66.00%,26.74,20.50%,4.9,Starter,No
Shane Greene,2021,- - -,26.30%,59.30%,-3.28,8.80%,-0.4,Reliever,No
Shane Greene,2022,- - -,20.00%,76.90%,-0.56,7.70%,-0.1,Reliever,No
Shane McClanahan,2021,TBR,31.50%,64.20%,14,20.10%,2.5,Starter,No
Shane McClanahan,2022,TBR,32.80%,62.70%,23.38,24.30%,3.5,Starter,No
Shaun Anderson,2021,- - -,25.90%,55.60%,-19.59,5.60%,0,Reliever,No
Shaun Anderson,2022,TOR,28.60%,85.70%,-1.49,0.00%,0,Reliever,No
Shawn Armstrong,2021,- - -,26.90%,63.60%,-14.8,17.60%,-0.3,Reliever,No
Shawn Armstrong,2022,- - -,28.20%,64.30%,-8.55,18.20%,0.5,Reliever,No
Shelby Miller,2021,- - -,24.90%,48.40%,-4.93,-4.80%,-0.4,Reliever,No
Shelby Miller,2022,SFG,36.20%,70.00%,-0.02,36.70%,0.4,Reliever,No
Shohei Ohtani,2021,LAA,28.80%,58.00%,22.35,21.00%,3,Starter,No
Shohei Ohtani,2022,LAA,31.60%,60.60%,32.65,26.50%,5.6,Starter,No
Sonny Gray,2021,CIN,30.10%,59.00%,3.64,18.30%,2.4,Starter,No
Sonny Gray,2022,MIN,29.40%,60.50%,11.88,16.60%,2.4,Starter,No
Spencer Howard,2021,- - -,28.20%,62.00%,-17.06,10.90%,0.3,Reliever,No
Spencer Howard,2022,TEX,25.30%,58.10%,-16.94,9.50%,-0.7,Reliever,No
Spencer Patton,2021,TEX,29.40%,54.70%,-0.96,19.20%,0.7,Reliever,No
Spencer Patton,2022,TEX,25.20%,44.80%,0.21,6.90%,-0.1,Reliever,No
Spencer Strider,2021,ATL,15.80%,55.60%,0.44,-11.10%,-0.1,Starter,No
Spencer Strider,2022,ATL,31.10%,60.20%,27.8,29.70%,4.9,Starter,No
Spenser Watkins,2021,BAL,22.80%,55.30%,-20.75,6.30%,-0.1,Starter,No
Spenser Watkins,2022,BAL,25.50%,65.80%,-8.58,7.20%,0.9,Starter,No
Stephen Nogosek,2021,NYM,37.50%,91.70%,-0.32,41.70%,-0.1,Reliever,No
Stephen Nogosek,2022,NYM,23.30%,62.10%,0.31,14.70%,-0.1,Reliever,No
Stephen Strasburg,2021,WSN,28.70%,47.40%,-0.21,7.40%,0,Reliever,No
Stephen Strasburg,2022,WSN,32.50%,60.90%,-4.83,13.00%,0,Reliever,No
Steve Cishek,2021,LAA,26.90%,55.80%,-0.87,7.50%,0.9,Reliever,No
Steve Cishek,2022,WSN,29.60%,59.90%,-5.89,16.40%,-0.3,Reliever,No
Steven Brault,2021,PIT,23.50%,51.20%,-4.53,5.50%,0.2,Reliever,Yes
Steven Brault,2022,CHC,25.50%,43.60%,-3.05,7.70%,0.1,Reliever,Yes
Steven Matz,2021,TOR,27.80%,59.20%,12.15,15.60%,2.8,Reliever,Yes
Steven Matz,2022,STL,30.40%,64.30%,-6.17,21.30%,0.7,Reliever,Yes
Steven Okert,2021,MIA,29.00%,51.40%,7.23,17.60%,0.2,Reliever,No
Steven Okert,2022,MIA,30.60%,57.00%,4.35,16.70%,-0.1,Reliever,No
T.J. McFarland,2021,STL,21.30%,52.10%,6.04,8.30%,0.3,Reliever,No
T.J. McFarland,2022,STL,22.00%,55.20%,-9.23,3.40%,-0.3,Reliever,No
T.J. Zeuch,2021,TOR,22.70%,70.30%,-8.03,-1.40%,-0.6,Reliever,No
T.J. Zeuch,2022,CIN,22.80%,59.40%,-11.38,-3.10%,-0.5,Reliever,No
Taijuan Walker,2021,NYM,28.30%,63.90%,-7.82,13.90%,1.4,Starter,No
Taijuan Walker,2022,NYM,26.60%,62.70%,12.43,13.40%,2.5,Starter,No
Tanner Houck,2021,BOS,30.50%,60.70%,9.94,23.20%,2.2,Reliever,No
Tanner Houck,2022,BOS,28.60%,51.40%,9.09,13.80%,0.7,Reliever,No
Tanner Rainey,2021,WSN,29.50%,60.30%,-12.01,11.30%,-0.3,Reliever,No
Tanner Rainey,2022,WSN,28.40%,56.30%,-0.03,18.00%,0.3,Reliever,No
Tanner Scott,2021,BAL,31.10%,55.40%,-11.67,13.10%,0.4,Reliever,No
Tanner Scott,2022,MIA,31.30%,54.70%,-7.24,15.20%,0.4,Reliever,No
Tarik Skubal,2021,DET,27.40%,64.00%,1.5,18.50%,0.6,Starter,No
Tarik Skubal,2022,DET,27.70%,65.00%,3.51,17.80%,2.9,Starter,No
Tayler Saucedo,2021,TOR,26.40%,49.50%,-0.91,8.30%,0.2,Reliever,No
Tayler Saucedo,2022,TOR,22.90%,53.30%,-4.31,-6.70%,-0.4,Reliever,No
Taylor Clarke,2021,ARI,23.20%,62.90%,-0.11,12.90%,0.5,Reliever,No
Taylor Clarke,2022,KCR,23.10%,66.50%,-5.36,19.70%,0.7,Reliever,No
Taylor Hearn,2021,TEX,26.90%,61.20%,-2.3,11.30%,0.2,Starter,No
Taylor Hearn,2022,TEX,25.90%,63.70%,-9.23,12.00%,0.9,Starter,No
Taylor Rogers,2021,MIN,34.00%,70.50%,-0.97,30.70%,1.5,Reliever,No
Taylor Rogers,2022,- - -,34.80%,68.20%,-7.43,24.10%,1,Reliever,No
Taylor Widener,2021,ARI,26.00%,53.90%,-0.37,11.30%,-0.2,Reliever,No
Taylor Widener,2022,ARI,24.60%,62.20%,-2.83,11.00%,0,Reliever,No
Thomas Hatch,2021,TOR,20.50%,60.00%,-0.27,4.40%,-0.1,Reliever,No
Thomas Hatch,2022,TOR,21.10%,76.90%,-7.76,7.70%,-0.3,Reliever,No
Thomas Szapucki,2021,NYM,24.40%,50.00%,-2.81,5.00%,-0.1,Reliever,No
Thomas Szapucki,2022,- - -,26.10%,61.20%,-7.14,16.40%,-0.3,Reliever,No
Tim Hill,2021,SDP,27.50%,63.90%,-2.53,12.90%,-0.2,Reliever,No
Tim Hill,2022,SDP,24.00%,54.80%,4.25,5.50%,0.5,Reliever,No
Tim Mayza,2021,TOR,29.30%,64.30%,8.17,21.40%,0.9,Reliever,No
Tim Mayza,2022,TOR,27.90%,62.20%,4.19,16.60%,0.1,Reliever,No
Tommy Hunter,2021,NYM,20.20%,66.70%,3.76,9.10%,0.1,Reliever,No
Tommy Hunter,2022,NYM,24.90%,70.20%,2.24,17.00%,0,Reliever,No
Tommy Milone,2021,TOR,28.20%,69.20%,-2.8,21.50%,0.1,Reliever,No
Tommy Milone,2022,SEA,23.10%,69.60%,-2.25,-1.40%,-0.3,Reliever,No
Tommy Nance,2021,CHC,31.10%,56.70%,-10.03,13.40%,-0.2,Reliever,No
Tommy Nance,2022,MIA,30.40%,58.20%,-8.03,18.40%,0.2,Reliever,No
Tony Gonsolin,2021,LAD,28.40%,57.30%,5.9,13.00%,0.5,Starter,No
Tony Gonsolin,2022,LAD,28.70%,63.30%,31.64,16.90%,2.7,Starter,No
Tony Santillan,2021,CIN,30.50%,53.20%,9.4,18.40%,0.2,Reliever,No
Tony Santillan,2022,CIN,28.20%,51.00%,-4.9,9.40%,0.2,Reliever,No
Touki Toussaint,2021,ATL,28.30%,57.90%,-3.04,12.00%,-0.2,Reliever,No
Touki Toussaint,2022,LAA,26.20%,45.40%,-3.1,6.50%,0,Reliever,No
Travis Lakins Sr.,2021,BAL,26.30%,57.70%,-4.27,5.70%,-0.1,Reliever,No
Travis Lakins Sr.,2022,BAL,23.60%,54.00%,-8.11,4.00%,-0.3,Reliever,No
Trent Thornton,2021,TOR,25.90%,59.30%,-3.71,16.70%,-0.4,Reliever,No
Trent Thornton,2022,TOR,28.60%,66.70%,5.5,10.60%,-0.1,Reliever,No
