Name,Team,F-Strike%
Matt Bush,MIL,59.25
Matt Dermody,CHC,57.1
Matt Foster,CHW,64.11666666666666
Matt Gage,TOR,56.75
Matt Koch,SEA,52.6
Matt Manning,DET,60.1
Matt Moore,TEX,59.333333333333336
Matt Peacock,ARI,61.5
Matt Peacock,KCR,65.75
Matt Reynolds,CIN,88.9
Matt Strahm,BOS,63.28333333333333
Matt Swarmer,CHC,47.76666666666667
Matt Wisler,TBR,60.120000000000005
Matthew Boyd,SEA,64.2
Matthew Festa,SEA,58.9
Matthew Liberatore,STL,55.660000000000004
Mauricio Llovera,SFG,60.625
Max Castillo,TOR,62.85
Max Castillo,KCR,66.15
Max Fried,ATL,61.73333333333333
Max Kranick,PIT,52.6
Max Meyer,MIA,73.1
Max Scherzer,NYM,65.88
Max Schrock,CIN,70.0
Merrill Kelly,ARI,62.18333333333334
Michael A. Taylor,KCR,61.5
Michael Feliz,BOS,46.2
Michael Fulmer,- - -,51.8
Michael Fulmer,DET,55.95
Michael Fulmer,MIN,51.8
Michael Grove,LAD,53.25
Michael Kelly,PHI,75.0
Michael King,NYY,63.875
Michael Kopech,CHW,56.98333333333333
Michael Lorenzen,LAA,63.720000000000006
Michael Pineda,DET,61.8
Michael Plassmeyer,PHI,67.5
Michael Rucker,CHC,55.166666666666664
Michael Wacha,BOS,60.260000000000005
Michel Baez,SDP,50.0
Miguel Castro,NYY,58.52
Miguel Diaz,DET,42.9
Miguel Sanchez,MIL,59.05
Miguel Yajure,PIT,67.05
Mike Baumann,BAL,65.4
Mike Brosseau,MIL,45.0
Mike Clevinger,SDP,60.220000000000006
Mike Ford,ATL,60.0
Mike Mayers,LAA,56.625
Mike Minor,CIN,61.025000000000006
Miles Mikolas,STL,63.68333333333334
Mitch Keller,PIT,57.26666666666667
Mitch White,LAD,55.975
Mitch White,TOR,65.1
Mychal Givens,CHC,57.3
Mychal Givens,NYM,58.25
Nabil Crismatt,SDP,58.51666666666667
Nash Walters,LAA,33.3
Nate Fisher,NYM,54.5
Nathan Eovaldi,BOS,67.18333333333334
Nestor Cortes,NYY,67.21666666666667
Nicholas Padilla,CHC,22.2
Nick Duron,PHI,50.0
Nick Gordon,MIN,26.833333333333332
Nick Lodolo,CIN,67.5
Nick Martinez,SDP,64.68333333333334
Nick Maton,PHI,85.7
Nick Mears,PIT,75.0
Nick Neidert,MIA,50.0
Nick Nelson,PHI,58.6
Nick Pivetta,BOS,60.23333333333333
Nick Sandlin,CLE,54.63333333333333
Nick Vespi,BAL,56.58
Nick Wittgren,STL,57.699999999999996
Nicklaus Snyder,TEX,42.9
Nicky Lopez,KCR,16.7
Noah Davis,COL,71.4
Noah Syndergaard,PHI,68.05000000000001
Noah Syndergaard,LAA,62.05
Noe Ramirez,ARI,60.67999999999999
Norge Ruiz,OAK,59.4
Oliver Ortega,LAA,59.42
Oliver Perez,ARI,66.7
Orlando Arcia,ATL,75.0
Pablo Lopez,MIA,63.199999999999996
Pablo Reyes,MIL,33.3
Packy Naughton,STL,58.61666666666667
Paolo Espino,WSN,59.85
Parker Markel,OAK,65.3
Parker Mushinski,HOU,68.325
Patrick Corbin,WSN,68.7
Patrick Murphy,WSN,55.9
Patrick Sandoval,LAA,57.93333333333334
Paul Blackburn,OAK,64.12
Paul Fry,BAL,56.95
Paul Fry,ARI,28.6
Paul Sewald,SEA,62.06666666666666
Pedro Avila,SDP,50.0
Pedro Baez,HOU,50.0
Penn Murfee,SEA,66.05
Pete Fairbanks,TBR,65.10000000000001
Peter Strzelecki,MIL,60.05
Phil Bickford,LAD,59.28333333333333
Phil Gosselin,LAA,66.7
Phil Maton,HOU,58.43333333333334
Phillip Diehl,CIN,63.55
Phillips Valdez,BOS,54.175
Phoenix Sanders,TBR,72.83333333333333
Pierce Johnson,SDP,60.150000000000006
R.J. Alvarez,NYM,76.9
Rafael Montero,HOU,61.916666666666664
Raisel Iglesias,ATL,59.6
Raisel Iglesias,LAA,62.025000000000006
Ralph Garza,TBR,67.0
Randal Grichuk,COL,33.3
Ranger Suarez,PHI,57.51666666666667
Ray Kerr,SDP,64.575
Raynel Espinal,CIN,52.4
Reed Garrett,WSN,62.36666666666667
Reese McGuire,BOS,66.7
Reid Detmers,LAA,59.98333333333333
Reiss Knehr,SDP,53.025
Reiver Sanmartin,CIN,60.166666666666664
Reyes Moronta,ARI,56.9
Reyes Moronta,LAD,64.575
Reyes Moronta,- - -,52.8
Reynaldo Lopez,CHW,61.800000000000004
Rich Hill,BOS,63.78333333333333
Richard Bleier,MIA,67.38333333333334
Rico Garcia,BAL,56.25
Riley O'Brien,SEA,60.0
Roansy Contreras,PIT,61.15
Rob Zastryzny,LAA,41.7
Rob Zastryzny,NYM,50.0
Robbie Erlin,LAD,77.8
Robbie Ray,SEA,64.35000000000001
Robert Dugger,CIN,48.55
Robert Dugger,- - -,50.0
Robert Gsellman,CHC,64.1
Robert Stephenson,PIT,67.4
Robert Stephenson,COL,59.45
Robert Stephenson,- - -,68.9
Robert Suarez,SDP,65.16
Roenis Elias,SEA,72.3
Ron Marinaccio,NYY,58.36666666666667
Ronald Bolanos,KCR,58.800000000000004
