Name,Team,Type,CSW%,F-Strike%,RE24,WAR,K-BB%,CSW%Diff,F-Strike%Diff,RE24Diff
Blake Taylor,HOU,Reliever,19.466666666666665,53.23333333333333,-0.2133333333333333,-0.0333333333333333,-17.033333333333335,-0.0,-0.0,-0.0
Blake Treinen,LAD,Reliever,26.55,58.55,0.85,0.0,25.0,-0.0,-0.0,-0.0
Bowden Francis,TOR,Reliever,22.2,66.7,0.2,0.0,33.3,-0.0,-0.0,-0.0
Brad Boxberger,MIL,Reliever,30.816666666666663,67.0,0.8233333333333333,0.1166666666666666,14.85,-0.0,-0.0,-0.0
Brad Hand,PHI,Reliever,29.166666666666668,57.25,-0.5233333333333333,0.0666666666666666,8.4,-0.0,-0.0,-0.0
Brad Keller,KCR,Starter,23.53333333333333,53.78333333333333,-3.6766666666666654,0.1166666666666666,7.783333333333334,-0.0,-0.0,-0.0
Brady Singer,KCR,Starter,30.58333333333333,58.66666666666666,3.286666666666666,0.5,19.066666666666663,-0.0,-0.0,-0.0
Brandon Bielak,HOU,Reliever,25.566666666666663,49.333333333333336,0.2466666666666667,-0.0333333333333333,14.633333333333336,-0.0,-0.0,-0.0
Brandon Hughes,CHC,Reliever,30.7,66.88,1.156,-0.06,19.36,-0.0,-0.0,-0.0
Brandon Woodruff,MIL,Starter,31.883333333333336,63.38333333333333,4.196666666666666,0.6333333333333333,28.183333333333334,-0.0,-0.0,-0.0
Braxton Garrett,MIA,Starter,30.85,65.9,1.075,0.375,17.225,-0.0,-0.0,-0.0
Brayan Bello,BOS,Reliever,27.83333333333333,62.56666666666666,-0.6999999999999998,0.4000000000000001,10.533333333333331,-0.0,-0.0,-0.0
Brendon Little,CHC,Reliever,18.2,66.7,-2.75,-0.2,-16.7,-0.0,-0.0,-0.0
Brennan Bernardino,SEA,Reliever,5.7,46.65,-1.275,-0.05,-21.65,-0.0,-0.0,-0.0
Brent Suter,MIL,Reliever,27.616666666666664,62.333333333333336,0.1616666666666667,-0.0333333333333333,11.2,-0.0,-0.0,-0.0
Brett Martin,TEX,Reliever,26.816666666666663,61.26666666666667,-0.94,0.0166666666666666,9.183333333333334,-0.0,-0.0,-0.0
Brett Phillips,TBR,Reliever,14.633333333333333,59.16666666666666,-2.0733333333333333,-0.0666666666666666,-6.666666666666667,-0.0,-0.0,-0.0
Brian Moran,LAA,Reliever,20.0,60.0,-2.69,-0.1,-20.0,-0.0,-0.0,-0.0
Brian Serven,COL,Reliever,12.5,66.7,0.64,0.0,-33.3,-0.0,-0.0,-0.0
Brock Burke,TEX,Reliever,28.23333333333333,59.616666666666674,2.0,0.1333333333333333,20.23333333333333,-0.0,-0.0,-0.0
Brooks Raley,TBR,Reliever,29.96666666666667,63.86666666666667,0.955,0.1666666666666666,20.6,-0.0,-0.0,-0.0
Bruce Zimmermann,BAL,Starter,24.74,61.48,-3.082,-0.1,8.82,-0.0,-0.0,-0.0
Brusdar Graterol,LAD,Reliever,25.8,69.51666666666667,1.0116666666666665,0.1333333333333333,18.55,-0.0,-0.0,-0.0
Bryan Abreu,HOU,Reliever,30.73333333333333,56.26666666666666,0.7866666666666666,0.2333333333333333,25.9,-0.0,-0.0,-0.0
Bryan Baker,BAL,Reliever,28.3,63.11666666666667,0.485,0.25,17.766666666666666,-0.0,-0.0,-0.0
Bryan Garcia,DET,Reliever,28.566666666666663,55.13333333333333,0.6466666666666666,-0.0333333333333333,8.666666666666666,-0.0,-0.0,-0.0
Bryan Hoeing,MIA,Reliever,23.1,50.4,-5.735,-0.2,2.0,-0.0,-0.0,-0.0
Bryan Shaw,CLE,Reliever,24.0,61.01666666666667,-1.5916666666666668,-0.0666666666666666,9.466666666666669,-0.0,-0.0,-0.0
Bryce Elder,ATL,Reliever,26.633333333333336,56.53333333333333,2.2133333333333334,0.2666666666666666,12.4,-0.0,-0.0,-0.0
Bryce Montes de Oca,NYM,Reliever,28.6,84.2,-1.3,0.1,21.1,-0.0,-0.0,-0.0
Bryse Wilson,PIT,Starter,23.73333333333333,57.53333333333333,-3.2466666666666666,0.0166666666666666,8.783333333333333,-0.0,-0.0,-0.0
Bubby Rossman,PHI,Reliever,33.3,40.0,-1.49,-0.1,0.0,-0.0,-0.0,-0.0
Buck Farmer,CIN,Reliever,28.3,63.58,0.5900000000000001,0.22,13.580000000000002,-0.0,-0.0,-0.0
Cade Cavalli,WSN,Reliever,22.2,56.5,-3.05,0.1,17.4,-0.0,-0.0,-0.0
Cal Quantrill,CLE,Starter,23.816666666666663,63.383333333333326,1.586666666666667,0.3833333333333333,9.766666666666667,-0.0,-0.0,-0.0
Caleb Ferguson,LAD,Reliever,29.34,48.96,1.416,0.08,10.58,-0.0,-0.0,-0.0
Caleb Kilian,CHC,Reliever,20.4,55.4,-9.16,0.0,-5.4,-0.0,-0.0,-0.0
Caleb Smith,ARI,Reliever,26.45,61.93333333333334,-0.225,-0.1166666666666666,7.466666666666666,-0.0,-0.0,-0.0
Caleb Thielbar,MIN,Reliever,30.2,67.55,1.105,0.2666666666666666,24.71666666666667,-0.0,-0.0,-0.0
Calvin Faucher,TBR,Reliever,24.725,46.35,-1.915,-0.025,6.15,-0.0,-0.0,-0.0
Cam Alldred,PIT,Reliever,31.3,75.0,0.11,0.0,25.0,-0.0,-0.0,-0.0
