Name,Team,CSW%,F-Strike%,RE24,WAR,K-BB%,Type,NewTeamDeadline22,CSW%Diff,F-Strike%Diff,RE24Diff,WARDiff,K-BB%Diff
Carson Kelly,ARI,15.175,57.725,-0.7925,-0.025,-6.35,Reliever,No,0,0,0,0,0
Casey Lawrence,TOR,22.7,75.225,-1.7625,-0.1,7.225,Reliever,No,0,0,0,0,0
Casey Mize,DET,21.9,57.8,-1.11,0.1,4.4,Reliever,No,0,0,0,0,0
Cesar Valdez,LAA,6.3,60,-2.72,0,0,Reliever,No,0,0,0,0,0
Chad Green,NYY,26.8,68.75,0.455,0.15,21.55,Reliever,No,0,0,0,0,0
Chad Kuhl,COL,25.76666667,60.48333333,-2.93,0.133333333,8.35,Starter,No,0,0,0,0,0
Chad Pinder,OAK,15.4,42.9,-2.56,0,-28.6,Reliever,No,0,0,0,0,0
Chad Smith,COL,32.2,45.175,-2.715,-0.025,13.975,Reliever,No,0,0,0,0,0
Charlie Culberson,TEX,17.9,56.65,0.495,0,-10,Reliever,No,0,0,0,0,0
Charlie Morton,ATL,30.25,58.83333333,0.028333333,0.233333333,18.88333333,Starter,No,0,0,0,0,0
Chase Anderson,CIN,22.65,61,-2.055,0,4.5,Reliever,No,0,0,0,0,0
Chase De Jong,PIT,26.76666667,61.16666667,2.083333333,-0.016666667,10.18333333,Reliever,No,0,0,0,0,0
Chase Silseth,LAA,27.86666667,63.1,-2.693333333,-0.1,11,Reliever,No,0,0,0,0,0
Chasen Shreve,NYM,36.475,77.475,-2.175,-0.05,38.25,Reliever,No,0,0,0,0,0
Chi Chi Gonzalez,- - -,26.5,68.8,-4.78,-0.2,9.4,Reliever,Yes,0,0,0,0,0
Chi Chi Gonzalez,MIL,29.3,53.3,-1.16,-0.1,13.3,Reliever,Yes,-1.8,6.2,5.63,0.3,-9.4
Chi Chi Gonzalez,NYY,24.7,75,0.85,0.1,0,Reliever,Yes,-4.6,21.7,2.01,0.2,-13.3
Chris Archer,MIN,25.21666667,56.08333333,-0.72,0.083333333,6.25,Starter,No,0,0,0,0,0
Chris Bassitt,NYM,29.41666667,61.46666667,2.25,0.466666667,16.21666667,Starter,No,0,0,0,0,0
Chris Devenski,ARI,29.6,75,-0.855,0,20.45,Reliever,Yes,0,0,0,0,0
Chris Devenski,PHI,29.9,78.9,-2.02,0,15.8,Reliever,Yes,0.3,3.9,-1.165,0,-4.65
Chris Ellis,BAL,20.5,56,-2.77,-0.1,-16,Reliever,No,0,0,0,0,0
Chris Flexen,SEA,22.71666667,58.7,0.43,0.133333333,7.666666667,Starter,No,0,0,0,0,0
Chris Martin,LAD,31.35,84.6,5.195,0.6,35.7,Reliever,Yes,0,0,0,0,0
Chris Martin,CHC,26.675,72,0.2475,0.125,25.9,Reliever,Yes,-4.675,-12.6,-4.9475,-0.475,-9.8
Chris Mazza,TBR,20.7,57.1,-9.28,-0.5,-2.9,Reliever,No,0,0,0,0,0
Chris Owings,BAL,20,80,-0.52,0,0,Reliever,No,0,0,0,0,0
Chris Paddack,MIN,26.65,67.2,0.275,0.45,19.1,Reliever,No,0,0,0,0,0
Chris Sale,BOS,32.4,60,-0.61,0.2,16,Reliever,No,0,0,0,0,0
Chris Stratton,PIT,28.2,63.925,-2.565,0.1,13.2,Reliever,Yes,0,0,0,0,0
Chris Stratton,STL,26.05,55.35,1.965,0.1,11.3,Reliever,Yes,-2.15,-8.575,4.53,0,-1.9
Christian Bethancourt,TBR,30.95,85,0.205,0,5,Reliever,Yes,0,0,0,0,0
Christian Bethancourt,OAK,8.3,50,0.53,0,-25,Reliever,Yes,-22.65,-35,0.325,0,-30
Cionel Perez,BAL,28.05,60.86666667,2.231666667,0.133333333,14.51666667,Reliever,No,0,0,0,0,0
Clarke Schmidt,NYY,29.53333333,56.13333333,0.758333333,0.033333333,13.2,Reliever,No,0,0,0,0,0
Clay Holmes,NYY,30.36666667,54.6,1.341666667,0.183333333,16.93333333,Reliever,No,0,0,0,0,0
Clayton Kershaw,LAD,29.51666667,66.36666667,4.376666667,0.666666667,19.98333333,Starter,No,0,0,0,0,0
Cody Morris,CLE,25.2,63,3.31,0.1,11,Reliever,No,0,0,0,0,0
Cody Poteet,MIA,26.16666667,56,-0.663333333,0,9,Reliever,No,0,0,0,0,0
Cody Sedlock,BAL,28.2,62.5,-2.96,0,12.5,Reliever,No,0,0,0,0,0
