Name,Team,CSW%
Luis Ortiz (SFG),SFG,28.0
Luis Patino,TBR,29.075000000000003
Luis Perdomo,MIL,28.1
Luis Severino,NYY,27.380000000000003
Luis Torrens,SEA,14.25
Luke Bard,NYY,25.0
Luke Bard,TBR,26.299999999999997
Luke Barker,MIL,27.8
Luke Farrell,- - -,28.1
Luke Farrell,CHC,24.8
Luke Weaver,ARI,25.166666666666668
Luke Weaver,KCR,21.1
MacKenzie Gore,SDP,25.95
Madison Bumgarner,ARI,24.0
Manny Banuelos,NYY,24.3
Manny Banuelos,PIT,27.133333333333336
Manuel Rodriguez,CHC,23.0
Marco Gonzales,SEA,23.75
Marcos Diplan,BAL,24.549999999999997
Marcus Stroman,CHC,28.116666666666664
Mark Appel,PHI,24.933333333333334
Mark Leiter,CHC,29.116666666666664
Mark Melancon,ARI,25.133333333333336
Martin Perez,TEX,27.366666666666664
Marwin Gonzalez,NYY,25.0
Mason Thompson,WSN,25.275
Matt Barnes,BOS,28.65
Matt Batten,SDP,25.799999999999997
Matt Brash,SEA,31.939999999999998
Matt Bush,MIL,33.0
Matt Bush,TEX,34.1
Matt Dermody,CHC,23.1
Matt Foster,CHW,22.866666666666664
Matt Gage,TOR,28.9
Matt Koch,SEA,25.0
Matt Manning,DET,24.633333333333336
Matt Moore,TEX,29.3
Matt Peacock,KCR,25.0
Matt Peacock,ARI,31.1
Matt Reynolds,CIN,14.3
Matt Strahm,BOS,28.599999999999998
Matt Swarmer,CHC,26.733333333333334
Matt Wisler,TBR,27.18
Matthew Boyd,SEA,31.8
Matthew Festa,SEA,31.166666666666668
Matthew Liberatore,STL,26.0
Mauricio Llovera,SFG,29.925
Max Castillo,KCR,24.45
Max Castillo,TOR,29.65
Max Fried,ATL,27.633333333333336
Max Kranick,PIT,21.1
Max Meyer,MIA,28.1
Max Scherzer,NYM,30.8
Max Schrock,CIN,3.8
Merrill Kelly,ARI,26.650000000000002
Michael A. Taylor,KCR,29.7
Michael Feliz,BOS,31.1
Michael Fulmer,- - -,27.5
Michael Fulmer,DET,29.25
Michael Fulmer,MIN,21.8
Michael Grove,LAD,20.725
Michael Kelly,PHI,29.549999999999997
Michael King,NYY,34.65
Michael Kopech,CHW,27.2
Michael Lorenzen,LAA,26.060000000000002
Michael Pineda,DET,23.4
Michael Plassmeyer,PHI,43.35
Michael Rucker,CHC,25.3
Michael Wacha,BOS,24.619999999999997
Michel Baez,SDP,15.700000000000001
Miguel Castro,NYY,30.74
Miguel Diaz,DET,28.6
Miguel Sanchez,MIL,29.65
Miguel Yajure,PIT,19.740000000000002
Mike Baumann,BAL,22.125
Mike Brosseau,MIL,15.4
Mike Clevinger,SDP,26.639999999999997
Mike Ford,ATL,6.7
Mike Mayers,LAA,25.425
Mike Minor,CIN,25.575
Miles Mikolas,STL,26.016666666666666
Mitch Keller,PIT,25.766666666666666
Mitch White,TOR,23.5
Mitch White,LAD,24.7
Mychal Givens,CHC,28.55
Mychal Givens,NYM,29.4
Nabil Crismatt,SDP,29.933333333333334
Nash Walters,LAA,0.0
Nate Fisher,NYM,24.0
Nathan Eovaldi,BOS,28.233333333333334
Nestor Cortes,NYY,28.3
Nicholas Padilla,CHC,23.1
Nick Duron,PHI,31.3
Nick Gordon,MIN,10.933333333333332
Nick Lodolo,CIN,29.725
Nick Martinez,SDP,29.366666666666664
Nick Maton,PHI,28.0
Nick Mears,PIT,22.6
Nick Neidert,MIA,25.6
Nick Nelson,PHI,25.45
Nick Pivetta,BOS,26.916666666666668
Nick Sandlin,CLE,27.733333333333334
Nick Vespi,BAL,34.46
Nick Wittgren,STL,23.866666666666664
Nicklaus Snyder,TEX,12.1
Nicky Lopez,KCR,6.3
Noah Davis,COL,43.8
Noah Syndergaard,LAA,27.775
Noah Syndergaard,PHI,23.8
Noe Ramirez,ARI,29.4
Norge Ruiz,OAK,24.3
Oliver Ortega,LAA,30.76
Oliver Perez,ARI,26.0
Orlando Arcia,ATL,10.0
Pablo Lopez,MIA,28.316666666666666
Pablo Reyes,MIL,33.3
Packy Naughton,STL,24.916666666666668
Paolo Espino,WSN,28.016666666666666
Parker Markel,OAK,26.099999999999998
Parker Mushinski,HOU,31.475
Patrick Corbin,WSN,25.883333333333336
Patrick Murphy,WSN,20.4
Patrick Sandoval,LAA,29.316666666666666
Paul Blackburn,OAK,26.080000000000002
Paul Fry,ARI,29.6
Paul Fry,BAL,30.700000000000003
Paul Sewald,SEA,31.616666666666664
Pedro Avila,SDP,30.0
Pedro Baez,HOU,26.0
Penn Murfee,SEA,30.066666666666663
Pete Fairbanks,TBR,34.333333333333336
Peter Strzelecki,MIL,31.375
Phil Bickford,LAD,27.96666666666667
Phil Gosselin,LAA,0.0
Phil Maton,HOU,29.866666666666664
Phillip Diehl,CIN,28.25
Phillips Valdez,BOS,27.55
Phoenix Sanders,TBR,28.166666666666668
Pierce Johnson,SDP,30.0
R.J. Alvarez,NYM,31.4
Rafael Montero,HOU,28.96666666666667
Raisel Iglesias,ATL,31.5
Raisel Iglesias,LAA,33.35
Ralph Garza,TBR,26.02
Randal Grichuk,COL,20.0
Ranger Suarez,PHI,25.916666666666668
Ray Kerr,SDP,23.4
Raynel Espinal,CIN,30.3
Reed Garrett,WSN,23.633333333333336
Reese McGuire,BOS,14.3
Reid Detmers,LAA,26.900000000000002
Reiss Knehr,SDP,20.55
Reiver Sanmartin,CIN,27.233333333333334
Reyes Moronta,- - -,28.7
Reyes Moronta,ARI,28.9
Reyes Moronta,LAD,29.0
Reynaldo Lopez,CHW,29.516666666666666
Rich Hill,BOS,29.46666666666667
Richard Bleier,MIA,25.016666666666666
Rico Garcia,BAL,20.1
Riley O'Brien,SEA,17.4
Roansy Contreras,PIT,30.03333333333333
Rob Zastryzny,LAA,21.6
Rob Zastryzny,NYM,23.8
Robbie Erlin,LAD,17.5
Robbie Ray,SEA,26.516666666666666
Robert Dugger,- - -,28.8
Robert Dugger,CIN,29.6
Robert Gsellman,CHC,23.7
Robert Stephenson,- - -,30.4
Robert Stephenson,COL,26.125
Robert Stephenson,PIT,38.3
