#,Name,Team,IP,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,Year,YearDate
620,Dominic Leone,SFG,49.1,146,89.9,108.4,16.2,9,6.2%,60,41.1%,4.01,3.72,2022.0,2022-01-01
621,Michael Kopech,CHW,119.1,329,89.9,113.7,18.3,29,8.8%,136,41.3%,3.54,3.94,2022.0,2022-01-01
622,Tommy Henry,ARI,47.0,145,90.0,109.6,13.7,13,9.0%,57,39.3%,5.36,4.87,2022.0,2022-01-01
623,Nash Walters,LAA,0.1,2,90.0,94.4,-24.8,0,0.0%,0,0.0%,0.00,3.51,2022.0,2022-01-01
624,Jose Berrios,TOR,172.0,548,90.0,113.8,13.9,52,9.5%,238,43.4%,5.23,5.11,2022.0,2022-01-01
625,Kris Bubic,KCR,129.0,410,90.0,114.4,10.7,32,7.8%,184,44.9%,5.58,5.67,2022.0,2022-01-01
626,Spenser Watkins,BAL,105.1,362,90.0,112.8,11.6,26,7.2%,136,37.6%,4.70,5.07,2022.0,2022-01-01
627,Pedro Baez,HOU,2.1,11,90.0,103.4,12.2,1,9.1%,6,54.5%,11.57,10.00,2022.0,2022-01-01
628,Adrian Morejon,SDP,34.0,103,90.0,107.9,19.2,9,8.7%,39,37.9%,4.24,3.94,2022.0,2022-01-01
629,Antonio Senzatela,COL,92.1,333,90.0,115.8,6.7,15,4.5%,138,41.4%,5.07,5.24,2022.0,2022-01-01
630,Nick Gordon,MIN,3.2,21,90.0,111.5,29.4,2,9.5%,7,33.3%,22.09,7.22,2022.0,2022-01-01
631,Jacob Barnes,- - -,22.1,74,90.0,108.0,6.6,5,6.8%,31,41.9%,5.64,4.78,2022.0,2022-01-01
632,Ryan Weber,NYY,10.2,33,90.0,105.1,6.3,2,6.1%,14,42.4%,0.84,4.65,2022.0,2022-01-01
633,Bailey Ober,MIN,56.0,163,90.1,112.3,19.5,19,11.7%,60,36.8%,3.21,4.71,2022.0,2022-01-01
634,Jason Alexander,MIL,71.2,243,90.1,115.4,4.7,20,8.2%,106,43.6%,5.40,5.49,2022.0,2022-01-01
635,Blake Snell,SDP,128.0,311,90.1,113.5,17.1,23,7.4%,121,38.9%,3.38,3.19,2022.0,2022-01-01
636,Kohei Arihara,TEX,20.0,80,90.1,111.5,6.7,8,10.0%,35,43.8%,9.45,7.13,2022.0,2022-01-01
637,Roansy Contreras,PIT,95.0,281,90.1,112.0,17.7,31,11.0%,129,45.9%,3.79,4.43,2022.0,2022-01-01
638,Adam Oller,OAK,74.1,250,90.1,112.2,19.1,25,10.0%,104,41.6%,6.30,5.82,2022.0,2022-01-01
639,Kirby Yates,ATL,7.0,22,90.1,109.8,22.9,4,18.2%,10,45.5%,5.14,4.78,2022.0,2022-01-01
640,Anthony Misiewicz,- - -,29.0,84,90.1,108.5,16.2,10,11.9%,35,41.7%,4.34,4.05,2022.0,2022-01-01
641,Trent Thornton,TOR,46.0,134,90.1,109.7,19.2,9,6.7%,59,44.0%,4.11,5.17,2022.0,2022-01-01
642,James Naile,STL,9.0,30,90.1,107.6,9.2,2,6.7%,16,53.3%,5.00,5.71,2022.0,2022-01-01
643,Josh Harrison,CHW,3.0,14,90.1,104.8,15.8,1,7.1%,6,42.9%,18.00,6.25,2022.0,2022-01-01
644,Jesse Chavez,- - -,69.1,197,90.1,116.8,13.4,16,8.1%,91,46.2%,3.76,4.31,2022.0,2022-01-01
645,Alex Colome,COL,47.0,161,90.1,115.2,1.1,16,9.9%,74,46.0%,5.74,5.78,2022.0,2022-01-01
646,Joel Kuhnel,CIN,58.0,180,90.1,109.4,7.6,13,7.2%,70,38.9%,6.36,3.78,2022.0,2022-01-01
647,Drew Smith,NYM,46.0,119,90.1,109.2,19.5,14,11.8%,60,50.4%,3.33,3.78,2022.0,2022-01-01
648,Connor Overton,CIN,33.0,99,90.2,115.5,16.2,3,3.0%,41,41.4%,2.73,3.41,2022.0,2022-01-01
649,Triston McKenzie,CLE,191.1,502,90.2,113.0,19.7,49,9.8%,203,40.4%,2.96,3.54,2022.0,2022-01-01
650,Cody Sedlock,BAL,3.0,12,90.2,105.2,7.7,1,8.3%,8,66.7%,15.00,6.70,2022.0,2022-01-01
651,Kyle Finnegan,WSN,66.2,176,90.2,114.3,8.3,14,8.0%,77,43.8%,3.51,3.29,2022.0,2022-01-01
652,Josh Staumont,KCR,37.2,103,90.2,107.8,18.6,6,5.8%,45,43.7%,6.45,4.97,2022.0,2022-01-01
653,Jake McGee,- - -,37.0,126,90.2,111.5,22.6,15,11.9%,53,42.1%,6.81,5.14,2022.0,2022-01-01
654,Cole Sulser,MIA,34.0,95,90.2,113.4,13.9,8,8.4%,40,42.1%,5.29,4.97,2022.0,2022-01-01
655,JC Mejia,MIL,2.1,10,90.2,111.0,-0.5,0,0.0%,4,40.0%,23.14,13.27,2022.0,2022-01-01
656,Robert Gsellman,CHC,15.1,52,90.2,107.7,10.9,7,13.5%,26,50.0%,4.70,7.22,2022.0,2022-01-01
657,Tyler Duffey,MIN,44.0,130,90.2,115.4,9.6,11,8.5%,56,43.1%,4.91,5.53,2022.0,2022-01-01
658,Kodi Whitley,STL,12.2,36,90.2,108.9,15.7,3,8.3%,14,38.9%,5.68,6.45,2022.0,2022-01-01
659,Aaron Bummer,CHW,26.2,75,90.2,113.2,-3.5,5,6.7%,34,45.3%,2.36,3.97,2022.0,2022-01-01
660,Jon Heasley,KCR,104.0,342,90.2,112.5,14.9,32,9.4%,154,45.0%,5.28,5.35,2022.0,2022-01-01
661,Seranthony Dominguez,PHI,51.0,123,90.2,111.9,8.9,10,8.1%,56,45.5%,3.00,3.36,2022.0,2022-01-01
662,Sean Manaea,SDP,158.0,462,90.3,113.3,16.3,42,9.1%,197,42.6%,4.96,4.05,2022.0,2022-01-01
663,Drew Hutchison,DET,105.1,352,90.3,110.0,14.3,31,8.8%,144,40.9%,4.53,5.38,2022.0,2022-01-01
664,Phil Gosselin,LAA,1.0,3,90.3,94.8,7.5,0,0.0%,0,0.0%,0.00,2.68,2022.0,2022-01-01
665,Shelby Miller,SFG,7.0,13,90.3,108.1,23.5,0,0.0%,4,30.8%,6.43,1.90,2022.0,2022-01-01
666,Matt Bush,- - -,59.2,149,90.3,110.4,15.2,8,5.4%,59,39.6%,3.47,2.64,2022.0,2022-01-01
667,Andrew Knizner,STL,0.2,3,90.3,100.1,2.7,0,0.0%,1,33.3%,0.00,7.18,2022.0,2022-01-01
668,Cory Abbott,WSN,48.0,141,90.3,111.4,23.8,17,12.1%,59,41.8%,5.25,4.43,2022.0,2022-01-01
669,Art Warren,CIN,36.0,101,90.3,111.7,17.3,12,11.9%,41,40.6%,6.50,4.81,2022.0,2022-01-01
670,Jonathan Hernandez,TEX,30.1,86,90.3,113.3,0.5,4,4.7%,43,50.0%,2.97,4.08,2022.0,2022-01-01
671,Jordan Romano,TOR,64.0,160,90.3,114.8,12.5,11,6.9%,73,45.6%,2.11,3.31,2022.0,2022-01-01
672,Julian Merryweather,TOR,26.2,87,90.3,110.5,14.3,9,10.3%,39,44.8%,6.75,4.49,2022.0,2022-01-01
673,Madison Bumgarner,ARI,158.2,528,90.3,113.6,16.8,52,9.8%,226,42.8%,4.88,5.53,2022.0,2022-01-01
674,Josh Fleming,TBR,35.0,127,90.4,114.0,-3.7,10,7.9%,55,43.3%,6.43,4.37,2022.0,2022-01-01
675,Hunter Harvey,WSN,39.1,100,90.4,110.1,14.5,5,5.0%,44,44.0%,2.52,2.76,2022.0,2022-01-01
676,Jared Koenig,OAK,39.1,135,90.4,109.3,12.3,7,5.2%,59,43.7%,5.72,5.14,2022.0,2022-01-01
677,Hanser Alberto,LAD,11.0,42,90.4,106.7,26.6,4,9.5%,16,38.1%,4.09,4.71,2022.0,2022-01-01
678,Reed Garrett,WSN,9.1,34,90.4,109.8,8.7,2,5.9%,15,44.1%,6.75,6.41,2022.0,2022-01-01
679,Oliver Ortega,LAA,34.0,96,90.4,110.8,9.3,7,7.3%,42,43.8%,3.71,5.04,2022.0,2022-01-01
680,Chad Kuhl,COL,137.0,444,90.5,117.2,15.8,43,9.7%,198,44.6%,5.72,5.31,2022.0,2022-01-01
681,German Marquez,COL,181.2,562,90.5,112.2,9.1,40,7.1%,263,46.8%,5.00,4.49,2022.0,2022-01-01
682,Ian Hamilton,MIN,2.2,10,90.5,100.9,17.5,0,0.0%,4,40.0%,6.75,6.01,2022.0,2022-01-01
683,Liam Hendriks,CHW,57.2,132,90.5,112.0,17.8,12,9.1%,52,39.4%,2.81,2.59,2022.0,2022-01-01
684,Pedro Avila,SDP,4.0,11,90.5,106.3,4.2,2,18.2%,4,36.4%,4.50,6.17,2022.0,2022-01-01
685,Dinelson Lamet,- - -,32.1,81,90.5,110.7,15.6,8,9.9%,36,44.4%,6.12,4.56,2022.0,2022-01-01
686,David Bednar,PIT,51.2,124,90.5,112.5,15.3,9,7.3%,57,46.0%,2.61,3.22,2022.0,2022-01-01
687,JP Sears,- - -,70.0,212,90.5,118.0,17.3,19,9.0%,92,43.4%,3.86,4.49,2022.0,2022-01-01
688,Jordan Weems,WSN,39.2,113,90.6,109.3,20.6,8,7.1%,46,40.7%,5.22,3.39,2022.0,2022-01-01
689,Eric Stout,- - -,22.1,66,90.6,112.2,21.6,6,9.1%,24,36.4%,5.64,4.37,2022.0,2022-01-01
690,Tommy Hunter,NYM,22.1,66,90.6,113.4,14.0,9,13.6%,30,45.5%,2.42,4.53,2022.0,2022-01-01
691,Enyel De Los Santos,CLE,53.1,135,90.6,111.1,12.0,13,9.6%,61,45.2%,3.04,3.91,2022.0,2022-01-01
692,Robert Stephenson,- - -,58.0,177,90.6,112.3,21.0,16,9.0%,74,41.8%,5.43,4.78,2022.0,2022-01-01
693,Dauri Moreta,CIN,38.1,104,90.6,116.5,22.9,13,12.5%,43,41.3%,5.40,4.02,2022.0,2022-01-01
694,Wil Myers,SDP,3.2,15,90.7,103.6,31.4,2,13.3%,8,53.3%,7.36,6.41,2022.0,2022-01-01
695,Sean Newcomb,- - -,27.2,87,90.7,110.2,18.7,12,13.8%,40,46.0%,8.78,6.53,2022.0,2022-01-01
696,Victor Caratini,MIL,1.0,5,90.7,99.0,14.8,0,0.0%,2,40.0%,27.00,4.43,2022.0,2022-01-01
697,Nick Pivetta,BOS,179.2,520,90.7,117.5,15.3,47,9.0%,236,45.4%,4.56,4.65,2022.0,2022-01-01
698,Calvin Faucher,TBR,21.1,69,90.7,109.8,12.3,9,13.0%,29,42.0%,5.48,6.01,2022.0,2022-01-01
699,Heath Hembree,- - -,22.0,73,90.7,110.7,24.2,11,15.1%,37,50.7%,7.36,7.55,2022.0,2022-01-01
700,Craig Kimbrel,LAD,60.0,155,90.7,110.7,16.0,14,9.0%,68,43.9%,3.75,3.51,2022.0,2022-01-01
701,Jason Foley,DET,60.1,200,90.7,111.4,3.2,9,4.5%,84,42.0%,3.88,3.62,2022.0,2022-01-01
702,Ryan Brasier,BOS,62.1,185,90.7,113.4,11.5,16,8.6%,86,46.5%,5.78,3.97,2022.0,2022-01-01
703,Adonis Medina,NYM,23.2,83,90.7,110.2,7.0,6,7.2%,46,55.4%,6.08,5.28,2022.0,2022-01-01
704,Matt Swarmer,CHC,34.0,97,90.7,119.8,17.7,13,13.4%,47,48.5%,5.03,5.63,2022.0,2022-01-01
705,John King,TEX,51.1,177,90.7,113.5,0.2,11,6.2%,79,44.6%,4.03,4.20,2022.0,2022-01-01
706,Max Castillo,- - -,39.1,116,90.7,111.3,11.5,12,10.3%,51,44.0%,5.95,4.74,2022.0,2022-01-01
707,Jeurys Familia,- - -,44.1,139,90.8,112.4,7.5,14,10.1%,65,46.8%,6.09,4.87,2022.0,2022-01-01
708,Aaron Fletcher,PIT,11.2,39,90.8,112.6,12.5,4,10.3%,20,51.3%,6.94,5.49,2022.0,2022-01-01
709,Yonny Chirinos,TBR,7.0,22,90.8,104.6,-2.5,1,4.5%,10,45.5%,0.00,3.01,2022.0,2022-01-01
710,MacKenzie Gore,SDP,70.0,196,90.8,112.2,13.7,19,9.7%,89,45.4%,4.50,5.21,2022.0,2022-01-01
711,Patrick Corbin,WSN,152.2,529,90.8,112.9,11.5,58,11.0%,236,44.6%,6.31,6.41,2022.0,2022-01-01
712,Bryse Wilson,PIT,115.2,389,90.8,111.3,11.4,30,7.7%,169,43.4%,5.52,5.53,2022.0,2022-01-01
713,Cole Waites,SFG,5.2,17,90.8,110.0,17.4,1,5.9%,7,41.2%,3.18,4.84,2022.0,2022-01-01
714,Jandel Gustave,MIL,28.0,80,90.8,114.5,10.7,5,6.3%,34,42.5%,3.86,4.00,2022.0,2022-01-01
715,Bryan Shaw,CLE,58.1,179,90.8,113.1,8.3,12,6.7%,78,43.6%,5.40,4.74,2022.0,2022-01-01
716,Rico Garcia,BAL,8.0,30,90.9,110.4,27.5,2,6.7%,14,46.7%,4.50,4.59,2022.0,2022-01-01
717,Jared Solomon,CIN,8.1,24,90.9,111.7,22.6,1,4.2%,10,41.7%,10.80,2.57,2022.0,2022-01-01
718,Chase Silseth,LAA,28.2,92,90.9,113.5,7.5,10,10.9%,47,51.1%,6.59,6.61,2022.0,2022-01-01
719,Luis Torrens,SEA,2.0,10,91.0,103.8,16.0,1,10.0%,6,60.0%,4.50,11.28,2022.0,2022-01-01
720,James Karinchak,CLE,39.0,76,91.0,109.6,26.6,4,5.3%,31,40.8%,2.08,2.92,2022.0,2022-01-01
721,Jesus Cruz,ATL,8.2,28,91.0,108.8,20.7,3,10.7%,11,39.3%,6.23,5.67,2022.0,2022-01-01
722,Ronald Bolanos,KCR,18.1,60,91.0,110.6,8.8,4,6.7%,26,43.3%,4.42,6.13,2022.0,2022-01-01
723,Louis Head,- - -,28.2,92,91.0,113.8,18.2,5,5.4%,38,41.3%,6.28,4.65,2022.0,2022-01-01
724,Logan Gilbert,SEA,185.2,537,91.0,118.0,14.6,38,7.1%,245,45.6%,3.20,4.11,2022.0,2022-01-01
725,Charlie Culberson,TEX,2.0,7,91.0,106.5,16.2,0,0.0%,2,28.6%,0.00,3.15,2022.0,2022-01-01
726,Ashton Goudeau,COL,20.1,68,91.0,106.8,18.3,4,5.9%,31,45.6%,7.08,4.62,2022.0,2022-01-01
727,Aaron Brooks,STL,9.1,33,91.1,114.8,7.9,8,24.2%,13,39.4%,7.71,10.18,2022.0,2022-01-01
728,Alex Faedo,DET,53.2,174,91.1,117.9,19.1,17,9.8%,68,39.1%,5.53,5.53,2022.0,2022-01-01
729,Caleb Kilian,CHC,11.1,34,91.1,112.9,7.2,1,2.9%,15,44.1%,10.32,4.37,2022.0,2022-01-01
730,Matt Barnes,BOS,39.2,118,91.1,113.0,11.1,10,8.5%,53,44.9%,4.31,4.28,2022.0,2022-01-01
731,Jeremy Beasley,TOR,15.0,38,91.1,112.6,21.4,5,13.2%,15,39.5%,4.80,3.27,2022.0,2022-01-01
732,David McKay,- - -,6.2,25,91.1,107.0,13.4,4,16.0%,13,52.0%,6.75,8.75,2022.0,2022-01-01
733,Jake Lemoine,OAK,16.1,54,91.1,107.8,14.7,4,7.4%,21,38.9%,7.71,3.83,2022.0,2022-01-01
734,Alec Mills,CHC,17.2,67,91.1,112.1,18.0,8,11.9%,29,43.3%,9.68,8.18,2022.0,2022-01-01
735,Bruce Zimmermann,BAL,73.2,257,91.1,115.4,14.0,34,13.2%,109,42.4%,5.99,6.53,2022.0,2022-01-01
736,Shane Baz,TBR,27.0,77,91.1,111.3,12.0,6,7.8%,39,50.6%,5.00,4.23,2022.0,2022-01-01
737,Tanner Tully,CLE,6.0,22,91.1,112.0,20.0,3,13.6%,10,45.5%,6.00,8.54,2022.0,2022-01-01
738,Hyun-Jin Ryu,TOR,27.0,93,91.1,114.0,11.2,9,9.7%,41,44.1%,5.67,5.24,2022.0,2022-01-01
739,Kyle Barraclough,LAA,9.0,24,91.1,108.4,21.7,4,16.7%,10,41.7%,3.00,4.40,2022.0,2022-01-01
740,Luke Barker,MIL,4.0,16,91.1,112.4,4.3,2,12.5%,8,50.0%,11.25,13.76,2022.0,2022-01-01
741,Mike Mayers,LAA,50.2,158,91.2,114.0,16.9,20,12.7%,76,48.1%,5.68,5.31,2022.0,2022-01-01
742,Luke Farrell,- - -,15.0,49,91.2,107.3,19.0,4,8.2%,21,42.9%,5.40,5.63,2022.0,2022-01-01
743,Jake Bird,COL,47.2,142,91.2,108.3,5.4,9,6.3%,60,42.3%,4.91,4.78,2022.0,2022-01-01
744,Andrew Heaney,LAD,72.2,172,91.2,109.9,17.8,19,11.0%,82,47.7%,3.10,3.39,2022.0,2022-01-01
745,Robert Dugger,- - -,16.0,46,91.2,113.5,24.0,6,13.0%,23,50.0%,6.19,4.81,2022.0,2022-01-01
746,Daniel Lynch,KCR,131.2,421,91.2,114.6,12.8,37,8.8%,201,47.7%,5.13,5.07,2022.0,2022-01-01
747,Shaun Anderson,TOR,1.0,7,91.2,101.9,24.1,0,0.0%,3,42.9%,18.00,6.83,2022.0,2022-01-01
748,Darwinzon Hernandez,BOS,6.2,24,91.2,110.4,16.1,5,20.8%,12,50.0%,21.60,10.06,2022.0,2022-01-01
749,Silvino Bracho,ATL,4.1,12,91.2,108.0,14.1,2,16.7%,4,33.3%,6.23,7.27,2022.0,2022-01-01
750,Sheldon Neuse,OAK,3.2,12,91.2,99.8,17.3,2,16.7%,7,58.3%,0.00,3.78,2022.0,2022-01-01
751,T.J. Zeuch,CIN,10.2,49,91.2,111.4,8.3,6,12.2%,23,46.9%,15.19,8.91,2022.0,2022-01-01
752,Matthew Liberatore,STL,34.2,114,91.2,110.3,16.4,10,8.8%,55,48.2%,5.97,5.49,2022.0,2022-01-01
753,Javy Guerra,- - -,18.0,60,91.2,109.5,15.4,5,8.3%,27,45.0%,5.00,5.42,2022.0,2022-01-01
754,Jhonathan Diaz,LAA,15.1,45,91.3,109.7,10.0,2,4.4%,21,46.7%,2.93,4.84,2022.0,2022-01-01
755,Cody Poteet,MIA,28.0,82,91.3,110.2,6.9,5,6.1%,34,41.5%,3.86,4.74,2022.0,2022-01-01
756,Chad Pinder,OAK,1.0,4,91.3,95.6,24.3,0,0.0%,1,25.0%,27.00,25.00,2022.0,2022-01-01
757,Jimmy Yacabonis,- - -,14.0,40,91.3,110.4,18.9,9,22.5%,17,42.5%,8.36,7.98,2022.0,2022-01-01
758,Justin Dunn,CIN,31.0,97,91.4,112.0,20.6,16,16.5%,43,44.3%,6.10,8.75,2022.0,2022-01-01
759,Alcides Escobar,WSN,1.2,8,91.4,104.3,10.2,0,0.0%,3,37.5%,10.80,6.83,2022.0,2022-01-01
760,Spencer Howard,TEX,37.2,131,91.4,117.9,13.8,14,10.7%,55,42.0%,7.41,5.53,2022.0,2022-01-01
761,Gregory Soto,DET,60.1,162,91.4,111.0,7.7,10,6.2%,70,43.2%,3.28,4.08,2022.0,2022-01-01
762,Joe Barlow,TEX,35.0,101,91.4,110.1,15.2,11,10.9%,43,42.6%,3.86,5.28,2022.0,2022-01-01
763,Mark Appel,PHI,10.1,32,91.5,108.9,6.4,2,6.3%,16,50.0%,1.74,3.12,2022.0,2022-01-01
764,Reiss Knehr,SDP,13.2,41,91.5,108.5,20.0,4,9.8%,21,51.2%,3.95,4.31,2022.0,2022-01-01
765,Luke Weaver,- - -,35.2,120,91.5,112.5,11.2,13,10.8%,54,45.0%,6.56,5.45,2022.0,2022-01-01
766,James Norwood,PHI,17.1,54,91.5,112.4,18.9,2,3.7%,25,46.3%,8.31,4.43,2022.0,2022-01-01
767,Rony Garcia,DET,51.0,141,91.5,112.4,18.9,23,16.3%,72,51.1%,4.41,6.33,2022.0,2022-01-01
768,Frank Schwindel,CHC,3.0,17,91.5,110.6,31.2,4,23.5%,9,52.9%,18.00,16.18,2022.0,2022-01-01
769,Brett Phillips,TBR,4.0,20,91.5,108.9,24.4,7,35.0%,10,50.0%,18.00,39.45,2022.0,2022-01-01
770,Luis Frias,ARI,17.0,58,91.6,111.7,14.3,3,5.2%,26,44.8%,10.59,5.78,2022.0,2022-01-01
771,Kolby Allard,TEX,21.0,61,91.6,114.6,19.4,9,14.8%,26,42.6%,7.29,5.67,2022.0,2022-01-01
772,Kaleb Ort,BOS,28.1,90,91.6,113.6,20.5,8,8.9%,43,47.8%,6.35,5.35,2022.0,2022-01-01
773,Anthony DeSclafani,SFG,19.0,72,91.6,110.8,14.0,5,6.9%,33,45.8%,6.63,5.49,2022.0,2022-01-01
774,Ernie Clement,CLE,2.0,11,91.6,103.5,5.2,2,18.2%,7,63.6%,18.00,11.91,2022.0,2022-01-01
775,Vince Velasquez,CHW,75.1,223,91.6,114.0,19.7,29,13.0%,97,43.5%,4.78,4.65,2022.0,2022-01-01
776,Michael Grove,LAD,29.1,99,91.6,107.7,16.0,6,6.1%,43,43.4%,4.60,3.10,2022.0,2022-01-01
777,Yusei Kikuchi,TOR,100.2,263,91.6,117.0,10.0,39,14.8%,124,47.1%,5.19,5.63,2022.0,2022-01-01
778,Drew Carlton,DET,8.2,25,91.7,113.9,12.5,3,12.0%,9,36.0%,2.08,3.91,2022.0,2022-01-01
779,Matt Batten,SDP,2.0,7,91.7,101.7,32.3,1,14.3%,2,28.6%,4.50,4.00,2022.0,2022-01-01
780,A.J. Ladwig,MIA,3.1,15,91.7,107.1,12.8,3,20.0%,9,60.0%,10.80,24.38,2022.0,2022-01-01
781,Nicklaus Snyder,TEX,1.0,4,91.7,108.0,28.8,0,0.0%,2,50.0%,18.00,10.62,2022.0,2022-01-01
782,Chris Devenski,- - -,14.2,53,91.7,109.8,15.4,8,15.1%,26,49.1%,8.59,5.11,2022.0,2022-01-01
783,Bryan Hoeing,MIA,12.2,50,91.7,111.3,6.1,8,16.0%,25,50.0%,12.08,8.64,2022.0,2022-01-01
784,Darin Ruf,NYM,2.0,7,91.7,103.2,25.2,1,14.3%,4,57.1%,0.00,4.68,2022.0,2022-01-01
785,Mike Baumann,BAL,34.1,115,91.8,113.0,9.5,8,7.0%,52,45.2%,4.72,4.43,2022.0,2022-01-01
786,Michael Pineda,DET,46.2,166,91.8,112.7,15.8,17,10.2%,73,44.0%,5.79,5.90,2022.0,2022-01-01
787,Jose Marte,LAA,11.0,25,91.8,107.6,24.8,2,8.0%,15,60.0%,7.36,7.78,2022.0,2022-01-01
788,Corbin Martin,ARI,22.1,68,91.8,115.9,10.9,7,10.3%,36,52.9%,4.84,6.74,2022.0,2022-01-01
789,Michael A. Taylor,KCR,2.0,9,91.9,101.7,13.7,2,22.2%,4,44.4%,9.00,9.64,2022.0,2022-01-01
790,Angel De Jesus,DET,12.2,41,92.0,113.3,19.7,3,7.3%,22,53.7%,2.13,4.74,2022.0,2022-01-01
791,Hunter Gaddis,CLE,7.1,32,92.0,106.5,22.0,9,28.1%,18,56.3%,18.41,12.20,2022.0,2022-01-01
792,Ryan Burr,CHW,9.0,28,92.0,114.0,3.1,4,14.3%,13,46.4%,6.00,6.37,2022.0,2022-01-01
793,Casey Mize,DET,10.0,39,92.0,109.8,17.4,4,10.3%,16,41.0%,5.40,5.97,2022.0,2022-01-01
794,Simeon Woods Richardson,MIN,5.0,15,92.1,108.1,21.1,2,13.3%,8,53.3%,3.60,8.43,2022.0,2022-01-01
795,Josh Sborz,TEX,22.1,57,92.1,108.9,18.8,6,10.5%,27,47.4%,6.45,4.97,2022.0,2022-01-01
796,Travis Lakins Sr.,BAL,10.1,35,92.1,114.7,17.6,7,20.0%,13,37.1%,9.58,8.96,2022.0,2022-01-01
797,Carson Kelly,ARI,4.2,22,92.1,104.6,27.5,1,4.5%,12,54.5%,7.71,6.17,2022.0,2022-01-01
798,Trevor Megill,MIN,45.0,129,92.2,110.7,9.5,11,8.5%,62,48.1%,4.80,4.91,2022.0,2022-01-01
799,Ian Kennedy,ARI,50.1,165,92.2,112.9,21.5,20,12.1%,73,44.2%,5.36,6.13,2022.0,2022-01-01
800,Miguel Yajure,PIT,24.1,85,92.3,110.3,15.5,6,7.1%,41,48.2%,8.88,7.88,2022.0,2022-01-01
801,Aaron Sanchez,- - -,60.0,204,92.4,113.2,8.0,12,5.9%,98,48.0%,6.60,4.53,2022.0,2022-01-01
802,Ryan Castellani,OAK,2.2,10,92.5,106.9,5.1,1,10.0%,5,50.0%,0.00,4.62,2022.0,2022-01-01
803,T.J. McFarland,STL,32.2,116,92.5,111.6,4.1,9,7.8%,60,51.7%,6.61,6.13,2022.0,2022-01-01
804,Robbie Erlin,LAD,2.0,7,92.5,109.2,19.1,1,14.3%,3,42.9%,9.00,8.13,2022.0,2022-01-01
805,Dee Strange-Gordon,WSN,1.0,4,92.6,102.7,32.6,1,25.0%,2,50.0%,27.00,28.92,2022.0,2022-01-01
806,A.J. Alexy,TEX,7.0,23,92.6,110.7,2.4,1,4.3%,11,47.8%,11.57,8.28,2022.0,2022-01-01
807,Hansel Robles,BOS,24.2,76,92.7,111.2,13.1,9,11.8%,38,50.0%,5.84,6.49,2022.0,2022-01-01
808,Cam Vieaux,PIT,8.2,27,92.7,112.7,18.4,4,14.8%,12,44.4%,10.38,5.17,2022.0,2022-01-01
809,Garrett Stubbs,PHI,3.2,16,92.7,108.3,10.2,3,18.8%,7,43.8%,17.18,11.49,2022.0,2022-01-01
810,Jake Walsh,STL,2.2,7,92.7,106.3,18.2,1,14.3%,5,71.4%,13.50,4.81,2022.0,2022-01-01
811,Whit Merrifield,TOR,1.0,5,92.8,101.9,23.1,2,40.0%,2,40.0%,18.00,23.63,2022.0,2022-01-01
812,Foster Griffin,- - -,6.1,22,92.8,111.0,8.9,4,18.2%,11,50.0%,8.53,10.75,2022.0,2022-01-01
813,Jackson Tetreault,WSN,21.0,77,92.8,109.8,13.9,7,9.1%,44,57.1%,5.14,7.41,2022.0,2022-01-01
814,Anthony Gose,CLE,21.0,49,92.9,109.3,23.4,11,22.4%,24,49.0%,4.71,5.04,2022.0,2022-01-01
815,Ken Giles,SEA,4.1,8,92.9,112.0,15.0,1,12.5%,2,25.0%,0.00,2.94,2022.0,2022-01-01
816,Elvin Rodriguez,DET,29.2,102,92.9,113.7,17.8,15,14.7%,52,51.0%,10.62,6.83,2022.0,2022-01-01
817,Steven Brault,CHC,9.0,25,92.9,105.7,11.0,1,4.0%,9,36.0%,3.00,2.85,2022.0,2022-01-01
818,Phoenix Sanders,TBR,14.2,42,92.9,110.2,15.5,4,9.5%,19,45.2%,3.07,4.37,2022.0,2022-01-01
819,Francisco Perez,WSN,8.2,32,93.0,112.8,15.1,3,9.4%,18,56.3%,7.27,8.43,2022.0,2022-01-01
820,Thomas Hatch,TOR,4.2,19,93.0,104.2,9.2,2,10.5%,13,68.4%,19.29,10.31,2022.0,2022-01-01
821,Huascar Ynoa,ATL,6.2,23,93.1,111.7,1.2,5,21.7%,15,65.2%,13.50,10.18,2022.0,2022-01-01
822,Bubby Rossman,PHI,1.0,3,93.1,104.2,40.6,1,33.3%,2,66.7%,18.00,5.04,2022.0,2022-01-01
823,Angel Zerpa,KCR,11.0,38,93.1,109.6,12.8,4,10.5%,21,55.3%,1.64,7.59,2022.0,2022-01-01
824,Alexander Wells,BAL,3.2,10,93.2,102.3,21.4,1,10.0%,6,60.0%,4.91,1.94,2022.0,2022-01-01
825,Ethan Small,MIL,6.1,18,93.2,112.9,15.1,3,16.7%,10,55.6%,7.11,8.43,2022.0,2022-01-01
826,Hunter Brown,HOU,20.1,51,93.2,109.6,2.9,3,5.9%,24,47.1%,0.89,2.96,2022.0,2022-01-01
827,Austin Warren,LAA,16.0,56,93.2,114.8,13.3,8,14.3%,29,51.8%,5.63,7.45,2022.0,2022-01-01
828,Thomas Szapucki,- - -,15.0,42,93.2,108.0,18.6,6,14.3%,21,50.0%,7.20,6.05,2022.0,2022-01-01
