#,Name,Team,IP,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,Year,YearDate
161,Andrew Nardi,MIA,14.2,45,86.8,109.7,22.4,7,15.6%,15,33.3%,9.82,7.04,2022.0,2022-01-01
162,Dylan Cease,CHW,184.0,439,86.8,115.9,15.0,27,6.2%,137,31.2%,2.20,2.70,2022.0,2022-01-01
163,Conner Menez,CHC,1.0,3,86.9,98.1,17.0,0,0.0%,1,33.3%,0.00,10.31,2022.0,2022-01-01
164,Jose Alvarez,SFG,15.1,50,86.9,111.4,6.9,6,12.0%,16,32.0%,5.28,7.22,2022.0,2022-01-01
165,A.J. Puk,OAK,66.1,172,86.9,111.1,11.4,15,8.7%,60,34.9%,3.12,3.70,2022.0,2022-01-01
166,Graham Ashcraft,CIN,105.0,355,86.9,115.9,3.8,17,4.8%,129,36.3%,4.89,4.02,2022.0,2022-01-01
167,Edwin Uceta,ARI,17.0,52,86.9,110.1,13.8,3,5.8%,20,38.5%,5.82,3.57,2022.0,2022-01-01
168,Jordan Hicks,STL,61.1,158,86.9,112.1,1.4,11,7.0%,51,32.3%,4.84,3.91,2022.0,2022-01-01
169,Daniel Castano,MIA,35.2,125,86.9,113.5,11.0,8,6.4%,42,33.6%,4.04,4.81,2022.0,2022-01-01
170,Andrelton Simmons,CHC,1.0,8,87.0,100.2,23.6,0,0.0%,3,37.5%,45.00,6.74,2022.0,2022-01-01
171,Alex Vesia,LAD,54.1,122,87.0,108.6,17.4,8,6.6%,42,34.4%,2.15,2.79,2022.0,2022-01-01
172,Justin Topa,MIL,7.1,27,87.0,110.2,-8.4,1,3.7%,10,37.0%,4.91,3.80,2022.0,2022-01-01
173,Zack Thompson,STL,34.2,95,87.0,108.0,5.4,6,6.3%,36,37.9%,2.08,3.72,2022.0,2022-01-01
174,Jackson Stephens,ATL,53.2,162,87.0,113.8,8.8,8,4.9%,51,31.5%,3.69,3.86,2022.0,2022-01-01
175,Dillon Tate,BAL,73.2,209,87.1,111.8,0.0,11,5.3%,79,37.8%,3.05,3.15,2022.0,2022-01-01
176,Aaron Ashby,MIL,107.1,296,87.1,112.3,2.0,20,6.8%,101,34.1%,4.44,3.75,2022.0,2022-01-01
177,Kenley Jansen,ATL,64.0,151,87.1,117.2,21.9,11,7.3%,49,32.5%,3.38,2.34,2022.0,2022-01-01
178,Freddy Peralta,MIL,78.0,201,87.1,111.3,16.9,7,3.5%,63,31.3%,3.58,2.70,2022.0,2022-01-01
179,Packy Naughton,STL,32.0,102,87.1,110.1,10.0,7,6.9%,36,35.3%,4.78,3.75,2022.0,2022-01-01
180,Clayton Kershaw,LAD,126.1,331,87.1,110.3,11.6,14,4.2%,110,33.2%,2.28,2.51,2022.0,2022-01-01
181,Enoli Paredes,HOU,3.0,9,87.1,98.0,9.6,0,0.0%,4,44.4%,3.00,3.80,2022.0,2022-01-01
182,Noah Syndergaard,- - -,134.2,435,87.1,111.0,12.3,34,7.8%,148,34.0%,3.94,4.43,2022.0,2022-01-01
183,Anthony Bender,MIA,19.1,52,87.1,107.4,3.3,5,9.6%,18,34.6%,3.26,4.84,2022.0,2022-01-01
184,Shohei Ohtani,LAA,166.0,395,87.1,113.3,14.5,25,6.3%,131,33.2%,2.33,2.68,2022.0,2022-01-01
185,Justin Steele,CHC,119.0,333,87.2,112.1,7.4,13,3.9%,111,33.3%,3.18,3.59,2022.0,2022-01-01
186,Mark Leiter,CHC,67.2,177,87.2,116.8,10.4,11,6.2%,61,34.5%,3.99,3.91,2022.0,2022-01-01
187,John Schreiber,BOS,65.0,160,87.2,108.4,2.5,8,5.0%,62,38.8%,2.22,2.57,2022.0,2022-01-01
188,Gregory Santos,SFG,3.2,12,87.2,107.6,-1.5,0,0.0%,4,33.3%,4.91,3.22,2022.0,2022-01-01
189,Brad Hand,PHI,45.0,131,87.2,107.4,14.3,7,5.3%,35,26.7%,2.80,4.40,2022.0,2022-01-01
190,Corbin Burnes,MIL,202.0,490,87.2,117.6,10.0,28,5.7%,167,34.1%,2.94,3.05,2022.0,2022-01-01
191,Jose Alvarado,PHI,51.0,108,87.2,112.0,3.0,7,6.5%,36,33.3%,3.18,2.53,2022.0,2022-01-01
192,Corey Kluber,TBR,164.0,519,87.2,113.8,18.2,36,6.9%,180,34.7%,4.34,4.00,2022.0,2022-01-01
193,JT Chargois,TBR,22.1,62,87.2,113.7,2.8,4,6.5%,23,37.1%,2.42,2.59,2022.0,2022-01-01
194,Matthew Festa,SEA,54.0,135,87.2,112.6,17.3,10,7.4%,42,31.1%,4.17,3.72,2022.0,2022-01-01
195,Jack Flaherty,STL,36.0,107,87.2,111.4,11.8,6,5.6%,33,30.8%,4.25,4.94,2022.0,2022-01-01
196,Andre Jackson,LAD,9.2,29,87.2,104.0,13.2,2,6.9%,9,31.0%,1.86,3.34,2022.0,2022-01-01
197,Pete Fairbanks,TBR,24.0,46,87.3,107.3,9.5,1,2.2%,12,26.1%,1.13,1.03,2022.0,2022-01-01
198,Scott Effross,- - -,56.2,151,87.3,108.0,8.7,6,4.0%,56,37.1%,2.54,2.51,2022.0,2022-01-01
199,Ralph Garza,TBR,35.0,118,87.3,109.3,10.4,8,6.8%,45,38.1%,3.34,5.63,2022.0,2022-01-01
200,Archie Bradley,LAA,18.2,56,87.3,109.6,4.2,4,7.1%,18,32.1%,4.82,3.36,2022.0,2022-01-01
201,Patrick Sandoval,LAA,148.2,422,87.3,111.0,11.4,24,5.7%,143,33.9%,2.91,3.91,2022.0,2022-01-01
