#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Year,YearDate
25,Emmanuel Clase,CLE,.222,3.19,16.1%,63.9%,20.0%,8.3%,8.3%,13,1.61,230,691,921,31.7%,44.8%,23.5%,15.8%,64.5%,19.7%,2022.0,2022-01-01
26,Hunter Brown,HOU,.294,3.09,10.0%,68.0%,22.0%,9.1%,0.0%,8,3.54,103,206,309,37.3%,41.2%,21.6%,13.7%,56.9%,29.4%,2022.0,2022-01-01
27,Alcides Escobar,WSN,.375,3.00,50.0%,37.5%,12.5%,0.0%,0.0%,0,0.00,11,13,24,37.5%,50.0%,12.5%,0.0%,87.5%,12.5%,2022.0,2022-01-01
28,Chris Sale,BOS,.278,3.00,33.3%,50.0%,16.7%,0.0%,0.0%,2,3.18,34,68,102,33.3%,44.4%,22.2%,16.7%,44.4%,38.9%,2022.0,2022-01-01
29,Blake Treinen,LAD,.000,3.00,20.0%,60.0%,20.0%,0.0%,50.0%,7,12.60,23,46,69,60.0%,40.0%,0.0%,0.0%,70.0%,30.0%,2022.0,2022-01-01
30,Alex Claudio,NYM,.111,3.00,11.1%,66.7%,22.2%,0.0%,0.0%,1,2.70,22,28,50,66.7%,33.3%,0.0%,0.0%,66.7%,33.3%,2022.0,2022-01-01
31,Ryan Castellani,OAK,.200,3.00,20.0%,60.0%,20.0%,0.0%,0.0%,2,6.75,14,31,45,40.0%,40.0%,20.0%,10.0%,60.0%,30.0%,2022.0,2022-01-01
32,Donovan Walton,SFG,.400,3.00,33.3%,50.0%,16.7%,0.0%,100.0%,0,0.00,9,12,21,83.3%,16.7%,0.0%,0.0%,83.3%,16.7%,2022.0,2022-01-01
33,Jordan Sheffield,COL,.400,3.00,20.0%,60.0%,20.0%,100.0%,0.0%,0,0.00,21,16,37,20.0%,20.0%,60.0%,40.0%,20.0%,40.0%,2022.0,2022-01-01
34,Mike Brosseau,MIL,.167,3.00,33.3%,50.0%,16.7%,0.0%,0.0%,1,3.00,20,24,44,41.7%,33.3%,25.0%,0.0%,66.7%,33.3%,2022.0,2022-01-01
35,Riley O'Brien,SEA,.333,3.00,0.0%,100.0%,0.0%,0.0%,0.0%,1,9.00,9,14,23,0.0%,100.0%,0.0%,0.0%,66.7%,33.3%,2022.0,2022-01-01
36,JC Mejia,MIL,.500,3.00,60.0%,30.0%,10.0%,0.0%,0.0%,1,3.86,29,30,59,70.0%,30.0%,0.0%,10.0%,50.0%,40.0%,2022.0,2022-01-01
37,Nick Duron,PHI,.667,3.00,0.0%,100.0%,0.0%,0.0%,0.0%,2,18.00,6,10,16,66.7%,0.0%,33.3%,0.0%,66.7%,33.3%,2022.0,2022-01-01
38,Alex Cobb,SFG,.336,2.98,17.8%,61.5%,20.7%,4.5%,10.2%,83,4.99,868,1550,2418,44.6%,31.6%,23.8%,16.4%,55.4%,28.2%,2022.0,2022-01-01
39,Jonathan Hernandez,TEX,.286,2.94,16.5%,62.4%,21.2%,0.0%,11.1%,11,3.26,207,304,511,51.2%,33.7%,15.1%,10.5%,54.7%,34.9%,2022.0,2022-01-01
40,Joe Kelly,CHW,.382,2.90,13.3%,64.4%,22.2%,10.0%,10.0%,12,2.92,273,430,703,33.0%,44.0%,23.1%,24.2%,51.6%,24.2%,2022.0,2022-01-01
41,Ryan Weber,NYY,.156,2.86,18.2%,60.6%,21.2%,14.3%,14.3%,6,5.06,36,91,127,48.5%,33.3%,18.2%,12.1%,63.6%,24.2%,2022.0,2022-01-01
42,Tim Mayza,TOR,.271,2.85,21.8%,57.9%,20.3%,3.7%,25.9%,44,8.14,263,468,731,35.3%,43.4%,21.3%,17.6%,48.5%,33.8%,2022.0,2022-01-01
43,Janson Junk,LAA,.409,2.80,17.4%,60.9%,21.7%,0.0%,20.0%,5,5.40,57,102,159,39.1%,47.8%,13.0%,4.3%,60.9%,34.8%,2022.0,2022-01-01
44,Brusdar Graterol,LAD,.261,2.78,14.2%,63.1%,22.7%,9.4%,9.4%,22,3.99,189,486,675,39.0%,31.2%,29.8%,18.4%,56.0%,25.5%,2022.0,2022-01-01
45,Jhoan Duran,MIN,.291,2.76,16.9%,61.0%,22.1%,5.9%,17.6%,30,3.99,314,709,1023,35.7%,36.3%,28.0%,19.7%,58.6%,21.7%,2022.0,2022-01-01
46,Sam Hentges,CLE,.257,2.68,15.5%,61.5%,23.0%,5.9%,8.8%,20,2.90,315,629,944,35.1%,43.7%,21.2%,17.2%,53.0%,29.8%,2022.0,2022-01-01
47,Collin Wiles,OAK,.357,2.67,24.1%,55.2%,20.7%,0.0%,16.7%,6,5.59,56,98,154,44.8%,48.3%,6.9%,3.4%,72.4%,24.1%,2022.0,2022-01-01
48,Luke Barker,MIL,.357,2.67,31.3%,50.0%,18.8%,0.0%,66.7%,0,0.00,15,39,54,62.5%,18.8%,18.8%,12.5%,37.5%,50.0%,2022.0,2022-01-01
49,Francisco Morales,PHI,.100,2.67,0.0%,72.7%,27.3%,0.0%,33.3%,0,0.00,40,39,79,63.6%,36.4%,0.0%,9.1%,72.7%,18.2%,2022.0,2022-01-01
50,Drey Jameson,ARI,.281,2.64,22.7%,56.1%,21.2%,7.1%,14.3%,16,5.92,129,240,369,50.0%,31.8%,18.2%,16.7%,45.5%,37.9%,2022.0,2022-01-01
51,Jonathan Loaisiga,NYY,.278,2.64,17.8%,59.6%,22.6%,18.2%,9.1%,35,6.56,261,500,761,37.4%,35.4%,27.2%,24.5%,52.4%,23.1%,2022.0,2022-01-01
52,Luis Perdomo,MIL,.263,2.63,13.8%,62.5%,23.8%,10.5%,21.1%,15,5.70,94,191,285,49.4%,39.2%,11.4%,17.7%,50.6%,31.6%,2022.0,2022-01-01
53,Tim Hill,SDP,.284,2.58,16.8%,60.0%,23.2%,16.7%,2.8%,29,5.44,269,476,745,37.2%,33.3%,29.5%,25.0%,51.3%,23.7%,2022.0,2022-01-01
54,JoJo Romero,- - -,.270,2.56,15.8%,60.5%,23.7%,0.0%,33.3%,5,2.76,114,157,271,45.0%,40.0%,15.0%,7.5%,67.5%,25.0%,2022.0,2022-01-01
55,Camilo Doval,SFG,.296,2.55,21.5%,56.4%,22.1%,10.5%,10.5%,21,2.79,417,704,1121,40.5%,35.3%,24.3%,24.3%,50.3%,25.4%,2022.0,2022-01-01
56,Thomas Hatch,TOR,.563,2.50,26.3%,52.6%,21.1%,0.0%,75.0%,1,1.93,21,50,71,57.9%,26.3%,15.8%,5.3%,57.9%,36.8%,2022.0,2022-01-01
57,Bryce Montes de Oca,NYM,.636,2.50,36.4%,45.5%,18.2%,0.0%,0.0%,0,0.00,29,55,84,54.5%,36.4%,9.1%,9.1%,63.6%,27.3%,2022.0,2022-01-01
58,Dillon Tate,BAL,.251,2.45,19.1%,57.4%,23.4%,0.0%,12.2%,29,3.54,347,730,1077,45.0%,31.6%,23.4%,17.7%,54.5%,27.8%,2022.0,2022-01-01
59,Tommy Kahnle,LAD,.125,2.43,4.0%,68.0%,28.0%,0.0%,28.6%,12,8.53,56,118,174,50.0%,30.8%,19.2%,19.2%,61.5%,19.2%,2022.0,2022-01-01
60,Brayan Bello,BOS,.404,2.43,21.3%,55.7%,23.0%,4.8%,2.4%,21,3.30,379,618,997,39.1%,35.9%,25.0%,16.3%,56.0%,27.7%,2022.0,2022-01-01
61,Anderson Severino,CHW,.368,2.40,10.5%,63.2%,26.3%,0.0%,0.0%,1,1.23,54,79,133,42.1%,31.6%,26.3%,15.8%,31.6%,52.6%,2022.0,2022-01-01
62,Jordan Hicks,STL,.268,2.39,18.4%,57.6%,24.1%,5.3%,13.2%,18,2.64,424,627,1051,36.7%,43.7%,19.6%,20.3%,53.2%,26.6%,2022.0,2022-01-01
63,Logan Webb,SFG,.293,2.38,19.5%,56.7%,23.8%,6.8%,8.3%,114,5.33,1021,1985,3006,42.8%,36.7%,20.5%,15.5%,57.2%,27.2%,2022.0,2022-01-01
64,Zach Pop,- - -,.315,2.37,19.2%,56.8%,24.0%,6.7%,6.7%,21,4.85,171,365,536,39.7%,35.7%,24.6%,18.3%,54.8%,27.0%,2022.0,2022-01-01
65,Justus Sheffield,SEA,.222,2.33,16.7%,58.3%,25.0%,0.0%,11.1%,9,6.94,76,103,179,51.4%,18.9%,29.7%,5.4%,62.2%,32.4%,2022.0,2022-01-01
66,Anthony Bender,MIA,.286,2.33,23.1%,53.8%,23.1%,25.0%,25.0%,1,0.47,98,176,274,38.5%,34.6%,26.9%,19.2%,57.7%,23.1%,2022.0,2022-01-01
67,Manuel Rodriguez,CHC,.231,2.33,25.0%,52.5%,22.5%,0.0%,11.1%,2,1.32,81,122,203,45.0%,32.5%,22.5%,25.0%,57.5%,17.5%,2022.0,2022-01-01
68,Jose Alvarado,PHI,.340,2.31,19.6%,56.1%,24.3%,7.7%,7.7%,19,3.35,334,547,881,46.3%,32.4%,21.3%,17.6%,55.6%,26.9%,2022.0,2022-01-01
69,Jake Bird,COL,.281,2.29,20.0%,55.7%,24.3%,2.9%,20.6%,26,4.91,299,446,745,43.0%,35.2%,21.8%,10.6%,50.0%,39.4%,2022.0,2022-01-01
70,Joe Mantiply,ARI,.317,2.28,22.9%,53.5%,23.5%,7.5%,15.0%,42,6.30,247,614,861,45.7%,31.8%,22.5%,16.2%,59.5%,24.3%,2022.0,2022-01-01
71,Kendall Graveman,CHW,.324,2.27,22.2%,54.0%,23.8%,6.7%,11.1%,21,2.91,374,661,1035,44.7%,34.2%,21.1%,15.8%,57.9%,26.3%,2022.0,2022-01-01
72,Jason Foley,DET,.354,2.26,17.7%,57.1%,25.3%,4.0%,4.0%,21,3.13,316,645,961,34.0%,36.5%,29.5%,12.5%,61.0%,26.5%,2022.0,2022-01-01
73,Jorge Lopez,- - -,.266,2.25,16.6%,57.8%,25.7%,8.3%,8.3%,17,2.15,398,763,1161,36.7%,38.8%,24.5%,17.6%,61.2%,21.3%,2022.0,2022-01-01
74,Junior Fernandez,- - -,.278,2.20,14.3%,58.9%,26.8%,20.0%,20.0%,3,1.45,132,201,333,33.9%,41.1%,25.0%,23.2%,46.4%,30.4%,2022.0,2022-01-01
75,Tyler Rogers,SFG,.293,2.20,18.4%,56.1%,25.5%,9.8%,4.9%,30,3.57,400,766,1166,31.1%,37.8%,31.1%,26.1%,51.5%,22.4%,2022.0,2022-01-01
76,Graham Ashcraft,CIN,.314,2.19,20.6%,54.5%,24.9%,8.0%,12.5%,56,4.80,626,1130,1756,34.1%,38.6%,27.3%,19.2%,50.7%,30.1%,2022.0,2022-01-01
77,Miguel Sanchez,MIL,.237,2.18,14.6%,58.5%,26.8%,45.5%,27.3%,8,5.40,80,131,211,43.9%,36.6%,19.5%,29.3%,46.3%,24.4%,2022.0,2022-01-01
78,Aaron Ashby,MIL,.324,2.17,16.9%,56.9%,26.2%,6.6%,19.7%,44,3.69,671,1207,1878,40.5%,34.5%,25.0%,17.6%,54.7%,27.7%,2022.0,2022-01-01
79,Patrick Murphy,WSN,.364,2.17,13.6%,59.1%,27.3%,16.7%,0.0%,0,0.00,58,84,142,27.3%,31.8%,40.9%,27.3%,40.9%,31.8%,2022.0,2022-01-01
80,Richard Bleier,MIA,.341,2.16,23.2%,52.5%,24.3%,2.3%,7.0%,19,3.38,223,545,768,44.7%,32.4%,22.9%,14.0%,58.1%,27.9%,2022.0,2022-01-01
81,Alex Young,- - -,.349,2.14,20.5%,54.2%,25.3%,4.8%,0.0%,10,3.38,159,286,445,54.2%,28.9%,16.9%,14.5%,55.4%,30.1%,2022.0,2022-01-01
82,Luis Gonzalez,SFG,.310,2.14,21.4%,53.6%,25.0%,0.0%,0.0%,5,7.11,34,52,86,37.9%,41.4%,20.7%,27.6%,48.3%,24.1%,2022.0,2022-01-01
83,Archie Bradley,LAA,.291,2.13,16.1%,57.1%,26.8%,0.0%,6.7%,12,5.79,112,193,305,35.7%,39.3%,25.0%,12.5%,55.4%,32.1%,2022.0,2022-01-01
84,Pierce Johnson,SDP,.382,2.11,20.0%,54.3%,25.7%,22.2%,11.1%,5,3.14,106,174,280,37.1%,37.1%,25.7%,20.0%,48.6%,31.4%,2022.0,2022-01-01
85,Collin Snider,KCR,.339,2.11,24.3%,51.4%,24.3%,3.7%,11.1%,22,5.77,236,347,583,37.5%,38.4%,24.1%,11.6%,57.1%,31.3%,2022.0,2022-01-01
86,Kyle Wright,ATL,.284,2.10,17.9%,55.6%,26.5%,8.3%,14.4%,126,6.29,900,1797,2697,44.5%,36.7%,18.8%,14.0%,55.7%,30.3%,2022.0,2022-01-01
87,Joe Smith,MIN,.295,2.08,14.9%,57.4%,27.7%,3.8%,26.9%,20,6.59,152,298,450,42.1%,34.7%,23.2%,11.6%,61.1%,27.4%,2022.0,2022-01-01
88,Phillips Valdez,BOS,.261,2.08,13.0%,58.7%,28.3%,15.4%,0.0%,4,2.20,114,173,287,45.7%,30.4%,23.9%,21.7%,56.5%,21.7%,2022.0,2022-01-01
89,Daniel Hudson,LAD,.271,2.07,20.7%,53.4%,25.9%,13.3%,6.7%,14,5.18,150,256,406,48.3%,31.7%,20.0%,13.3%,56.7%,30.0%,2022.0,2022-01-01
90,Joely Rodriguez,NYM,.302,2.06,20.0%,53.8%,26.2%,5.9%,8.8%,17,3.04,306,536,842,42.4%,29.5%,28.0%,22.0%,58.3%,19.7%,2022.0,2022-01-01
91,Kohei Arihara,TEX,.421,2.05,24.7%,50.6%,24.7%,0.0%,21.1%,10,4.50,157,233,390,51.3%,25.0%,23.8%,12.5%,56.3%,31.3%,2022.0,2022-01-01
92,Ranger Suarez,PHI,.293,2.05,17.5%,55.4%,27.1%,7.9%,11.8%,91,5.27,968,1596,2564,42.1%,31.7%,26.2%,19.0%,55.8%,25.2%,2022.0,2022-01-01
93,T.J. McFarland,STL,.333,2.03,20.9%,53.0%,26.1%,3.3%,16.7%,21,5.79,186,301,487,45.7%,37.1%,17.2%,12.9%,47.4%,39.7%,2022.0,2022-01-01
94,Alex Colome,COL,.333,2.02,16.9%,55.6%,27.5%,2.3%,11.4%,10,1.91,321,482,803,51.3%,30.0%,18.8%,15.0%,45.0%,40.0%,2022.0,2022-01-01
95,Antonio Senzatela,COL,.383,2.01,26.1%,49.4%,24.5%,7.5%,11.3%,46,4.48,572,949,1521,33.9%,35.4%,30.6%,13.5%,53.2%,33.3%,2022.0,2022-01-01
96,Randal Grichuk,COL,.000,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,1,9.00,4,6,10,0.0%,66.7%,33.3%,33.3%,33.3%,33.3%,2022.0,2022-01-01
97,Phil Gosselin,LAA,.000,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,0,0.00,2,3,5,33.3%,33.3%,33.3%,0.0%,66.7%,33.3%,2022.0,2022-01-01
98,Jace Peterson,MIL,.000,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,2,18.00,3,5,8,66.7%,33.3%,0.0%,0.0%,100.0%,0.0%,2022.0,2022-01-01
99,Ildemaro Vargas,WSN,.000,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,2,18.00,0,6,6,66.7%,33.3%,0.0%,33.3%,0.0%,66.7%,2022.0,2022-01-01
100,Lucas Sims,CIN,.263,2.00,21.1%,52.6%,26.3%,0.0%,0.0%,8,10.80,56,73,129,63.2%,21.1%,15.8%,5.3%,68.4%,26.3%,2022.0,2022-01-01
101,Mark Appel,PHI,.281,2.00,15.6%,56.3%,28.1%,0.0%,0.0%,2,1.74,66,83,149,31.3%,50.0%,18.8%,9.4%,62.5%,28.1%,2022.0,2022-01-01
102,Jose Castillo,SDP,.333,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,0,0.00,5,11,16,33.3%,66.7%,0.0%,0.0%,0.0%,100.0%,2022.0,2022-01-01
103,Marcos Diplan,BAL,.286,2.00,35.7%,42.9%,21.4%,33.3%,0.0%,4,6.35,50,72,122,35.7%,42.9%,21.4%,21.4%,42.9%,35.7%,2022.0,2022-01-01
104,Tyler Cyr,- - -,.290,2.00,27.3%,48.5%,24.2%,12.5%,25.0%,10,6.75,83,141,224,54.5%,27.3%,18.2%,15.2%,48.5%,36.4%,2022.0,2022-01-01
105,Pedro Avila,SDP,.200,2.00,18.2%,54.5%,27.3%,0.0%,33.3%,1,2.25,25,45,70,63.6%,27.3%,9.1%,18.2%,36.4%,45.5%,2022.0,2022-01-01
106,Andrew Vasquez,- - -,.238,2.00,31.8%,45.5%,22.7%,0.0%,20.0%,5,5.19,58,95,153,36.4%,40.9%,22.7%,13.6%,54.5%,31.8%,2022.0,2022-01-01
107,Enoli Paredes,HOU,.333,2.00,33.3%,44.4%,22.2%,0.0%,0.0%,0,0.00,21,36,57,44.4%,22.2%,33.3%,22.2%,77.8%,0.0%,2022.0,2022-01-01
108,Huascar Ynoa,ATL,.429,2.00,21.7%,52.2%,26.1%,0.0%,33.3%,1,1.35,66,81,147,47.8%,30.4%,21.7%,13.0%,39.1%,47.8%,2022.0,2022-01-01
109,Yerry Rodriguez,TEX,.333,2.00,33.3%,66.7%,0.0%,0.0%,0.0%,0,0.00,5,13,18,0.0%,66.7%,33.3%,0.0%,66.7%,33.3%,2022.0,2022-01-01
110,Frank German,BOS,.385,2.00,20.0%,53.3%,26.7%,25.0%,50.0%,3,6.75,34,50,84,40.0%,26.7%,33.3%,13.3%,46.7%,40.0%,2022.0,2022-01-01
111,Cam Alldred,PIT,.333,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,0,0.00,4,12,16,66.7%,33.3%,0.0%,33.3%,33.3%,33.3%,2022.0,2022-01-01
112,Nash Walters,LAA,.500,2.00,0.0%,100.0%,0.0%,0.0%,0.0%,0,0.00,8,8,16,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,2022.0,2022-01-01
113,Alex Lange,DET,.291,1.95,15.9%,55.6%,28.5%,7.0%,11.6%,32,4.55,423,623,1046,49.0%,33.3%,17.6%,19.0%,52.9%,28.1%,2022.0,2022-01-01
114,Tanner Houck,BOS,.288,1.95,23.0%,50.9%,26.1%,2.4%,7.1%,24,3.60,342,576,918,38.0%,37.4%,24.5%,17.8%,54.0%,28.2%,2022.0,2022-01-01
115,Matt Brash,SEA,.352,1.94,21.8%,51.6%,26.6%,12.1%,9.1%,33,5.86,355,580,935,34.4%,37.6%,28.0%,19.2%,53.6%,27.2%,2022.0,2022-01-01
116,David Price,LAD,.278,1.91,15.0%,55.8%,29.2%,2.9%,17.1%,22,4.91,193,403,596,32.2%,45.5%,22.3%,15.7%,53.7%,30.6%,2022.0,2022-01-01
117,Cristopher Sanchez,PHI,.284,1.91,17.5%,54.2%,28.3%,2.9%,14.7%,21,4.73,244,418,662,31.4%,43.8%,24.8%,19.8%,49.6%,30.6%,2022.0,2022-01-01
118,Lou Trivino,- - -,.389,1.90,19.7%,52.6%,27.6%,7.1%,14.3%,18,3.02,354,601,955,39.4%,39.4%,21.3%,16.1%,52.9%,31.0%,2022.0,2022-01-01
119,Luis Garcia,SDP,.325,1.89,18.6%,53.3%,28.1%,17.0%,6.4%,13,1.92,349,617,966,35.5%,42.0%,22.5%,18.9%,51.5%,29.6%,2022.0,2022-01-01
120,Dakota Hudson,STL,.301,1.89,18.9%,53.0%,28.1%,6.4%,7.2%,87,5.61,904,1349,2253,42.6%,35.9%,21.4%,15.4%,55.1%,29.5%,2022.0,2022-01-01
121,Oliver Ortega,LAA,.297,1.88,24.2%,49.5%,26.3%,8.0%,20.0%,9,2.38,206,361,567,46.9%,32.3%,20.8%,13.5%,53.1%,33.3%,2022.0,2022-01-01
122,Brett Martin,TEX,.307,1.88,22.4%,50.7%,27.0%,7.3%,9.8%,8,1.44,253,497,750,36.4%,38.3%,25.3%,11.7%,53.2%,35.1%,2022.0,2022-01-01
123,Justin Lawrence,COL,.350,1.88,22.0%,50.8%,27.1%,9.4%,9.4%,32,6.75,282,481,763,41.7%,38.3%,20.0%,20.8%,50.0%,29.2%,2022.0,2022-01-01
124,Jose Cuas,KCR,.325,1.87,24.6%,49.1%,26.3%,10.0%,6.7%,27,6.45,260,427,687,41.7%,36.5%,21.7%,19.1%,55.7%,25.2%,2022.0,2022-01-01
125,JT Chargois,TBR,.220,1.85,8.1%,59.7%,32.3%,5.0%,15.0%,19,7.66,106,228,334,37.1%,45.2%,17.7%,17.7%,50.0%,32.3%,2022.0,2022-01-01
126,Pete Fairbanks,TBR,.267,1.85,17.8%,53.3%,28.9%,7.7%,7.7%,5,1.88,107,245,352,40.0%,31.1%,28.9%,17.8%,57.8%,24.4%,2022.0,2022-01-01
127,Jake Woodford,STL,.278,1.84,19.7%,52.0%,28.3%,20.9%,2.3%,25,4.66,241,456,697,44.1%,34.9%,21.1%,22.4%,53.3%,24.3%,2022.0,2022-01-01
128,Justin Steele,CHC,.317,1.84,20.9%,51.2%,27.9%,9.8%,8.7%,55,4.16,748,1284,2032,39.2%,37.0%,23.8%,18.1%,56.0%,25.9%,2022.0,2022-01-01
129,David Peterson,NYM,.313,1.84,23.6%,49.4%,26.9%,12.3%,15.1%,63,5.37,764,1125,1889,35.9%,38.5%,25.6%,16.5%,50.9%,32.6%,2022.0,2022-01-01
130,Dane Dunning,TEX,.313,1.83,17.6%,53.3%,29.1%,5.3%,15.2%,78,4.58,962,1586,2548,45.9%,35.2%,18.9%,15.0%,51.7%,33.3%,2022.0,2022-01-01
131,Jason Alexander,MIL,.329,1.83,21.8%,50.6%,27.6%,6.1%,18.2%,38,4.77,440,720,1160,43.2%,32.5%,24.3%,18.1%,47.3%,34.6%,2022.0,2022-01-01
132,Anthony Castro,CLE,.368,1.83,20.9%,51.2%,27.9%,0.0%,41.7%,12,8.10,106,154,260,51.2%,23.3%,25.6%,14.0%,44.2%,41.9%,2022.0,2022-01-01
133,Marcus Stroman,CHC,.272,1.83,20.0%,51.7%,28.3%,7.0%,13.9%,58,3.76,771,1410,2181,39.0%,37.1%,23.9%,17.8%,53.4%,28.8%,2022.0,2022-01-01
134,Adonis Medina,NYM,.346,1.83,19.8%,51.9%,28.4%,8.7%,8.7%,11,4.18,148,266,414,45.7%,40.7%,13.6%,12.3%,50.6%,37.0%,2022.0,2022-01-01
135,Nick Sandlin,CLE,.227,1.82,13.5%,55.9%,30.6%,14.7%,5.9%,24,4.91,279,461,740,43.8%,36.6%,19.6%,23.2%,48.2%,28.6%,2022.0,2022-01-01
136,Zack Thompson,STL,.185,1.82,16.8%,53.7%,29.5%,3.6%,10.7%,9,2.34,201,374,575,47.4%,25.3%,27.4%,16.8%,56.8%,26.3%,2022.0,2022-01-01
137,John Schreiber,BOS,.268,1.82,12.7%,56.3%,31.0%,12.2%,6.1%,31,4.29,374,646,1020,35.6%,37.5%,26.9%,20.0%,50.6%,29.4%,2022.0,2022-01-01
138,Manny Banuelos,- - -,.280,1.81,15.9%,54.2%,29.9%,12.5%,6.3%,22,4.83,282,436,718,39.4%,35.8%,24.8%,22.9%,46.8%,30.3%,2022.0,2022-01-01
139,Yennier Cano,- - -,.411,1.81,23.7%,49.2%,27.1%,6.3%,18.8%,6,3.00,152,242,394,37.3%,39.0%,23.7%,15.3%,49.2%,35.6%,2022.0,2022-01-01
140,Aaron Sanchez,- - -,.357,1.81,18.1%,52.8%,29.1%,1.7%,13.8%,45,6.75,355,651,1006,37.7%,41.2%,21.1%,6.9%,56.9%,36.3%,2022.0,2022-01-01
141,Wandy Peralta,NYY,.256,1.80,16.2%,53.9%,29.9%,8.7%,4.3%,23,3.67,303,513,816,38.6%,36.1%,25.3%,24.7%,57.0%,18.4%,2022.0,2022-01-01
142,Foster Griffin,- - -,.318,1.80,30.0%,45.0%,25.0%,0.0%,0.0%,7,9.95,45,66,111,36.4%,22.7%,40.9%,13.6%,36.4%,50.0%,2022.0,2022-01-01
143,Will Vest,DET,.315,1.80,22.7%,49.7%,27.6%,10.0%,12.0%,22,3.14,390,693,1083,30.1%,41.0%,29.0%,14.2%,54.1%,31.7%,2022.0,2022-01-01
144,Jake Fishman,MIA,.333,1.80,28.2%,46.2%,25.6%,0.0%,0.0%,4,3.27,54,117,171,53.8%,17.9%,28.2%,17.9%,56.4%,25.6%,2022.0,2022-01-01
145,Parker Mushinski,HOU,.278,1.80,22.2%,50.0%,27.8%,0.0%,0.0%,3,3.68,41,70,111,38.9%,44.4%,16.7%,27.8%,55.6%,16.7%,2022.0,2022-01-01
146,Michael Plassmeyer,PHI,.400,1.80,33.3%,42.9%,23.8%,0.0%,20.0%,7,8.59,32,67,99,57.1%,28.6%,14.3%,19.0%,52.4%,28.6%,2022.0,2022-01-01
147,Reiver Sanmartin,CIN,.337,1.80,15.2%,54.5%,30.3%,7.4%,14.8%,33,5.21,395,636,1031,42.2%,33.9%,23.9%,16.7%,55.0%,28.3%,2022.0,2022-01-01
148,Tanner Scott,MIA,.347,1.79,27.9%,46.3%,25.9%,10.5%,13.2%,15,2.15,488,785,1273,45.0%,30.2%,24.8%,14.1%,57.0%,28.9%,2022.0,2022-01-01
149,Chad Smith,COL,.326,1.79,13.3%,55.6%,31.1%,0.0%,14.3%,9,4.50,150,187,337,37.8%,53.3%,8.9%,17.8%,44.4%,37.8%,2022.0,2022-01-01
150,Bryan Hoeing,MIA,.311,1.79,20.4%,51.0%,28.6%,7.1%,35.7%,15,10.66,101,166,267,48.0%,34.0%,18.0%,16.0%,50.0%,34.0%,2022.0,2022-01-01
151,Dallas Keuchel,- - -,.384,1.78,21.6%,50.2%,28.2%,3.1%,17.2%,27,4.01,462,703,1165,46.3%,34.4%,19.4%,16.7%,54.6%,28.6%,2022.0,2022-01-01
152,Devin Williams,MIL,.266,1.78,19.8%,51.4%,28.8%,9.4%,6.3%,36,5.34,400,668,1068,50.5%,31.5%,18.0%,21.6%,57.7%,20.7%,2022.0,2022-01-01
153,Nabil Crismatt,SDP,.280,1.78,21.1%,50.5%,28.4%,5.6%,9.3%,39,5.21,363,699,1062,46.8%,36.8%,16.3%,12.6%,57.9%,29.5%,2022.0,2022-01-01
154,Aaron Loup,LAA,.287,1.78,22.3%,49.7%,28.0%,2.0%,8.2%,21,3.22,337,630,967,40.4%,30.9%,28.7%,16.9%,50.0%,33.1%,2022.0,2022-01-01
155,Duane Underwood Jr.,PIT,.333,1.77,24.0%,48.5%,27.5%,6.4%,2.1%,15,2.35,369,635,1004,43.6%,34.9%,21.5%,20.3%,54.1%,25.6%,2022.0,2022-01-01
156,Touki Toussaint,LAA,.228,1.76,16.1%,53.6%,30.4%,17.6%,11.8%,17,6.04,192,239,431,55.9%,22.0%,22.0%,13.6%,54.2%,32.2%,2022.0,2022-01-01
157,Victor Arano,WSN,.344,1.76,19.0%,51.6%,29.4%,10.8%,13.5%,21,4.50,239,439,678,44.9%,34.6%,20.5%,22.8%,52.0%,25.2%,2022.0,2022-01-01
158,Brad Keller,KCR,.310,1.76,18.2%,52.1%,29.7%,5.9%,12.6%,40,2.58,856,1419,2275,37.1%,40.4%,22.6%,13.6%,56.8%,29.6%,2022.0,2022-01-01
159,Joel Kuhnel,CIN,.343,1.75,18.0%,52.2%,29.8%,9.4%,15.1%,27,4.19,321,613,934,38.3%,36.7%,25.0%,11.7%,56.7%,31.7%,2022.0,2022-01-01
160,Greg Holland,TEX,.273,1.75,21.4%,50.0%,28.6%,0.0%,75.0%,0,0.00,33,47,80,50.0%,42.9%,7.1%,0.0%,57.1%,42.9%,2022.0,2022-01-01
161,Garrett Richards,TEX,.315,1.75,17.3%,52.6%,30.1%,10.0%,7.5%,19,4.01,247,461,708,42.1%,36.8%,21.1%,9.8%,54.9%,35.3%,2022.0,2022-01-01
162,A.J. Ladwig,MIA,.308,1.75,26.7%,46.7%,26.7%,25.0%,50.0%,2,5.40,12,29,41,40.0%,46.7%,13.3%,6.7%,33.3%,60.0%,2022.0,2022-01-01
