#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,Year,YearDate
644,Caleb Kilian,CHC,11.1,21.7%,24.3%, ,45.1%, , ,8.9%, , , , ,2022.0,2022-01-01
645,Austin Adams,SDP,2.1,21.3%, , , , ,78.7%, , , , , ,2022.0,2022-01-01
646,Luis Cessa,CIN,80.2,21.0%, , ,21.3%,18.8%,38.9%, , , , , ,2022.0,2022-01-01
647,Nick Sandlin,CLE,44.0,20.5%, , ,27.2%,7.6%,44.7%, , , , , ,2022.0,2022-01-01
648,Edward Cabrera,MIA,71.2,20.5%, , ,11.3%,32.2%,15.1%,20.9%, , , , ,2022.0,2022-01-01
649,Anibal Sanchez,WSN,69.1,20.4%,24.1%,3.9%,18.5%,22.1%,5.6%,5.4%, , , , ,2022.0,2022-01-01
650,Michael Lorenzen,LAA,97.2,20.0%,10.9%, ,24.0%,22.3%,20.7%,2.1%, , , , ,2022.0,2022-01-01
651,Orlando Arcia,ATL,1.0,20.0%, , , ,80.0%, , , , , , ,2022.0,2022-01-01
652,Luis Gonzalez,SFG,6.1,20.0%, , ,1.2%,78.8%, , , , , , ,2022.0,2022-01-01
653,Reiver Sanmartin,CIN,57.0,19.9%, , ,21.4%,32.0%,26.7%, , , , , ,2022.0,2022-01-01
654,Glenn Otto,TEX,135.2,19.7%,2.1%, ,28.4%,7.4%,27.5%,14.9%, , , , ,2022.0,2022-01-01
655,Manny Banuelos,- - -,41.0,19.5%, , ,21.9%,10.0%,47.6%,1.0%, , , , ,2022.0,2022-01-01
656,Kyle Wright,ATL,180.1,19.4%, , ,24.0%,15.4%,7.2%,34.1%, , , , ,2022.0,2022-01-01
657,Dusten Knight,TBR,11.0,19.3%,31.8%, , ,37.5%,4.7%,6.8%, , , , ,2022.0,2022-01-01
658,Alcides Escobar,WSN,1.2,19.2%, , , ,30.8%, ,50.0%, , , , ,2022.0,2022-01-01
659,Johnny Cueto,CHW,158.1,19.2%,9.9%, ,23.8%,20.2%,22.4%,4.5%, , , , ,2022.0,2022-01-01
660,Shaun Anderson,TOR,1.0,19.0%, , , , ,81.0%, , , , , ,2022.0,2022-01-01
661,Patrick Corbin,WSN,152.2,18.9%, , ,43.5%,8.3%,29.4%, , , , , ,2022.0,2022-01-01
662,Brayan Bello,BOS,57.1,18.7%, , ,35.0%,23.7%,21.9%,0.6%, , , , ,2022.0,2022-01-01
663,Ryan Yarbrough,TBR,80.0,18.6%,30.5%, , ,23.9%,27.1%, , , , , ,2022.0,2022-01-01
664,Dakota Hudson,STL,139.2,18.4%,27.8%, ,36.0%,4.1%,13.7%, , , , , ,2022.0,2022-01-01
665,Ranger Suarez,PHI,155.1,18.1%,8.6%, ,40.1%,21.3%,4.1%,7.8%, , , , ,2022.0,2022-01-01
666,Adrian Houser,MIL,102.2,17.9%, ,9.4%,47.5%, ,13.3%,11.7%, , , ,0.1%,2022.0,2022-01-01
667,Evan Phillips,LAD,63.0,17.7%,28.3%, ,9.9%, ,44.1%, , , , , ,2022.0,2022-01-01
668,R.J. Alvarez,NYM,2.1,17.6%, , ,33.3%,13.7%,35.3%, , , , , ,2022.0,2022-01-01
669,Lou Trivino,- - -,53.2,17.2%,15.5%, ,30.6%,10.7%,23.7%,2.4%, , , , ,2022.0,2022-01-01
670,Aaron Sanchez,- - -,60.0,17.1%, , ,44.6%,9.8%, ,28.4%, , , , ,2022.0,2022-01-01
671,Albert Abreu,- - -,38.2,17.0%, , ,43.7%,10.0%,29.3%, , , , , ,2022.0,2022-01-01
672,Adonis Medina,NYM,23.2,16.9%,27.5%, ,30.7%,16.7%,8.0%, , , , ,0.2%,2022.0,2022-01-01
673,Tyler Clippard,WSN,5.0,16.8%, ,15.0%,31.0%,31.9%,0.9%,4.4%, , , , ,2022.0,2022-01-01
674,Ildemaro Vargas,WSN,1.0,16.7%, , , , ,16.7%,66.7%, , , , ,2022.0,2022-01-01
675,Zach Thompson,PIT,121.2,16.6%,33.3%, ,20.7%,8.5%, ,20.9%, , , ,0.0%,2022.0,2022-01-01
676,Jordan Montgomery,- - -,178.1,16.5%,3.8%, ,35.3%,22.2%, ,22.2%, , , , ,2022.0,2022-01-01
677,Wil Crowe,PIT,76.0,16.1%, , ,21.4%,28.3%,31.3%,2.9%, , , , ,2022.0,2022-01-01
678,Manuel Rodriguez,CHC,13.2,15.8%, , ,48.3%,1.5%,34.5%, , , , , ,2022.0,2022-01-01
679,Alex Colome,COL,47.0,15.6%,84.4%, , , , , , , , , ,2022.0,2022-01-01
680,Collin Wiles,OAK,9.2,15.6%,41.6%, ,17.5%,3.2%,9.7%,12.3%, , , , ,2022.0,2022-01-01
681,Ryan Castellani,OAK,2.2,15.6%, , ,33.3%, ,46.7%,4.4%, , , , ,2022.0,2022-01-01
