#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,Year,YearDate
719,Ty Tice,- - -,8.0,22.1%,64.9%,44.4%,53.3%,91.7%,82.5%,52.1%,23.7,2021.0,2021-01-01
720,Chris Archer,TBR,19.1,22.0%,71.1%,45.9%,48.6%,84.1%,75.3%,48.6%,23.2,2021.0,2021-01-01
721,Mike Foltynewicz,TEX,139.0,22.0%,67.9%,47.1%,68.2%,86.9%,82.9%,54.7%,20.8,2021.0,2021-01-01
722,Luis Oviedo,PIT,29.2,22.0%,61.8%,40.0%,45.7%,85.8%,73.7%,45.2%,23.8,2021.0,2021-01-01
723,Kyle Tyler,LAA,12.1,22.0%,66.7%,43.2%,77.3%,93.3%,89.0%,47.4%,23.7,2021.0,2021-01-01
724,Jordan Sheffield,COL,29.1,22.0%,70.7%,45.0%,58.5%,84.9%,78.0%,47.1%,29.0,2021.0,2021-01-01
725,Gabe Speier,KCR,7.2,22.0%,64.1%,47.6%,44.4%,85.4%,78.0%,61.0%,24.9,2021.0,2021-01-01
726,Aaron Northcraft,SDP,8.0,21.9%,73.2%,44.2%,50.0%,87.8%,77.2%,43.4%,22.6,2021.0,2021-01-01
727,Justin Garza,CLE,28.2,21.9%,63.5%,42.7%,70.9%,80.0%,77.7%,50.1%,21.0,2021.0,2021-01-01
728,Peter Lambert,COL,5.2,21.9%,69.5%,44.7%,64.3%,82.9%,78.2%,48.0%,22.9,2021.0,2021-01-01
729,Miguel Del Pozo,DET,5.1,21.9%,62.5%,46.3%,71.4%,83.3%,81.1%,60.0%,22.8,2021.0,2021-01-01
730,Brandon Kintzler,PHI,29.2,21.9%,67.5%,45.5%,64.8%,91.1%,85.0%,51.8%,23.5,2021.0,2021-01-01
731,Andre Scrubb,HOU,19.2,21.8%,54.6%,36.7%,53.5%,85.4%,75.0%,45.3%,23.4,2021.0,2021-01-01
732,Tyler Zuber,KCR,27.1,21.8%,66.9%,44.5%,61.8%,82.4%,77.3%,50.2%,24.9,2021.0,2021-01-01
733,Seth Elledge,STL,11.2,21.8%,56.8%,39.4%,66.7%,82.5%,78.2%,50.2%,26.0,2021.0,2021-01-01
734,David Price,LAD,73.2,21.8%,66.9%,48.3%,70.8%,84.4%,81.9%,58.7%,25.5,2021.0,2021-01-01
735,Alexander Wells,BAL,42.2,21.8%,60.5%,42.8%,77.3%,87.9%,85.4%,54.4%,19.2,2021.0,2021-01-01
736,Josh Lindblom,MIL,16.2,21.8%,64.6%,42.3%,66.7%,82.1%,77.9%,47.8%,25.3,2021.0,2021-01-01
737,Joey Lucchesi,NYM,38.1,21.8%,67.5%,45.0%,62.3%,82.9%,78.0%,50.9%,26.0,2021.0,2021-01-01
738,Cory Abbott,CHC,17.1,21.7%,69.0%,44.3%,65.0%,88.8%,82.7%,47.7%,22.2,2021.0,2021-01-01
739,Dauri Moreta,CIN,3.2,21.7%,82.4%,57.9%,60.0%,89.3%,84.8%,59.6%,24.7,2021.0,2021-01-01
740,Carlos Estevez,COL,61.2,21.7%,72.1%,49.8%,47.4%,84.9%,77.6%,55.6%,23.6,2021.0,2021-01-01
741,Jake Faria,ARI,32.2,21.7%,62.9%,42.4%,56.5%,85.1%,77.9%,50.2%,25.0,2021.0,2021-01-01
742,Jefry Rodriguez,WSN,24.1,21.7%,68.2%,45.4%,52.3%,91.7%,82.4%,51.0%,23.5,2021.0,2021-01-01
743,Francisco Perez,CLE,6.2,21.7%,61.3%,41.8%,53.8%,89.5%,80.4%,50.8%,25.2,2021.0,2021-01-01
744,Jackson Kowar,KCR,30.1,21.7%,66.3%,42.5%,54.8%,84.6%,76.5%,46.6%,23.2,2021.0,2021-01-01
745,Bryan Garcia,DET,39.1,21.6%,71.3%,45.6%,62.2%,86.5%,80.5%,48.2%,27.3,2021.0,2021-01-01
746,Touki Toussaint,ATL,50.0,21.6%,61.3%,41.6%,44.3%,86.2%,75.4%,50.4%,20.1,2021.0,2021-01-01
747,Mike Wright Jr.,CHW,18.0,21.6%,65.2%,42.8%,61.1%,90.3%,82.7%,48.6%,24.0,2021.0,2021-01-01
748,Nick Sandlin,CLE,33.2,21.6%,57.2%,40.4%,45.9%,78.6%,70.4%,52.9%,21.8,2021.0,2021-01-01
749,Tyler Clippard,ARI,25.1,21.5%,71.6%,46.1%,60.0%,81.9%,76.7%,49.0%,29.3,2021.0,2021-01-01
750,Jordan Holloway,MIA,36.0,21.5%,60.6%,40.4%,52.7%,83.0%,74.6%,48.2%,21.3,2021.0,2021-01-01
751,Chad Kuhl,PIT,80.1,21.5%,62.6%,41.4%,49.7%,82.5%,73.7%,48.4%,23.0,2021.0,2021-01-01
752,Adam Ottavino,BOS,62.0,21.4%,58.1%,40.2%,46.7%,82.7%,73.4%,51.3%,25.7,2021.0,2021-01-01
753,Julio Teheran,DET,5.0,21.4%,70.8%,47.8%,77.8%,91.2%,88.4%,53.3%,27.2,2021.0,2021-01-01
754,Chaz Roe,TBR,0.2,21.4%,66.7%,39.1%,0.0%,100.0%,66.7%,39.1%,28.2,2021.0,2021-01-01
755,Jake Newberry,KCR,4.1,21.4%,72.7%,44.0%,41.7%,87.5%,75.0%,44.0%,24.5,2021.0,2021-01-01
756,Aaron Sanchez,SFG,35.1,21.4%,63.9%,42.5%,65.6%,87.3%,81.8%,49.7%,23.3,2021.0,2021-01-01
757,Andres Machado,WSN,35.2,21.3%,66.5%,44.5%,56.9%,84.6%,78.1%,51.4%,24.6,2021.0,2021-01-01
758,Jake Arrieta,- - -,98.2,21.3%,62.3%,42.6%,63.1%,89.7%,83.3%,51.9%,24.1,2021.0,2021-01-01
759,Jandel Gustave,MIL,18.1,21.3%,67.7%,47.6%,55.6%,90.3%,83.6%,56.8%,23.8,2021.0,2021-01-01
760,Josh Osich,CIN,14.1,21.2%,68.6%,45.5%,75.0%,85.2%,82.9%,51.1%,25.5,2021.0,2021-01-01
761,Elvis Peguero,LAA,2.1,21.2%,61.3%,40.6%,85.7%,100.0%,96.2%,48.4%,24.9,2021.0,2021-01-01
762,Brandon Waddell,- - -,9.1,21.2%,66.7%,41.6%,52.0%,85.9%,76.4%,44.9%,23.0,2021.0,2021-01-01
763,Kohl Stewart,CHC,13.2,21.1%,66.1%,41.8%,51.9%,91.7%,80.8%,46.0%,20.6,2021.0,2021-01-01
764,Tyler Beede,SFG,1.0,21.1%,66.7%,35.7%,25.0%,83.3%,60.0%,32.1%,24.6,2021.0,2021-01-01
765,Travis Lakins Sr.,BAL,28.0,21.1%,63.7%,44.3%,66.7%,81.6%,78.4%,54.5%,22.6,2021.0,2021-01-01
766,Alec Bettinger,MIL,10.0,21.1%,72.1%,47.7%,85.0%,93.3%,91.6%,52.3%,20.2,2021.0,2021-01-01
767,Jesse Chavez,ATL,33.2,21.0%,62.0%,43.9%,65.3%,88.0%,83.2%,55.9%,21.1,2021.0,2021-01-01
768,Kent Emanuel,HOU,17.2,21.0%,57.9%,42.5%,71.4%,92.6%,88.2%,58.3%,20.6,2021.0,2021-01-01
769,A.J. Alexy,TEX,23.0,21.0%,70.8%,43.9%,68.8%,83.3%,79.6%,46.0%,25.8,2021.0,2021-01-01
770,Ryan Weathers,SDP,94.2,20.9%,65.3%,44.7%,70.1%,87.5%,83.7%,53.6%,20.6,2021.0,2021-01-01
771,J.B. Wendelken,- - -,43.2,20.9%,69.8%,47.3%,55.6%,83.3%,77.7%,53.9%,25.4,2021.0,2021-01-01
772,Mason Thompson,- - -,24.2,20.8%,63.0%,41.5%,53.3%,89.3%,80.1%,49.1%,26.5,2021.0,2021-01-01
773,Gregory Santos,SFG,2.0,20.8%,51.7%,37.7%,60.0%,80.0%,75.0%,54.7%,19.5,2021.0,2021-01-01
774,Paul Blackburn,OAK,38.1,20.8%,65.2%,42.0%,63.5%,93.4%,85.7%,47.7%,22.7,2021.0,2021-01-01
775,Enoli Paredes,HOU,8.2,20.7%,56.8%,36.7%,51.7%,82.5%,72.8%,44.2%,23.8,2021.0,2021-01-01
776,Seth Martinez,HOU,3.0,20.7%,55.9%,39.7%,83.3%,78.9%,80.0%,54.0%,22.9,2021.0,2021-01-01
777,Brad Boxberger,MIL,64.2,20.7%,67.6%,45.6%,57.7%,74.9%,71.2%,53.2%,22.8,2021.0,2021-01-01
778,Joey Krehbiel,- - -,8.1,20.6%,68.6%,45.9%,61.5%,83.3%,78.7%,52.6%,24.7,2021.0,2021-01-01
779,Drew Anderson,TEX,22.0,20.6%,68.4%,46.0%,55.9%,89.1%,82.1%,53.1%,26.5,2021.0,2021-01-01
780,Chi Chi Gonzalez,COL,101.2,20.6%,69.8%,48.1%,75.7%,87.9%,85.6%,56.0%,23.8,2021.0,2021-01-01
781,Mike Fiers,OAK,9.1,20.5%,68.4%,45.4%,93.3%,88.9%,89.9%,52.0%,23.9,2021.0,2021-01-01
782,Colin Rea,MIL,6.0,20.5%,74.5%,48.4%,33.3%,91.4%,79.5%,51.6%,21.9,2021.0,2021-01-01
783,Antonio Santos,COL,11.1,20.5%,60.2%,40.3%,61.1%,88.7%,81.7%,50.0%,24.5,2021.0,2021-01-01
784,Jose Marte,LAA,4.0,20.5%,55.0%,36.9%,77.8%,90.9%,87.1%,47.6%,23.5,2021.0,2021-01-01
785,Riley Smith,ARI,67.1,20.4%,66.4%,47.0%,72.8%,89.8%,86.7%,57.8%,22.0,2021.0,2021-01-01
786,Ryan Sherriff,TBR,14.2,20.3%,61.5%,40.3%,48.3%,85.5%,75.9%,48.6%,29.9,2021.0,2021-01-01
787,Brett de Geus,- - -,50.0,20.3%,64.7%,42.8%,63.7%,89.6%,83.6%,50.7%,24.7,2021.0,2021-01-01
788,Brad Hand,- - -,64.2,20.2%,60.9%,42.2%,63.0%,87.0%,81.7%,54.0%,28.8,2021.0,2021-01-01
789,Tommy Nance,CHC,28.2,20.1%,60.3%,41.9%,45.2%,86.6%,77.5%,54.2%,24.2,2021.0,2021-01-01
790,Ben Bowden,COL,35.2,20.1%,68.0%,45.0%,50.8%,80.3%,73.9%,51.9%,27.3,2021.0,2021-01-01
791,Charlie Culberson,TEX,2.0,20.0%,70.0%,53.3%,100.0%,100.0%,100.0%,66.7%,14.1,2021.0,2021-01-01
792,Robert Stock,- - -,9.0,20.0%,60.2%,39.9%,47.1%,82.0%,73.1%,49.4%,20.9,2021.0,2021-01-01
793,Seth Frankoff,ARI,14.2,20.0%,70.4%,46.2%,56.0%,90.5%,83.3%,51.9%,21.5,2021.0,2021-01-01
794,Mike Kickham,LAD,2.0,20.0%,80.0%,53.3%,50.0%,90.0%,83.3%,55.6%,22.8,2021.0,2021-01-01
795,Austin Wynns,BAL,1.0,20.0%,75.0%,44.4%,100.0%,100.0%,100.0%,44.4%,12.4,2021.0,2021-01-01
796,Austin Slater,SFG,0.1,20.0%,0.0%,16.7%,100.0%, ,100.0%,16.7%,12.5,2021.0,2021-01-01
797,Jorge Guzman,MIA,1.2,20.0%,71.4%,37.7%,50.0%,66.7%,60.9%,34.4%,26.9,2021.0,2021-01-01
798,Jesse Biddle,ATL,10.2,19.8%,57.8%,38.2%,63.2%,84.6%,78.9%,48.4%,21.3,2021.0,2021-01-01
799,Corbin Martin,ARI,16.0,19.8%,68.3%,45.3%,53.1%,90.2%,82.6%,52.6%,21.1,2021.0,2021-01-01
800,Daniel Camarena,SDP,9.1,19.7%,71.8%,50.6%,71.4%,85.1%,83.0%,59.2%,24.0,2021.0,2021-01-01
801,Stephen Strasburg,WSN,21.2,19.7%,54.9%,35.6%,51.3%,82.2%,72.9%,45.3%,23.6,2021.0,2021-01-01
802,Jarlin Garcia,SFG,68.2,19.7%,64.7%,46.6%,54.4%,85.1%,79.9%,59.9%,24.9,2021.0,2021-01-01
803,Kyle Barraclough,MIN,13.0,19.5%,65.7%,43.7%,48.0%,78.3%,71.8%,52.2%,25.4,2021.0,2021-01-01
804,Drew Pomeranz,SDP,25.2,19.5%,63.8%,44.2%,54.1%,79.7%,74.7%,55.8%,22.1,2021.0,2021-01-01
805,JoJo Romero,PHI,9.0,19.4%,70.0%,48.8%,57.1%,85.7%,81.0%,58.1%,22.0,2021.0,2021-01-01
806,Sean Nolin,WSN,26.2,19.4%,68.8%,46.3%,59.1%,86.1%,81.0%,54.5%,23.0,2021.0,2021-01-01
807,Nick Neidert,MIA,35.2,19.3%,67.0%,45.2%,75.5%,85.3%,83.3%,54.2%,22.2,2021.0,2021-01-01
808,Ryan Hartman,HOU,2.1,19.2%,80.0%,45.7%,60.0%,81.3%,76.2%,43.5%,20.0,2021.0,2021-01-01
809,Nate Pearson,TOR,15.0,19.2%,59.3%,38.5%,36.7%,77.9%,67.2%,48.2%,24.7,2021.0,2021-01-01
810,Andrew Albers,MIN,19.0,19.0%,63.5%,43.0%,84.4%,92.8%,91.1%,54.0%,20.3,2021.0,2021-01-01
811,Ryan Buchter,ARI,16.1,19.0%,68.0%,43.5%,60.7%,84.0%,78.9%,50.0%,24.1,2021.0,2021-01-01
812,Eric Yardley,MIL,18.2,19.0%,63.3%,39.7%,75.0%,95.7%,90.4%,46.7%,21.1,2021.0,2021-01-01
813,Nivaldo Rodriguez,HOU,7.1,19.0%,62.7%,38.6%,75.0%,90.6%,86.4%,44.7%,23.5,2021.0,2021-01-01
814,David Robertson,TBR,12.0,18.9%,62.8%,42.8%,55.6%,81.7%,76.4%,54.3%,24.2,2021.0,2021-01-01
815,Austin Brice,BOS,13.2,18.9%,67.6%,44.2%,60.0%,85.4%,80.2%,51.8%,23.4,2021.0,2021-01-01
816,Edgar Garcia,- - -,14.2,18.9%,65.7%,41.1%,39.3%,87.5%,75.9%,47.5%,25.7,2021.0,2021-01-01
817,Adam Kolarek,OAK,9.0,18.9%,62.0%,41.6%,64.7%,95.2%,88.6%,52.6%,23.8,2021.0,2021-01-01
818,Burch Smith,OAK,43.1,18.9%,71.8%,48.2%,70.2%,86.7%,83.8%,55.5%,21.8,2021.0,2021-01-01
819,Alberto Baldonado,WSN,10.2,18.9%,73.1%,42.3%,43.5%,82.4%,72.5%,43.3%,25.5,2021.0,2021-01-01
820,Justin Lawrence,COL,16.2,18.8%,53.8%,34.4%,50.0%,87.2%,75.9%,44.5%,26.4,2021.0,2021-01-01
821,Stefan Crichton,ARI,23.1,18.8%,65.9%,43.4%,72.2%,88.5%,85.1%,52.4%,22.7,2021.0,2021-01-01
822,A.J. Puk,OAK,13.1,18.8%,65.6%,44.0%,52.4%,84.9%,78.5%,53.9%,22.6,2021.0,2021-01-01
823,Humberto Castellanos,ARI,45.2,18.5%,64.4%,44.6%,72.4%,89.8%,86.7%,56.9%,22.9,2021.0,2021-01-01
824,Sam Moll,OAK,10.1,18.5%,52.3%,35.9%,66.7%,88.9%,83.3%,51.5%,24.5,2021.0,2021-01-01
825,Darren McCaughan,SEA,9.0,18.5%,51.2%,36.7%,100.0%,97.6%,98.1%,55.8%,22.3,2021.0,2021-01-01
826,Cionel Perez,CIN,24.0,18.4%,63.6%,39.2%,40.0%,81.2%,70.8%,46.0%,21.5,2021.0,2021-01-01
827,Sal Romano,- - -,25.0,18.2%,62.4%,41.9%,75.7%,91.8%,88.5%,53.5%,24.9,2021.0,2021-01-01
828,David Peralta,ARI,1.0,18.2%,70.6%,50.0%,50.0%,91.7%,85.7%,60.7%,16.2,2021.0,2021-01-01
829,Willians Astudillo,MIN,4.0,18.2%,50.0%,29.4%,100.0%,88.9%,93.3%,35.3%,11.8,2021.0,2021-01-01
830,Tyler Webb,STL,16.1,18.1%,71.3%,43.6%,73.0%,83.6%,81.3%,48.0%,23.0,2021.0,2021-01-01
831,Konner Wade,BAL,12.1,18.0%,71.5%,47.6%,80.0%,78.6%,78.8%,55.2%,19.8,2021.0,2021-01-01
832,Jordan Yamamoto,NYM,6.2,18.0%,73.8%,48.6%,55.6%,93.3%,87.0%,55.0%,25.8,2021.0,2021-01-01
833,Travis Bergen,TOR,10.2,18.0%,67.7%,44.1%,75.0%,82.1%,80.7%,52.7%,21.2,2021.0,2021-01-01
834,Jason Foley,DET,10.1,17.9%,64.1%,39.4%,78.9%,84.7%,83.3%,46.5%,23.4,2021.0,2021-01-01
835,Scott Effross,CHC,14.2,17.8%,63.6%,45.0%,68.8%,72.6%,72.0%,59.5%,25.0,2021.0,2021-01-01
836,Dillon Maples,CHC,31.1,17.7%,53.1%,34.7%,36.5%,82.6%,70.4%,48.0%,26.0,2021.0,2021-01-01
837,Kyle Lobstein,WSN,1.1,17.6%,70.6%,44.1%,100.0%,83.3%,86.7%,50.0%,25.5,2021.0,2021-01-01
838,Wilmer Difo,PIT,2.0,17.6%,80.0%,44.1%,100.0%,90.0%,92.3%,42.4%,13.2,2021.0,2021-01-01
839,Julian Fernandez,COL,6.2,17.6%,69.7%,47.0%,22.2%,89.1%,78.2%,56.4%,21.7,2021.0,2021-01-01
840,Pedro Strop,CHC,2.0,17.4%,50.0%,33.3%,50.0%,72.7%,66.7%,48.9%,20.8,2021.0,2021-01-01
841,Angel Perdomo,MIL,17.0,17.3%,63.0%,40.7%,63.3%,71.1%,69.4%,51.1%,25.3,2021.0,2021-01-01
842,Paul Campbell,MIA,26.2,17.3%,73.2%,47.6%,51.4%,81.2%,76.2%,54.3%,24.4,2021.0,2021-01-01
843,Hunter Wood,TEX,5.0,17.1%,70.0%,41.5%,33.3%,81.0%,70.4%,46.2%,23.8,2021.0,2021-01-01
844,Trevor Hildenberger,NYM,2.1,17.1%,65.2%,36.2%,66.7%,86.7%,81.0%,39.7%,22.0,2021.0,2021-01-01
845,Andrew Romine,CHC,1.0,16.7%,55.6%,40.0%,0.0%,80.0%,66.7%,60.0%,14.9,2021.0,2021-01-01
846,Albert Almora Jr.,NYM,1.0,16.7%,90.0%,42.9%,66.7%,88.9%,83.3%,35.7%,16.4,2021.0,2021-01-01
847,Seranthony Dominguez,PHI,1.0,16.7%,87.5%,57.1%,0.0%,85.7%,75.0%,57.1%,20.4,2021.0,2021-01-01
848,Cooper Criswell,LAA,1.1,16.7%,73.9%,48.8%,100.0%,100.0%,100.0%,56.1%,20.4,2021.0,2021-01-01
849,Yennsy Diaz,NYM,25.0,16.6%,69.0%,44.4%,62.9%,83.0%,79.5%,53.1%,24.7,2021.0,2021-01-01
850,Geoff Hartlieb,- - -,9.0,16.5%,60.6%,38.0%,72.2%,81.0%,79.0%,48.8%,21.7,2021.0,2021-01-01
851,Miguel Yajure,PIT,15.0,16.4%,65.9%,43.1%,44.4%,87.1%,79.6%,54.0%,21.5,2021.0,2021-01-01
852,Patrick Weigel,MIL,4.0,16.3%,47.7%,31.2%,50.0%,81.0%,72.4%,47.3%,24.1,2021.0,2021-01-01
853,Sandy Leon,MIA,6.0,16.1%,62.5%,42.3%,80.0%,96.0%,93.3%,56.3%,11.3,2021.0,2021-01-01
854,Brad Wieck,CHC,17.0,16.1%,59.6%,39.2%,59.1%,79.6%,75.7%,53.2%,24.6,2021.0,2021-01-01
855,Kyle Ryan,CHC,13.1,15.8%,63.1%,39.1%,55.6%,91.4%,84.1%,49.3%,23.4,2021.0,2021-01-01
856,Pedro Avila,SDP,4.0,15.8%,69.6%,45.2%,33.3%,93.8%,84.2%,54.8%,22.9,2021.0,2021-01-01
857,Darwinzon Hernandez,BOS,40.0,15.6%,60.6%,40.3%,54.7%,75.3%,71.7%,54.9%,22.8,2021.0,2021-01-01
858,Brent Honeywell,TBR,4.1,15.4%,76.9%,46.2%,66.7%,86.7%,83.3%,50.0%,22.0,2021.0,2021-01-01
859,Mike Baumann,BAL,10.0,15.4%,76.6%,46.5%,42.9%,90.3%,82.6%,50.8%,20.2,2021.0,2021-01-01
860,Nicklaus Snyder,TEX,3.2,15.4%,72.7%,47.5%,75.0%,79.2%,78.6%,55.9%,24.1,2021.0,2021-01-01
861,Kyle Wright,ATL,6.1,15.2%,61.2%,38.3%,30.0%,85.4%,74.5%,50.4%,24.3,2021.0,2021-01-01
862,Manny Barreda,BAL,2.2,15.0%,71.4%,47.9%,100.0%,80.0%,82.6%,58.3%,21.1,2021.0,2021-01-01
863,Colten Brewer,BOS,1.0,15.0%,70.0%,33.3%,33.3%,100.0%,80.0%,33.3%,23.1,2021.0,2021-01-01
864,Joe Biagini,CHC,3.0,15.0%,61.9%,39.0%,66.7%,84.6%,81.3%,51.2%,23.7,2021.0,2021-01-01
865,Devin Smeltzer,MIN,4.2,15.0%,75.0%,51.9%,33.3%,83.3%,77.8%,61.5%,22.1,2021.0,2021-01-01
866,Keury Mella,ARI,1.2,14.8%,78.3%,44.0%,75.0%,88.9%,86.4%,46.0%,23.0,2021.0,2021-01-01
867,Ben Rowen,LAA,11.1,14.6%,60.3%,41.4%,83.3%,87.1%,86.6%,58.6%,22.1,2021.0,2021-01-01
868,Zack Godley,MIL,3.1,14.6%,65.0%,37.5%,28.6%,76.9%,66.7%,45.5%,21.3,2021.0,2021-01-01
869,Luis Avilan,WSN,5.0,14.3%,71.1%,38.0%,44.4%,90.6%,80.5%,41.7%,26.1,2021.0,2021-01-01
870,Shelby Miller,- - -,12.2,14.3%,70.7%,43.2%,73.7%,79.8%,78.8%,51.3%,24.6,2021.0,2021-01-01
871,Christian Arroyo,BOS,1.0,14.3%,55.6%,37.5%,100.0%,100.0%,100.0%,56.3%,12.4,2021.0,2021-01-01
872,Jake Rogers,DET,1.0,14.3%,70.0%,47.1%,100.0%,85.7%,87.5%,58.8%,14.5,2021.0,2021-01-01
873,Thomas Szapucki,NYM,3.2,14.0%,75.0%,37.8%,42.9%,79.2%,71.0%,39.0%,23.2,2021.0,2021-01-01
874,Luis Madero,MIA,12.0,13.9%,66.0%,39.7%,60.0%,91.4%,85.9%,49.5%,22.8,2021.0,2021-01-01
875,Reyes Moronta,SFG,4.0,13.6%,69.2%,43.8%,33.3%,94.4%,85.7%,54.2%,23.2,2021.0,2021-01-01
876,Drew Carlton,DET,3.2,13.5%,75.0%,43.8%,60.0%,92.6%,87.5%,49.3%,21.1,2021.0,2021-01-01
877,Jesse Hahn,KCR,3.1,13.3%,60.5%,36.4%,66.7%,92.3%,87.5%,48.9%,25.4,2021.0,2021-01-01
878,Josh Reddick,ARI,0.2,12.5%,66.7%,41.2%,100.0%,100.0%,100.0%,52.9%,19.4,2021.0,2021-01-01
879,Asdrubal Cabrera,ARI,1.1,12.5%,77.8%,47.1%,100.0%,100.0%,100.0%,52.9%,14.6,2021.0,2021-01-01
880,Matt Carpenter,STL,1.1,12.5%,60.0%,30.8%,100.0%,100.0%,100.0%,38.5%,13.5,2021.0,2021-01-01
881,Felix Pena,LAA,1.2,12.5%,75.8%,44.6%,50.0%,60.0%,58.6%,50.8%,23.3,2021.0,2021-01-01
882,Luis Guillorme,NYM,1.0,12.5%,62.5%,37.5%,100.0%,100.0%,100.0%,50.0%,12.3,2021.0,2021-01-01
883,Roel Ramirez,STL,0.1,12.5%,50.0%,28.6%,0.0%,100.0%,75.0%,42.9%,28.1,2021.0,2021-01-01
884,Tanner Anderson,PIT,5.0,12.0%,74.4%,50.0%,66.7%,96.6%,93.8%,60.9%,19.7,2021.0,2021-01-01
885,Ryan Castellani,COL,3.1,11.8%,71.0%,40.0%,0.0%,90.9%,76.9%,47.7%,23.3,2021.0,2021-01-01
886,Vinny Nittoli,SEA,1.0,11.8%,77.8%,34.6%,0.0%,71.4%,55.6%,34.6%,28.5,2021.0,2021-01-01
887,Bryan Holaday,ARI,1.0,11.1%,57.1%,31.3%,100.0%,100.0%,100.0%,43.8%,13.1,2021.0,2021-01-01
888,Yermin Mercedes,CHW,1.0,11.1%,57.1%,31.3%,100.0%,87.5%,90.0%,43.8%,17.8,2021.0,2021-01-01
889,Bryan Baker,TOR,1.0,11.1%,90.0%,52.6%,0.0%,66.7%,60.0%,52.6%,23.8,2021.0,2021-01-01
890,Shea Spitzbarth,PIT,5.0,10.5%,64.4%,39.8%,100.0%,96.6%,97.0%,54.2%,23.8,2021.0,2021-01-01
891,Ryan Feltner,COL,6.1,10.4%,65.3%,39.4%,28.6%,75.5%,69.6%,52.8%,21.3,2021.0,2021-01-01
892,Mickey Jannis,BAL,3.1,10.0%,51.2%,33.8%,100.0%,100.0%,100.0%,57.7%,19.3,2021.0,2021-01-01
893,Bernardo Flores Jr.,STL,0.0,10.0%,50.0%,16.7%,100.0%,100.0%,100.0%,16.7%,24.8,2021.0,2021-01-01
894,Stephen Tarpley,NYM,0.0,8.3%,33.3%,13.3%,0.0%,100.0%,50.0%,20.0%,23.3,2021.0,2021-01-01
895,Dellin Betances,NYM,1.0,7.7%,62.5%,28.6%,0.0%,100.0%,83.3%,38.1%,22.6,2021.0,2021-01-01
896,Rony Garcia,DET,3.2,4.2%,59.4%,35.7%,100.0%,89.5%,90.0%,57.1%,18.7,2021.0,2021-01-01
897,Brody Koerner,NYY,3.0,4.0%,55.6%,30.8%,100.0%,93.3%,93.8%,51.9%,21.4,2021.0,2021-01-01
898,Anthony Rizzo,CHC,0.2,0.0%,50.0%,20.0%, ,66.7%,66.7%,40.0%,12.8,2021.0,2021-01-01
899,Mike Freeman,CIN,0.1,0.0%,0.0%,0.0%, , , ,50.0%,6.0,2021.0,2021-01-01
900,Hanser Alberto,KCR,0.1,0.0%,100.0%,50.0%, ,100.0%,100.0%,50.0%,15.0,2021.0,2021-01-01
901,Phillip Evans,PIT,1.0,0.0%,100.0%,80.0%, ,100.0%,100.0%,80.0%,14.5,2021.0,2021-01-01
902,Matt Duffy,CHC,0.1,0.0%,50.0%,20.0%, ,100.0%,100.0%,40.0%,11.3,2021.0,2021-01-01
903,Wyatt Mathisen,ARI,1.0,0.0%,100.0%,60.0%, ,100.0%,100.0%,60.0%,15.5,2021.0,2021-01-01
904,Harold Castro,DET,2.2,0.0%,83.3%,31.3%, ,100.0%,100.0%,37.5%,14.6,2021.0,2021-01-01
905,Jack Mayfield,SEA,0.1,0.0%,100.0%,33.3%, ,100.0%,100.0%,33.3%,17.5,2021.0,2021-01-01
906,Joshua Fuentes,COL,1.0,0.0%,80.0%,44.4%, ,100.0%,100.0%,55.6%,11.0,2021.0,2021-01-01
907,Kaleb Ort,BOS,0.1,0.0%,71.4%,41.7%, ,80.0%,80.0%,58.3%,30.1,2021.0,2021-01-01
908,Damon Jones,PHI,0.1,0.0%,100.0%,27.3%, ,100.0%,100.0%,27.3%,27.0,2021.0,2021-01-01
909,Jonathan Stiever,CHW,0.0,0.0%,71.4%,33.3%, ,80.0%,80.0%,46.7%,16.8,2021.0,2021-01-01
1,Ildemaro Vargas,WSN,1.0,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,50.0%,23.0,2022.0,2022-01-01
2,Jermaine Palacios,MIN,0.2,60.0%,100.0%,75.0%,33.3%,100.0%,66.7%,37.5%,11.4,2022.0,2022-01-01
3,Freddy Tarnok,ATL,0.2,60.0%,60.0%,60.0%,33.3%,33.3%,33.3%,50.0%,24.4,2022.0,2022-01-01
4,Randal Grichuk,COL,1.0,55.6%,0.0%,50.0%,80.0%, ,80.0%,10.0%,11.9,2022.0,2022-01-01
5,Whit Merrifield,TOR,1.0,55.6%,75.0%,61.5%,60.0%,100.0%,75.0%,30.8%,13.6,2022.0,2022-01-01
6,Frank Schwindel,CHC,3.0,53.3%,83.3%,61.9%,87.5%,90.0%,88.5%,28.6%,10.1,2022.0,2022-01-01
7,Tucker Barnhart,DET,1.0,50.0%,0.0%,42.9%,66.7%, ,66.7%,14.3%,10.2,2022.0,2022-01-01
8,Alexander Wells,BAL,3.2,50.0%,61.4%,57.6%,72.7%,77.8%,76.3%,66.7%,21.1,2022.0,2022-01-01
9,Bowden Francis,TOR,0.2,50.0%,100.0%,77.8%,0.0%,100.0%,71.4%,55.6%,21.7,2022.0,2022-01-01
